% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap2_copo1_0_1plstc_S21,im:cap2_copo1_0_1plstc_S21,re:cap2_copo1_0_5plstc_S21,im:cap2_copo1_0_5plstc_S21,re:cap2_copo1_1plstc_S21,im:cap2_copo1_1plstc_S21,
1.000000000000000E+009,-8.833321915539311E-002,-9.689965061422902E-001,-8.748554764693287E-002,-9.692067709393871E-001,-8.733879962844462E-002,-9.687402841792808E-001,-8.834470448890887E-002,-9.689372995122871E-001,
1.005000000000000E+009,-9.675167080740822E-002,-9.673966701005015E-001,-9.584159926744601E-002,-9.677458532474441E-001,-9.571178737337190E-002,-9.672573719374258E-001,-9.676807079664561E-002,-9.674224685502644E-001,
1.010000000000000E+009,-1.045067884487281E-001,-9.657018443152008E-001,-1.035883024891002E-001,-9.659457072263936E-001,-1.034478335915775E-001,-9.655458179659324E-001,-1.045204807588838E-001,-9.656696324657621E-001,
1.015000000000000E+009,-1.114431044348135E-001,-9.638749198162042E-001,-1.104897491175015E-001,-9.641753939141484E-001,-1.104521465289671E-001,-9.637674843116227E-001,-1.114368788709497E-001,-9.637930429472622E-001,
1.020000000000000E+009,-1.185138016788801E-001,-9.623331854631584E-001,-1.175658717124030E-001,-9.627342754944809E-001,-1.175446674966426E-001,-9.622729118432076E-001,-1.185548260887648E-001,-9.623162996593936E-001,
1.025000000000000E+009,-1.250195467986925E-001,-9.611178886585404E-001,-1.240233300154505E-001,-9.615752539036752E-001,-1.240126113800119E-001,-9.610759087961294E-001,-1.250298230655688E-001,-9.611043451413961E-001,
1.030000000000000E+009,-1.316011199919581E-001,-9.604616883936487E-001,-1.306478561704861E-001,-9.608630542904484E-001,-1.307289578486326E-001,-9.603881832506288E-001,-1.316028654170133E-001,-9.604466717328317E-001,
1.035000000000000E+009,-1.392262163433699E-001,-9.604209970032550E-001,-1.383092495913953E-001,-9.608811174551938E-001,-1.383099495721709E-001,-9.603320658389392E-001,-1.392498029389729E-001,-9.603258766826187E-001,
1.040000000000000E+009,-1.465468495026785E-001,-9.598372277936432E-001,-1.457128577395993E-001,-9.603755561231199E-001,-1.456390294495490E-001,-9.598475209588496E-001,-1.465458565352023E-001,-9.598899091215327E-001,
1.045000000000000E+009,-1.541615956317323E-001,-9.590974711763988E-001,-1.534062240825606E-001,-9.595545826452588E-001,-1.533284491520816E-001,-9.590684515310373E-001,-1.541822713743515E-001,-9.591539294759863E-001,
1.050000000000000E+009,-1.618902917064518E-001,-9.577413042178239E-001,-1.611155891380320E-001,-9.582082106487999E-001,-1.610302638058219E-001,-9.576776995360578E-001,-1.618509578072755E-001,-9.577386794803080E-001,
1.055000000000000E+009,-1.702687651159729E-001,-9.568408138603598E-001,-1.694972575021473E-001,-9.572673895952772E-001,-1.694322342201489E-001,-9.567594663057046E-001,-1.702691796252969E-001,-9.568126478633394E-001,
