% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:Cap2_duto1_0_1plstc_S21,im:Cap2_duto1_0_1plstc_S21,re:Cap2_duto1_0_5plstc_S21,im:Cap2_duto1_0_5plstc_S21,re:Cap2_duto1_1plstc_S21,im:Cap2_duto1_1plstc_S21,
1.000000000000000E+009,-1.335540952886025E-001,-9.666690056004765E-001,-1.356477504440233E-001,-9.661455679616430E-001,-1.355177494013817E-001,-9.660452970945939E-001,-1.336860442519207E-001,-9.665555353926998E-001,
1.005000000000000E+009,-1.450787630343629E-001,-9.637653204850816E-001,-1.475061270338448E-001,-9.631009610606783E-001,-1.472993459478225E-001,-9.629423905893828E-001,-1.452120105919729E-001,-9.636885231622601E-001,
1.010000000000000E+009,-1.562074491915581E-001,-9.603740408345887E-001,-1.591828506439339E-001,-9.594581060648468E-001,-1.588621088221967E-001,-9.592827697712845E-001,-1.563574785031601E-001,-9.602558934789771E-001,
1.015000000000000E+009,-1.672211681181497E-001,-9.564911536818147E-001,-1.708519214181121E-001,-9.552144184321413E-001,-1.704044104536841E-001,-9.551604120413271E-001,-1.673535126276294E-001,-9.564380170139262E-001,
1.020000000000000E+009,-1.787322136627612E-001,-9.521690210514375E-001,-1.832440997555152E-001,-9.502505213112303E-001,-1.826534090741017E-001,-9.503583475664444E-001,-1.789090301863437E-001,-9.520057808441068E-001,
1.025000000000000E+009,-1.904172637082536E-001,-9.478563202291683E-001,-1.958876653337891E-001,-9.449970317550209E-001,-1.953040688702695E-001,-9.453482285012103E-001,-1.905906545615084E-001,-9.476696761382369E-001,
1.030000000000000E+009,-2.031115697253511E-001,-9.431077511190465E-001,-2.098269297366261E-001,-9.389580479983757E-001,-2.092765768495549E-001,-9.394168996183645E-001,-2.034062620119677E-001,-9.428757012084166E-001,
1.035000000000000E+009,-2.183991530427524E-001,-9.377979657434563E-001,-2.266875620186323E-001,-9.315354716328943E-001,-2.260994519476910E-001,-9.322220584146738E-001,-2.186714940624466E-001,-9.374165083961688E-001,
1.040000000000000E+009,-2.356129967897339E-001,-9.300757387865568E-001,-2.459426977982169E-001,-9.204867906033181E-001,-2.452841946327654E-001,-9.214166730371656E-001,-2.359902295891590E-001,-9.295346180239978E-001,
1.045000000000000E+009,-2.555689211677040E-001,-9.173437989158547E-001,-2.681970273824997E-001,-9.018291532817330E-001,-2.674680867073753E-001,-9.031387614206885E-001,-2.560315641083936E-001,-9.165911946173383E-001,
1.050000000000000E+009,-2.785873539993320E-001,-8.969619096490967E-001,-2.925501956028035E-001,-8.702763987599068E-001,-2.916928302664163E-001,-8.724311953947678E-001,-2.790011528382920E-001,-8.957896728438302E-001,
1.055000000000000E+009,-3.032364986101096E-001,-8.636783904379002E-001,-3.114821512860915E-001,-8.163419289379960E-001,-3.112939827617127E-001,-8.200782422400960E-001,-3.034001895591123E-001,-8.617474387683216E-001,
1.060000000000000E+009,-3.193571147219740E-001,-8.063380104654978E-001,-2.939504523759766E-001,-7.316717930013609E-001,-2.968253493062290E-001,-7.370169775809523E-001,-3.184261547584220E-001,-8.033548429904056E-001,
1.065000000000000E+009,-2.947107414239159E-001,-7.186134442949870E-001,-1.900113760429566E-001,-6.659286773982303E-001,-1.979149829026316E-001,-6.678362610023463E-001,-2.904356899981731E-001,-7.156156774332884E-001,
1.070000000000000E+009,-1.818039918541732E-001,-6.626384140755818E-001,-7.234306191116750E-002,-7.183635056543640E-001,-7.792396994330039E-002,-7.142522398965655E-001,-1.755139251120922E-001,-6.648069199648112E-001,
1.075000000000000E+009,-7.252746676044750E-002,-7.260653951473060E-001,-4.770479454478707E-002,-8.105928185247784E-001,-4.910662100933175E-002,-8.063650956739397E-001,-7.094973596403281E-002,-7.313383508841296E-001,
1.080000000000000E+009,-5.525989967384773E-002,-8.159879317107562E-001,-6.945038418266432E-002,-8.691504480108421E-001,-6.942823814141605E-002,-8.663194221271426E-001,-5.663772238434692E-002,-8.193387775323973E-001,
1.085000000000000E+009,-7.868136467697114E-002,-8.704281285322233E-001,-9.839616414133923E-002,-8.994139275674336E-001,-9.800422657793845E-002,-8.974050811544102E-001,-8.033547214556833E-002,-8.719198650206625E-001,
1.090000000000000E+009,-1.080858444368601E-001,-8.991786311393901E-001,-1.253305570532831E-001,-9.152996996095135E-001,-1.248064654860902E-001,-9.138353031689607E-001,-1.094653966404623E-001,-8.997800567320803E-001,
1.095000000000000E+009,-1.331199133514162E-001,-9.144676153143476E-001,-1.470290738335287E-001,-9.240091993892059E-001,-1.464589920652834E-001,-9.228508554934422E-001,-1.341090779062874E-001,-9.147536673445663E-001,
1.100000000000000E+009,-1.551213598080543E-001,-9.232497490056020E-001,-1.662059636524727E-001,-9.291980994488369E-001,-1.656233656548269E-001,-9.283675405115224E-001,-1.558687436544755E-001,-9.233273192496240E-001,
1.105000000000000E+009,-1.736216160910028E-001,-9.269282143207021E-001,-1.825424146185821E-001,-9.307386275256725E-001,-1.820274680074008E-001,-9.301811537120682E-001,-1.741237403055905E-001,-9.268740660696754E-001,
1.110000000000000E+009,-1.905282098250011E-001,-9.295882515731316E-001,-1.977998573024365E-001,-9.320821800916305E-001,-1.974423542582415E-001,-9.316726395504711E-001,-1.909551647319787E-001,-9.295703672583305E-001,
1.115000000000000E+009,-2.058258795891163E-001,-9.304688052052331E-001,-2.118513187450889E-001,-9.322121197906956E-001,-2.115680369404845E-001,-9.318009137800584E-001,-2.061961894873426E-001,-9.305267239066367E-001,
1.120000000000000E+009,-2.198363509286137E-001,-9.306263383095395E-001,-2.249389741766195E-001,-9.317747495129549E-001,-2.246593085193520E-001,-9.314730805230745E-001,-2.202095527276671E-001,-9.305700334444724E-001,
1.125000000000000E+009,-2.325929785563001E-001,-9.298469225431619E-001,-2.369273798125504E-001,-9.305564284951663E-001,-2.366474074348848E-001,-9.303503821442889E-001,-2.329256043739620E-001,-9.297960454174640E-001,
1.130000000000000E+009,-2.450590117304222E-001,-9.289682988480916E-001,-2.487905972364069E-001,-9.294298787355271E-001,-2.486065227042869E-001,-9.292472485315004E-001,-2.453215687410482E-001,-9.288880670809367E-001,
1.135000000000000E+009,-2.571302976359002E-001,-9.275307865614637E-001,-2.602818800347906E-001,-9.277531685228629E-001,-2.601527749547976E-001,-9.275940062068317E-001,-2.573522095845947E-001,-9.273949254118288E-001,
1.140000000000000E+009,-2.678758414149931E-001,-9.254502586015384E-001,-2.705963298069321E-001,-9.255652606501753E-001,-2.705480745269573E-001,-9.254703879570567E-001,-2.681033619407453E-001,-9.253473197475367E-001,
1.145000000000000E+009,-2.786906503268996E-001,-9.237150976840912E-001,-2.810850616443967E-001,-9.237166711992407E-001,-2.810485819776676E-001,-9.236369704214552E-001,-2.788936418057161E-001,-9.236796591015588E-001,
1.150000000000000E+009,-2.892198337764771E-001,-9.208598729991246E-001,-2.912838084743405E-001,-9.208405998345267E-001,-2.912848104935478E-001,-9.206764094049253E-001,-2.894150751818850E-001,-9.207818132342395E-001,
1.155000000000000E+009,-2.991662476139257E-001,-9.182047992610485E-001,-3.010556244993782E-001,-9.181459464647030E-001,-3.010654552085834E-001,-9.180195039850463E-001,-2.993652420715676E-001,-9.181600554538248E-001,
1.160000000000000E+009,-3.091940331484815E-001,-9.161905255471532E-001,-3.109219941500008E-001,-9.161366042896824E-001,-3.108872084712389E-001,-9.159646581799776E-001,-3.094196318177540E-001,-9.161334922458805E-001,
1.165000000000000E+009,-3.190476500172877E-001,-9.130535033686000E-001,-3.205285401211900E-001,-9.128963402505029E-001,-3.205562284902040E-001,-9.127561972703024E-001,-3.192278050979175E-001,-9.130009807174012E-001,
1.170000000000000E+009,-3.289171314792914E-001,-9.096806063858145E-001,-3.303094532060986E-001,-9.095332181468333E-001,-3.303630329390744E-001,-9.093837771590634E-001,-3.290523395671469E-001,-9.095985899538562E-001,
1.175000000000000E+009,-3.388835395860855E-001,-9.072360383264463E-001,-3.401567933635615E-001,-9.070808546087142E-001,-3.402410957495419E-001,-9.069702273359761E-001,-3.390710243496534E-001,-9.071824006050249E-001,
1.180000000000000E+009,-3.477357175323105E-001,-9.045931830319440E-001,-3.487929701410542E-001,-9.044292398622013E-001,-3.489211922625189E-001,-9.042627417972300E-001,-3.478785618082420E-001,-9.045246734349711E-001,
1.185000000000000E+009,-3.570799101950956E-001,-9.008610063922447E-001,-3.581422671909142E-001,-9.006950326707444E-001,-3.582177273296325E-001,-9.005169937969209E-001,-3.572122817947032E-001,-9.007854998833293E-001,
1.190000000000000E+009,-3.655414826296288E-001,-8.975488580965914E-001,-3.664891599519090E-001,-8.973966824402755E-001,-3.665707862695994E-001,-8.972252959736198E-001,-3.656808651450524E-001,-8.974276722706216E-001,
1.195000000000000E+009,-3.743726296500326E-001,-8.939809131957367E-001,-3.752563757408165E-001,-8.938345734698034E-001,-3.753248800067359E-001,-8.936567736578380E-001,-3.744997123995332E-001,-8.938781264494634E-001,
1.200000000000000E+009,-3.832755519366022E-001,-8.909561431381239E-001,-3.841124304296435E-001,-8.907679525608166E-001,-3.841416830108245E-001,-8.906473412804630E-001,-3.834079543349648E-001,-8.908345692740789E-001,
1.205000000000000E+009,-3.913448451083830E-001,-8.879488577978139E-001,-3.921463247062181E-001,-8.877839909921000E-001,-3.922399624938048E-001,-8.876611616199523E-001,-3.915110411881336E-001,-8.878945878070212E-001,
