% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:Cap3_duto1_air_S21,im:Cap3_duto1_air_S21,re:Cap3_duto1_air_water1_S21,im:Cap3_duto1_air_water1_S21,re:Cap3_duto1_1plstc_S21,im:Cap3_duto1_1plstc_S21,re:Cap3_duto1_0_1plstc_S21,im:Cap3_duto1_0_1plstc_S21,re:Cap3_duto1_0_5plstc_S21,im:Cap3_duto1_0_5plstc_S21,
1.000000000000000E+009,-1.356418284858139E-001,-9.658373468860726E-001,-1.265383772246170E-001,-9.686732961872866E-001,-1.353867215412601E-001,-9.659799708637620E-001,-1.356599947499855E-001,-9.656106664574903E-001,-1.356297214501258E-001,-9.659203119005573E-001,-1.355470697112680E-001,-9.658186718415349E-001,
1.005000000000000E+009,-1.475204844858630E-001,-9.627355214283782E-001,-1.371316904076386E-001,-9.662399364285281E-001,-1.471711265955586E-001,-9.629199027155312E-001,-1.474938296348867E-001,-9.624557661439694E-001,-1.474999154826275E-001,-9.628024076268832E-001,-1.473665084083319E-001,-9.627648685839083E-001,
1.010000000000000E+009,-1.591717773860675E-001,-9.591459630142913E-001,-1.473004053048325E-001,-9.635119646215823E-001,-1.587364537036696E-001,-9.592519988881965E-001,-1.590130018055283E-001,-9.587549872357895E-001,-1.591947471244939E-001,-9.591680104203008E-001,-1.590220125753413E-001,-9.591867876067378E-001,
1.015000000000000E+009,-1.708240178248091E-001,-9.549074455946700E-001,-1.570801052072526E-001,-9.604318288270570E-001,-1.702676253671415E-001,-9.550122039078833E-001,-1.705226691132200E-001,-9.545411971187365E-001,-1.708551705408496E-001,-9.548672555357797E-001,-1.706706717162681E-001,-9.550075115714375E-001,
1.020000000000000E+009,-1.832445068145276E-001,-9.499756300405795E-001,-1.670507659223557E-001,-9.570929998213197E-001,-1.823634646404202E-001,-9.501937418725168E-001,-1.826903906938250E-001,-9.496573106380406E-001,-1.832259568056535E-001,-9.499485979579199E-001,-1.830192944159998E-001,-9.500809663387286E-001,
1.025000000000000E+009,-1.959656876031033E-001,-9.447741540412056E-001,-1.766637368912507E-001,-9.540548947802735E-001,-1.949569936587508E-001,-9.451674594161804E-001,-1.952324194892915E-001,-9.445999321777923E-001,-1.957762974382747E-001,-9.447003141222530E-001,-1.957270238122687E-001,-9.449307253325787E-001,
1.030000000000000E+009,-2.100446040564589E-001,-9.386488267427366E-001,-1.866661621938706E-001,-9.512900653642274E-001,-2.088245320192286E-001,-9.393075576560747E-001,-2.091302117319792E-001,-9.386380878866467E-001,-2.097653937447193E-001,-9.385356593811718E-001,-2.097965064007215E-001,-9.387945483007016E-001,
1.035000000000000E+009,-2.269189469351994E-001,-9.311834802912303E-001,-1.983855769320298E-001,-9.489561845774843E-001,-2.255782926488886E-001,-9.320994875399142E-001,-2.261030099868680E-001,-9.313953196878168E-001,-2.264410994228284E-001,-9.310784888162724E-001,-2.265462077276846E-001,-9.313903890338359E-001,
1.040000000000000E+009,-2.463569772325892E-001,-9.199522998942241E-001,-2.109456105350495E-001,-9.458937823753360E-001,-2.447808425106587E-001,-9.212647627039209E-001,-2.455574766707470E-001,-9.203661277867989E-001,-2.457422285985386E-001,-9.199182184593829E-001,-2.459265899537737E-001,-9.203449507041317E-001,
1.045000000000000E+009,-2.687204909864585E-001,-9.009754264145270E-001,-2.248905985688782E-001,-9.411600365019228E-001,-2.669954619138292E-001,-9.030167314706543E-001,-2.679373900196576E-001,-9.014353804785980E-001,-2.679821422692795E-001,-9.011468698834628E-001,-2.681899728994515E-001,-9.016076411100042E-001,
1.050000000000000E+009,-2.930448452510079E-001,-8.689078828482619E-001,-2.406714376814652E-001,-9.345612341828921E-001,-2.911456295063607E-001,-8.721793396055110E-001,-2.920377610836873E-001,-8.695662170604163E-001,-2.919852647510213E-001,-8.693091285242589E-001,-2.924477170276157E-001,-8.700105776535480E-001,
1.055000000000000E+009,-3.115252301265136E-001,-8.139773546176565E-001,-2.588744477531433E-001,-9.259695594927979E-001,-3.104714256176293E-001,-8.196702906564819E-001,-3.103845828015011E-001,-8.152390333250300E-001,-3.103130114303339E-001,-8.150136863205126E-001,-3.113569402105088E-001,-8.159939288200933E-001,
1.060000000000000E+009,-2.918677259426120E-001,-7.284262512885462E-001,-2.786332168260193E-001,-9.134127299362186E-001,-2.953874216674036E-001,-7.365886645911803E-001,-2.912086135422177E-001,-7.309086252633582E-001,-2.909787604888782E-001,-7.308070188087268E-001,-2.936668580748335E-001,-7.313027919731440E-001,
