% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:Cap1_duto1_plastic_azul_S21,im:Cap1_duto1_plastic_azul_S21,re:Cap1_duto1_plastic_diversos_S21,im:Cap1_duto1_plastic_diversos_S21,
1.000000000000000E+009,-1.348084226408186E-001,-9.638947098804158E-001,-1.350325856232602E-001,-9.642677160542104E-001,-1.347512360438672E-001,-9.638001304091814E-001,
1.005000000000000E+009,-1.466153224228161E-001,-9.609206778833250E-001,-1.468650621151205E-001,-9.612822398044769E-001,-1.464442149520115E-001,-9.607757897712030E-001,
1.010000000000000E+009,-1.581052270237292E-001,-9.573961212635872E-001,-1.584800603633180E-001,-9.577356637761436E-001,-1.580072894930791E-001,-9.573091498176573E-001,
1.015000000000000E+009,-1.696000973736663E-001,-9.532141190603174E-001,-1.700940882611557E-001,-9.535671490005693E-001,-1.695043877478969E-001,-9.531406579894151E-001,
1.020000000000000E+009,-1.817301175692857E-001,-9.484367693581206E-001,-1.823160890426771E-001,-9.486878365263582E-001,-1.815989783114394E-001,-9.483760404757466E-001,
1.025000000000000E+009,-1.942039216727853E-001,-9.434310675607203E-001,-1.948640974754430E-001,-9.436272130612077E-001,-1.939816917340970E-001,-9.434136916151406E-001,
1.030000000000000E+009,-2.076168495957429E-001,-9.377339710464346E-001,-2.084696667720861E-001,-9.376507868756957E-001,-2.074720853179320E-001,-9.376747719257834E-001,
1.035000000000000E+009,-2.239074754419897E-001,-9.310286210575294E-001,-2.248207544040746E-001,-9.307276301057935E-001,-2.237025611036775E-001,-9.310571966527965E-001,
1.040000000000000E+009,-2.425222746163323E-001,-9.212338330945147E-001,-2.436060389730552E-001,-9.204931705884529E-001,-2.423117467821166E-001,-9.212814022298078E-001,
1.045000000000000E+009,-2.641511125717006E-001,-9.047733608683675E-001,-2.654008759757833E-001,-9.034632271929670E-001,-2.639367213944285E-001,-9.049530167895490E-001,
1.050000000000000E+009,-2.884900772119840E-001,-8.772968283098641E-001,-2.898123468690654E-001,-8.748965161473443E-001,-2.882517288070827E-001,-8.776666893562523E-001,
1.055000000000000E+009,-3.110302231795570E-001,-8.305446601240520E-001,-3.115844708774230E-001,-8.259612825474509E-001,-3.109316460400666E-001,-8.311770056812771E-001,
1.060000000000000E+009,-3.086402354689025E-001,-7.523040881979717E-001,-3.049623769472359E-001,-7.453223678672549E-001,-3.091274572677405E-001,-7.534648458595330E-001,
1.065000000000000E+009,-2.283326321743179E-001,-6.676605159395511E-001,-2.165386937732844E-001,-6.650934445628924E-001,-2.300846693442082E-001,-6.681904980251431E-001,
1.070000000000000E+009,-9.460570443664201E-002,-6.888527159702953E-001,-8.610683795281877E-002,-6.971664783408182E-001,-9.602281284418560E-002,-6.876539287597192E-001,
1.075000000000000E+009,-4.607898639925341E-002,-7.852612619696452E-001,-4.569335205060955E-002,-7.933944030809007E-001,-4.617627940391095E-002,-7.839810619769400E-001,
1.080000000000000E+009,-6.192757311992905E-002,-8.544668073630145E-001,-6.389537592356082E-002,-8.593732142883103E-001,-6.158499812556664E-002,-8.537008945093851E-001,
1.085000000000000E+009,-9.120677294370999E-002,-8.907459745252100E-001,-9.338878558322628E-002,-8.936617152044486E-001,-9.091635169852763E-002,-8.902675914138517E-001,
1.090000000000000E+009,-1.195043064624795E-001,-9.097814075645117E-001,-1.214184770053031E-001,-9.115995450984117E-001,-1.192010196830985E-001,-9.094264324734779E-001,
1.095000000000000E+009,-1.424540903701974E-001,-9.199017415366689E-001,-1.440139545963788E-001,-9.213067472359530E-001,-1.421637448294785E-001,-9.196913746425385E-001,
1.100000000000000E+009,-1.626695004559237E-001,-9.258635958511763E-001,-1.639752046654026E-001,-9.268851849377013E-001,-1.624372138830180E-001,-9.257162685962677E-001,
1.105000000000000E+009,-1.797002285499746E-001,-9.277661800767716E-001,-1.807933493911251E-001,-9.285132817302361E-001,-1.794501820532851E-001,-9.276572041919623E-001,
1.110000000000000E+009,-1.953831052523607E-001,-9.292677804406387E-001,-1.963924584514448E-001,-9.298825681811638E-001,-1.952330738395081E-001,-9.291216884670546E-001,
1.115000000000000E+009,-2.097696997586129E-001,-9.294070797466606E-001,-2.106525411121537E-001,-9.299549640824479E-001,-2.095865443274240E-001,-9.293149147635392E-001,
1.120000000000000E+009,-2.229461743073634E-001,-9.290159382929139E-001,-2.238201395989933E-001,-9.295839082117396E-001,-2.228045019539242E-001,-9.289329109282698E-001,
1.125000000000000E+009,-2.350576024939308E-001,-9.279388502902907E-001,-2.358220476000966E-001,-9.284038220083601E-001,-2.349396962789449E-001,-9.278746870498101E-001,
1.130000000000000E+009,-2.470018002744837E-001,-9.269022924855492E-001,-2.476964663617959E-001,-9.272841385660493E-001,-2.468607360160368E-001,-9.267564315910768E-001,
1.135000000000000E+009,-2.585902275166537E-001,-9.253472924109734E-001,-2.592294349929641E-001,-9.256613213930379E-001,-2.584565652821009E-001,-9.252354481908789E-001,
1.140000000000000E+009,-2.690454244261314E-001,-9.232106134048692E-001,-2.696452008816753E-001,-9.235213144865507E-001,-2.689376414768284E-001,-9.231058315830726E-001,
1.145000000000000E+009,-2.796104930632687E-001,-9.214235049881572E-001,-2.801336102704208E-001,-9.217646610241389E-001,-2.795130682971111E-001,-9.213604833573303E-001,
1.150000000000000E+009,-2.899972692982620E-001,-9.185377641238692E-001,-2.904622325053695E-001,-9.188785755097572E-001,-2.898647900629574E-001,-9.184663682553190E-001,
1.155000000000000E+009,-2.997962168184689E-001,-9.159103797037923E-001,-3.003352079752274E-001,-9.162053549825843E-001,-2.997194508385663E-001,-9.158659145286053E-001,
1.160000000000000E+009,-3.097349251179979E-001,-9.138442750767470E-001,-3.101975304395784E-001,-9.141271373785151E-001,-3.096055851269998E-001,-9.137748870766485E-001,
1.165000000000000E+009,-3.194094878066360E-001,-9.105785314130575E-001,-3.198416337775702E-001,-9.109243440134970E-001,-3.194101336917126E-001,-9.105328689224362E-001,
1.170000000000000E+009,-3.291985271811804E-001,-9.071842818595683E-001,-3.296264783586982E-001,-9.075446143897076E-001,-3.290909289706540E-001,-9.071490715224923E-001,
1.175000000000000E+009,-3.390923922539084E-001,-9.047016676505543E-001,-3.395329217609988E-001,-9.050208401691352E-001,-3.389848492723018E-001,-9.045828135004932E-001,
1.180000000000000E+009,-3.477825113839431E-001,-9.019472242567339E-001,-3.481749796836157E-001,-9.023273870512960E-001,-3.477104573558599E-001,-9.018413474939988E-001,
1.185000000000000E+009,-3.570920573298476E-001,-8.981620833429765E-001,-3.574125801482658E-001,-8.984677443174542E-001,-3.569816697741308E-001,-8.980714574435086E-001,
1.190000000000000E+009,-3.653660129177264E-001,-8.947114288815724E-001,-3.657908839239260E-001,-8.951039729656074E-001,-3.652989603424502E-001,-8.946895601904509E-001,
1.195000000000000E+009,-3.741231486945867E-001,-8.911073060992950E-001,-3.744442603200556E-001,-8.915189801223600E-001,-3.740330059421358E-001,-8.910445351596201E-001,
1.200000000000000E+009,-3.828483956667007E-001,-8.880334374132062E-001,-3.831875713836801E-001,-8.884373822539950E-001,-3.827615984471239E-001,-8.879179663841657E-001,
1.205000000000000E+009,-3.908113268690336E-001,-8.850106954339154E-001,-3.911884385792689E-001,-8.854441101014446E-001,-3.907675992535431E-001,-8.849617850384143E-001,
1.210000000000000E+009,-3.992863018152493E-001,-8.814432396727780E-001,-3.996860052890446E-001,-8.818837629636243E-001,-3.992174114128498E-001,-8.813511328942294E-001,
1.215000000000000E+009,-4.074937588110835E-001,-8.779500532096476E-001,-4.079232691755431E-001,-8.784886699707093E-001,-4.073771563019301E-001,-8.779327508176688E-001,
1.220000000000000E+009,-4.153231823014004E-001,-8.740781265419898E-001,-4.157110780352252E-001,-8.745699580347293E-001,-4.152915627396210E-001,-8.740202090899509E-001,
1.225000000000000E+009,-4.238174603884882E-001,-8.704823028221980E-001,-4.243658459454645E-001,-8.709568765450384E-001,-4.237534763893949E-001,-8.704316893163592E-001,
1.230000000000000E+009,-4.318917585782821E-001,-8.662881964919071E-001,-4.323572272668814E-001,-8.666315050699742E-001,-4.317629584888489E-001,-8.661941905549512E-001,
1.235000000000000E+009,-4.400273709428303E-001,-8.624152088202773E-001,-4.405864721346343E-001,-8.628258787831586E-001,-4.399313503401625E-001,-8.623499121107281E-001,
1.240000000000000E+009,-4.483697705919444E-001,-8.578056820412277E-001,-4.489212560318752E-001,-8.582411113996918E-001,-4.482314139875739E-001,-8.577729102581194E-001,
1.245000000000000E+009,-4.567629749010942E-001,-8.538187611684974E-001,-4.573445552764497E-001,-8.541195193869059E-001,-4.566827834180638E-001,-8.537610286498459E-001,
1.250000000000000E+009,-4.644929916970333E-001,-8.498237192233209E-001,-4.650701722368260E-001,-8.500847275531456E-001,-4.644275007109168E-001,-8.497480324335728E-001,
1.255000000000000E+009,-4.723997570789449E-001,-8.460160365231580E-001,-4.729310867603166E-001,-8.462374456075882E-001,-4.722886165736743E-001,-8.459387873726681E-001,
1.260000000000000E+009,-4.808297415209009E-001,-8.412526377940279E-001,-4.813225823030681E-001,-8.414496730709700E-001,-4.807334716015679E-001,-8.411628472190809E-001,
1.265000000000000E+009,-4.877580210770293E-001,-8.375782879743258E-001,-4.882883933997144E-001,-8.378047974391302E-001,-4.876466470992532E-001,-8.375005540417314E-001,
1.270000000000000E+009,-4.957354641080963E-001,-8.329972252625222E-001,-4.963484542390348E-001,-8.333141357072602E-001,-4.956896581806229E-001,-8.329496051088063E-001,
1.275000000000000E+009,-5.026640495084622E-001,-8.285827376936604E-001,-5.031284813388975E-001,-8.287754425622387E-001,-5.026240738029204E-001,-8.285411180969694E-001,
1.280000000000000E+009,-5.098914118165808E-001,-8.241699002900992E-001,-5.103239795452971E-001,-8.242924642128323E-001,-5.097706184008705E-001,-8.240674682271965E-001,
1.285000000000000E+009,-5.169618554166320E-001,-8.199222288585317E-001,-5.174184530707728E-001,-8.201102822562435E-001,-5.168448788818565E-001,-8.198669231935056E-001,
1.290000000000000E+009,-5.241980291202003E-001,-8.150671730701466E-001,-5.246667211986190E-001,-8.152499030817448E-001,-5.241683260590759E-001,-8.149941418302062E-001,
1.295000000000000E+009,-5.308227344478681E-001,-8.103815953721067E-001,-5.312475077404830E-001,-8.105725608116703E-001,-5.307474756022004E-001,-8.102286171946945E-001,
1.300000000000000E+009,-5.379772909242955E-001,-8.051613413503816E-001,-5.383099364704130E-001,-8.053957356884135E-001,-5.379019706212165E-001,-8.050918804099897E-001,
1.305000000000000E+009,-5.440836459233498E-001,-8.002330251846085E-001,-5.444908859062398E-001,-8.004497346033239E-001,-5.440639590280223E-001,-8.001505229620202E-001,
1.310000000000000E+009,-5.506580655123743E-001,-7.952647241224371E-001,-5.510179668481954E-001,-7.955109643607603E-001,-5.505754776564287E-001,-7.951557903554881E-001,
1.315000000000000E+009,-5.565271330842163E-001,-7.902791234416164E-001,-5.569570911162460E-001,-7.905991508899435E-001,-5.564822181190203E-001,-7.901770487949851E-001,
1.320000000000000E+009,-5.630854083752740E-001,-7.857245434499569E-001,-5.633449615007002E-001,-7.860504247530431E-001,-5.629443503365297E-001,-7.856359847125909E-001,
1.325000000000000E+009,-5.694480559195334E-001,-7.810084695328508E-001,-5.697940107415828E-001,-7.812926676463464E-001,-5.693340948768473E-001,-7.809078502696127E-001,
1.330000000000000E+009,-5.759138404933957E-001,-7.764832631150069E-001,-5.763035069394974E-001,-7.767827293724559E-001,-5.758555487960223E-001,-7.763927747114199E-001,
1.335000000000000E+009,-5.819419261108902E-001,-7.715981888568353E-001,-5.824161381493920E-001,-7.718847696924407E-001,-5.818752742793969E-001,-7.715532603533157E-001,
