% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:Trc14_S11,im:Trc14_S11,
1.000000000000000E+009,-1.274565551818673E-001,-9.752447466515742E-001,-7.414967737192135E-002,2.683702784191158E-002,
1.005000000000000E+009,-1.375343957779068E-001,-9.737145074794377E-001,-7.211994565917614E-002,2.778663994857267E-002,
1.010000000000000E+009,-1.473826991168872E-001,-9.715790996691390E-001,-7.005604073427470E-002,2.722977639174382E-002,
1.015000000000000E+009,-1.572474270387481E-001,-9.693551881757320E-001,-6.831089086635409E-002,2.869482648488840E-002,
1.020000000000000E+009,-1.671426168943177E-001,-9.665904488690803E-001,-6.635499655756931E-002,2.943562337394725E-002,
1.025000000000000E+009,-1.766988784013014E-001,-9.636079953713294E-001,-6.232992410859383E-002,3.047552338211457E-002,
1.030000000000000E+009,-1.864181150482142E-001,-9.609301730410732E-001,-6.018100477127027E-002,3.204670562361320E-002,
1.035000000000000E+009,-1.965418683072787E-001,-9.584113221711614E-001,-5.612647130165691E-002,3.305940303957333E-002,
1.040000000000000E+009,-2.067316065389372E-001,-9.560009954410197E-001,-5.179742954858162E-002,3.337827345714935E-002,
1.045000000000000E+009,-2.177689407001791E-001,-9.537182158907200E-001,-4.669214966442972E-002,3.501243682181224E-002,
1.050000000000000E+009,-2.302894411734033E-001,-9.509312511964545E-001,-4.083290359303206E-002,3.647601517619719E-002,
1.055000000000000E+009,-2.440648768259202E-001,-9.476553040967619E-001,-3.220174712245577E-002,3.553519508568071E-002,
1.060000000000000E+009,-2.594771460111441E-001,-9.432272556375690E-001,-2.237075162917770E-002,3.488387363006373E-002,
1.065000000000000E+009,-2.768778515250266E-001,-9.377892327666146E-001,-1.128404726762106E-002,3.239968051534993E-002,
1.070000000000000E+009,-2.970023133121147E-001,-9.299747846319302E-001,3.366797509904396E-003,2.692838781558757E-002,
1.075000000000000E+009,-3.204305544777475E-001,-9.190372843611354E-001,2.085057891864392E-002,1.882982819066314E-002,
1.080000000000000E+009,-3.491470384367917E-001,-9.024585065501616E-001,4.216496354766736E-002,4.672345465444297E-003,
1.085000000000000E+009,-3.852951062317551E-001,-8.748039911368881E-001,7.346538430641167E-002,-1.979075433293140E-002,
1.090000000000000E+009,-4.304599183635549E-001,-8.221127128150868E-001,1.151564468950803E-001,-6.923000969443635E-002,
1.095000000000000E+009,-4.728824296714450E-001,-7.056428874236889E-001,1.590219460640258E-001,-1.840206497538853E-001,
1.100000000000000E+009,-3.765256201305053E-001,-4.741253013054501E-001,7.165919075548900E-002,-4.276933860167800E-001,
1.105000000000000E+009,-1.068606449638693E-002,-5.186542830668099E-001,-3.141319312727077E-001,-4.141284182450626E-001,
1.110000000000000E+009,2.280658222346162E-002,-7.718433166267429E-001,-3.817074531572285E-001,-1.563535996506985E-001,
1.115000000000000E+009,-5.300065399662446E-002,-8.717482079776805E-001,-3.235032105764822E-001,-4.540370422635476E-002,
1.120000000000000E+009,-1.119065219905306E-001,-9.067221084019752E-001,-2.760530875356033E-001,1.312029677071982E-005,
1.125000000000000E+009,-1.538052983517925E-001,-9.207107862294621E-001,-2.446379479006116E-001,2.102259760774102E-002,
1.130000000000000E+009,-1.849450616812474E-001,-9.263373069078803E-001,-2.225117338145193E-001,3.388012037006469E-002,
1.135000000000000E+009,-2.095881893980044E-001,-9.282094066345153E-001,-2.052634039269644E-001,4.255668745359695E-002,
1.140000000000000E+009,-2.298344803367682E-001,-9.282097278477038E-001,-1.932101899929539E-001,4.845614857944672E-002,
1.145000000000000E+009,-2.474679233491942E-001,-9.272624329451715E-001,-1.825921355546504E-001,5.396093498824676E-002,
1.150000000000000E+009,-2.628733979528959E-001,-9.251695129192021E-001,-1.733762996846248E-001,5.761026095592618E-002,
1.155000000000000E+009,-2.772610285328387E-001,-9.230421868018989E-001,-1.652101648909228E-001,6.193958422388855E-002,
1.160000000000000E+009,-2.905878309997575E-001,-9.209366489944704E-001,-1.576242435021766E-001,6.554468967262808E-002,
1.165000000000000E+009,-3.031814597526082E-001,-9.181447483688076E-001,-1.512398449283148E-001,6.855613872091529E-002,
1.170000000000000E+009,-3.151901672181653E-001,-9.153551182278995E-001,-1.443978635718222E-001,7.126572934227934E-002,
1.175000000000000E+009,-3.266205133858214E-001,-9.127838030494202E-001,-1.382938248585416E-001,7.189670276743865E-002,
1.180000000000000E+009,-3.376701692163475E-001,-9.098139200380428E-001,-1.338524087078545E-001,7.282749238615008E-002,
1.185000000000000E+009,-3.483139913431139E-001,-9.067970299933239E-001,-1.290496858183022E-001,7.407878152710808E-002,
1.190000000000000E+009,-3.581655872520863E-001,-9.034743526629430E-001,-1.243974322663471E-001,7.513741947841005E-002,
1.195000000000000E+009,-3.677799440903503E-001,-9.000534004241486E-001,-1.215784206837011E-001,7.534902356194283E-002,
1.200000000000000E+009,-3.772650061557439E-001,-8.969027378686428E-001,-1.177061297418528E-001,7.591949062439274E-002,
1.205000000000000E+009,-3.866824612562525E-001,-8.935703203740650E-001,-1.155081967580444E-001,7.601598622645668E-002,
1.210000000000000E+009,-3.961137061453375E-001,-8.900742261636316E-001,-1.131142225279847E-001,7.674862973076585E-002,
1.215000000000000E+009,-4.055281000836384E-001,-8.864692849242621E-001,-1.116651520771808E-001,7.735113208281819E-002,
1.220000000000000E+009,-4.147264505364845E-001,-8.824229761722363E-001,-1.096671779750922E-001,7.658538520097605E-002,
1.225000000000000E+009,-4.236836658281779E-001,-8.784351940698141E-001,-1.087835251791164E-001,7.597818838365827E-002,
1.230000000000000E+009,-4.329764107292284E-001,-8.740205129461456E-001,-1.086771829063472E-001,7.673446320988733E-002,
1.235000000000000E+009,-4.418587671702742E-001,-8.695793920300257E-001,-1.070773584267510E-001,7.712032766551309E-002,
