% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:Trc14_S11,im:Trc14_S11,
1.000000000000000E+009,-1.289264080541602E-001,-9.731438142241189E-001,-9.890501876083147E-002,2.895214411898858E-002,
1.005000000000000E+009,-1.380090900044892E-001,-9.717465853870010E-001,-9.800227732315403E-002,3.019416543275144E-002,
1.010000000000000E+009,-1.466304795952338E-001,-9.697339452222171E-001,-9.718360307574925E-002,2.995620075613576E-002,
1.015000000000000E+009,-1.552140718481052E-001,-9.677089263981338E-001,-9.685893123180378E-002,3.181678566930482E-002,
1.020000000000000E+009,-1.635285238588364E-001,-9.651634030787626E-001,-9.649818500491994E-002,3.300895589780152E-002,
1.025000000000000E+009,-1.712733565594590E-001,-9.626140530180765E-001,-9.431388330539844E-002,3.458457160448708E-002,
1.030000000000000E+009,-1.789444172260948E-001,-9.604279039012502E-001,-9.431422372053910E-002,3.674493442016259E-002,
1.035000000000000E+009,-1.866594001327784E-001,-9.586033678892093E-001,-9.278631023745729E-002,3.850124064365228E-002,
1.040000000000000E+009,-1.939902588470704E-001,-9.571210688648488E-001,-9.142557308734896E-002,3.974722844196870E-002,
1.045000000000000E+009,-2.016094447960853E-001,-9.559074809617288E-001,-8.991939657610780E-002,4.244974050526712E-002,
1.050000000000000E+009,-2.099725280058802E-001,-9.545831554591311E-001,-8.846564128704440E-002,4.530444729557329E-002,
1.055000000000000E+009,-2.187103182158140E-001,-9.534042637651076E-001,-8.519301583887452E-002,4.624865566609131E-002,
1.060000000000000E+009,-2.278562668977259E-001,-9.517029545215981E-001,-8.213254940204377E-002,4.811916166050859E-002,
1.065000000000000E+009,-2.372915090512381E-001,-9.501333797377224E-001,-7.966588783544100E-002,4.914579268844407E-002,
1.070000000000000E+009,-2.472002104774167E-001,-9.480618007110476E-001,-7.607513512029786E-002,4.893946488904772E-002,
1.075000000000000E+009,-2.570552637422132E-001,-9.456826665538393E-001,-7.341122423165775E-002,4.892094122529504E-002,
1.080000000000000E+009,-2.672721632774732E-001,-9.429642735460575E-001,-7.229871246541475E-002,4.768235931278146E-002,
1.085000000000000E+009,-2.776418971494563E-001,-9.401864914173466E-001,-6.961718669251328E-002,4.698147364702546E-002,
1.090000000000000E+009,-2.875115747417700E-001,-9.370537699672195E-001,-6.825011693567978E-002,4.547156020554650E-002,
1.095000000000000E+009,-2.976618950847626E-001,-9.338366339222171E-001,-6.711258226296540E-002,4.392097130062005E-002,
1.100000000000000E+009,-3.078117409401740E-001,-9.299872720672489E-001,-6.657022151856218E-002,4.237839080037208E-002,
1.105000000000000E+009,-3.181573162033924E-001,-9.265758972568117E-001,-6.574856333236666E-002,4.198456698223367E-002,
1.110000000000000E+009,-3.284267426745649E-001,-9.225325474770937E-001,-6.501979336272264E-002,4.117416720213266E-002,
1.115000000000000E+009,-3.390831809692372E-001,-9.181754280142408E-001,-6.388544690627383E-002,3.969734134653405E-002,
1.120000000000000E+009,-3.499683249131654E-001,-9.135862053353420E-001,-6.141055864774210E-002,4.057707332120904E-002,
1.125000000000000E+009,-3.613563667294538E-001,-9.093977737074612E-001,-5.945758674755243E-002,4.082025603850953E-002,
