% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap2_p2_0_1_plstc_S21,im:cap2_p2_0_1_plstc_S21,re:cap2_p2_1_plstc_S21,im:cap2_p2_1_plstc_S21,re:cap2_p2_0_5_plstc_S21,im:cap2_p2_0_5_plstc_S21,
1.000000000000000E+009,-1.312329760693623E-001,-9.758475858213670E-001,-9.091851566281120E-002,-9.787308047292347E-001,-9.144277856298616E-002,-9.780359541965743E-001,-9.189795643091202E-002,-9.780099654197694E-001,
1.005000000000000E+009,-1.423869368770240E-001,-9.740799639372917E-001,-9.951081999050482E-002,-9.777515437682892E-001,-1.000024384897190E-001,-9.770515583823929E-001,-1.004458436369896E-001,-9.770162343978883E-001,
1.010000000000000E+009,-1.534618152847299E-001,-9.717075766853979E-001,-1.076806894553462E-001,-9.762432421744507E-001,-1.082026552249754E-001,-9.754886186088962E-001,-1.086531350016594E-001,-9.754466319084169E-001,
1.015000000000000E+009,-1.648419431845919E-001,-9.691002485140633E-001,-1.156975184034756E-001,-9.746377073674207E-001,-1.162057303421372E-001,-9.738637538844236E-001,-1.166080173850060E-001,-9.738198232650759E-001,
1.020000000000000E+009,-1.766683795385372E-001,-9.658101123665751E-001,-1.236311895314920E-001,-9.726853207586599E-001,-1.240728191348839E-001,-9.718741171003378E-001,-1.245314121246338E-001,-9.718196249008180E-001,
1.025000000000000E+009,-1.886673105069524E-001,-9.621346437856181E-001,-1.309566632652265E-001,-9.705716455762766E-001,-1.314579672514035E-001,-9.698144496846064E-001,-1.318985599279404E-001,-9.697762942314149E-001,
1.030000000000000E+009,-2.014664494680233E-001,-9.583009976927379E-001,-1.381927733036722E-001,-9.686486228735260E-001,-1.385701568621349E-001,-9.679329991512962E-001,-1.390600264072418E-001,-9.678124928474429E-001,
1.035000000000000E+009,-2.154844738520875E-001,-9.539198082492157E-001,-1.453999619360129E-001,-9.670680158736202E-001,-1.457070290518669E-001,-9.662908365343511E-001,-1.461193138360977E-001,-9.662792992591860E-001,
1.040000000000000E+009,-2.306374038571595E-001,-9.490128190565293E-001,-1.520322246490139E-001,-9.657120412327975E-001,-1.523103958922710E-001,-9.649545363246911E-001,-1.527509152889252E-001,-9.649297595024109E-001,
1.045000000000000E+009,-2.482129282794398E-001,-9.427623733895707E-001,-1.586723983263895E-001,-9.647342464985002E-001,-1.589787459928057E-001,-9.639613476511344E-001,-1.593460214138031E-001,-9.639312195777896E-001,
1.050000000000000E+009,-2.698749090707139E-001,-9.339519912922830E-001,-1.659661375709263E-001,-9.637000971932113E-001,-1.662019725328868E-001,-9.629825164617973E-001,-1.666585063934327E-001,-9.629984855651858E-001,
1.055000000000000E+009,-2.965875333162295E-001,-9.204063049128992E-001,-1.735909221198032E-001,-9.630489687441672E-001,-1.737847180462275E-001,-9.622880327837976E-001,-1.742878443002701E-001,-9.622137284278871E-001,
1.060000000000000E+009,-3.309576492873451E-001,-8.966862294478217E-001,-1.815446508983721E-001,-9.619998216583177E-001,-1.818431259127150E-001,-9.612196810364831E-001,-1.822855246067048E-001,-9.611281275749207E-001,
1.065000000000000E+009,-3.753689821372086E-001,-8.513016073721019E-001,-1.897921381879651E-001,-9.611327299504131E-001,-1.900326236944184E-001,-9.603863773062047E-001,-1.904697519540787E-001,-9.602676248550417E-001,
1.070000000000000E+009,-4.202397544252516E-001,-7.487865296708562E-001,-1.985448204933420E-001,-9.598363703415800E-001,-1.988154189210391E-001,-9.590597861257225E-001,-1.993372780084610E-001,-9.589794516563416E-001,
1.075000000000000E+009,-3.535014798041968E-001,-5.375203639750968E-001,-2.071324911104751E-001,-9.582837474359598E-001,-2.074881443406272E-001,-9.574380021945940E-001,-2.079466027021408E-001,-9.574026608467103E-001,
1.080000000000000E+009,-1.978627963602563E-002,-5.353533830109649E-001,-2.160596772174840E-001,-9.563443732954731E-001,-2.163810826538145E-001,-9.555931706639097E-001,-2.168762856721878E-001,-9.554573822021486E-001,
1.085000000000000E+009,4.321650813307287E-002,-7.716427198655594E-001,-2.250029623104164E-001,-9.544415214285822E-001,-2.253067987870741E-001,-9.536936115825049E-001,-2.257959187030793E-001,-9.535519504547121E-001,
1.090000000000000E+009,-2.136631394314385E-002,-8.757784425780570E-001,-2.332900809003334E-001,-9.523152611402265E-001,-2.335832772175643E-001,-9.514672485774620E-001,-2.340998190641404E-001,-9.513320708274842E-001,
1.095000000000000E+009,-7.729479796773392E-002,-9.144993667395047E-001,-2.417164118726625E-001,-9.501172249000687E-001,-2.420480760848031E-001,-9.492498441985880E-001,-2.423888570070267E-001,-9.491050362586977E-001,
1.100000000000000E+009,-1.182568194305677E-001,-9.297918369387591E-001,-2.501236742399947E-001,-9.473928534957230E-001,-2.503645755215688E-001,-9.464692220726733E-001,-2.507598125934601E-001,-9.463710522651673E-001,
1.105000000000000E+009,-1.489988039368860E-001,-9.366450724456649E-001,-2.583194300525310E-001,-9.451161967061390E-001,-2.586208091489171E-001,-9.442461850119156E-001,-2.590129184722901E-001,-9.440894222259524E-001,
1.110000000000000E+009,-1.732390848706429E-001,-9.388298950133535E-001,-2.663535113132766E-001,-9.423117065199635E-001,-2.666035520873336E-001,-9.414400121769371E-001,-2.669641315937043E-001,-9.413334441184997E-001,
