% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:Trc14_S11,im:Trc14_S11,
1.000000000000000E+009,-1.641365678843285E-001,-9.815626074529377E-001,-1.036711602956092E-001,8.263965836122128E-003,
1.005000000000000E+009,-1.730611263109909E-001,-9.791472737240240E-001,-1.077531835591892E-001,1.319596640459132E-002,
1.010000000000000E+009,-1.809605487345859E-001,-9.764823968775526E-001,-1.112447940617528E-001,1.628283430687651E-002,
1.015000000000000E+009,-1.878445341711638E-001,-9.738824072870278E-001,-1.133797871155005E-001,2.227504362322360E-002,
1.020000000000000E+009,-1.947354047965126E-001,-9.725982075136804E-001,-1.157999792804959E-001,2.816992471242940E-002,
1.025000000000000E+009,-2.018522104027567E-001,-9.714767944334255E-001,-1.165057179886400E-001,3.515496953470694E-002,
1.030000000000000E+009,-2.089727039952896E-001,-9.709938109272981E-001,-1.162502966876214E-001,4.131941735799717E-002,
1.035000000000000E+009,-2.167792638583810E-001,-9.699089397320508E-001,-1.129343229683244E-001,4.536936895082243E-002,
1.040000000000000E+009,-2.246587339213826E-001,-9.696313818460838E-001,-1.108727778408591E-001,5.076527068214151E-002,
1.045000000000000E+009,-2.332480307073098E-001,-9.680081564893333E-001,-1.072994564589561E-001,5.414684830312146E-002,
1.050000000000000E+009,-2.413928201521373E-001,-9.666672303750883E-001,-1.019360981647617E-001,5.590747285005165E-002,
1.055000000000000E+009,-2.509007712162885E-001,-9.645330137752128E-001,-9.745730225703232E-002,5.466717111379273E-002,
1.060000000000000E+009,-2.600049256799639E-001,-9.621905565295739E-001,-9.313369240729036E-002,5.274264709868885E-002,
1.065000000000000E+009,-2.696194177728181E-001,-9.603034121957388E-001,-8.700737173316928E-002,5.010569323865964E-002,
1.070000000000000E+009,-2.789734422598706E-001,-9.576067745567971E-001,-8.355750431526557E-002,4.704432843791701E-002,
1.075000000000000E+009,-2.895658081445395E-001,-9.543239992461168E-001,-8.068292309859751E-002,4.193411457150109E-002,
1.080000000000000E+009,-2.990608771105831E-001,-9.513934983211574E-001,-7.873140908373497E-002,3.629301739693588E-002,
1.085000000000000E+009,-3.097896688231530E-001,-9.480948956684104E-001,-7.648714737110622E-002,3.057791522617912E-002,
1.090000000000000E+009,-3.197517416800102E-001,-9.448019270499810E-001,-7.697603238196216E-002,2.732658522770164E-002,
1.095000000000000E+009,-3.290130292363001E-001,-9.412053176028825E-001,-7.673938657296509E-002,2.283410948030851E-002,
1.100000000000000E+009,-3.388876545962234E-001,-9.371624454765731E-001,-7.895616070745549E-002,2.203219409025607E-002,
1.105000000000000E+009,-3.487398438398704E-001,-9.330999100865355E-001,-8.090769499671091E-002,1.877166517928678E-002,
1.110000000000000E+009,-3.579217544802537E-001,-9.287471863836077E-001,-8.426332881482584E-002,2.163796207648058E-002,
1.115000000000000E+009,-3.671099045341443E-001,-9.246222073608615E-001,-8.826621020189543E-002,2.036360533311054E-002,
1.120000000000000E+009,-3.762878946333729E-001,-9.202382880761636E-001,-9.093186727441718E-002,2.274132722015838E-002,
1.125000000000000E+009,-3.860604270635063E-001,-9.169971384471793E-001,-9.376059710919457E-002,2.750161473060590E-002,
1.130000000000000E+009,-3.961315152194371E-001,-9.124828663176055E-001,-9.787027891213798E-002,3.319046490025375E-002,
1.135000000000000E+009,-4.053961415653473E-001,-9.084601983011584E-001,-9.769990040961105E-002,4.002237517634540E-002,
1.140000000000000E+009,-4.150815845495652E-001,-9.043360216871197E-001,-9.630388939304112E-002,4.621912962390089E-002,
1.145000000000000E+009,-4.254396103545287E-001,-8.993510785219269E-001,-9.441749986703420E-002,5.386437429275458E-002,
1.150000000000000E+009,-4.357447702707093E-001,-8.947080854353684E-001,-9.073371066781381E-002,5.842501213496826E-002,
1.155000000000000E+009,-4.463382262932296E-001,-8.903537868607290E-001,-8.498535343354551E-002,6.241530846727035E-002,
1.160000000000000E+009,-4.574288568910239E-001,-8.847063144306100E-001,-8.041034850624267E-002,6.763382499642053E-002,
1.165000000000000E+009,-4.693127287933587E-001,-8.792608016325243E-001,-7.141675619150580E-002,6.894060945728325E-002,
1.170000000000000E+009,-4.808528999176693E-001,-8.729189040285375E-001,-6.379096551572630E-002,6.842600665423074E-002,
1.175000000000000E+009,-4.935930303404410E-001,-8.668466690717003E-001,-5.672589314576412E-002,6.664217512263451E-002,
1.180000000000000E+009,-5.066200962102788E-001,-8.586328697527033E-001,-4.441516575368509E-002,6.346123799279217E-002,
1.185000000000000E+009,-5.202371596108251E-001,-8.499023043873636E-001,-3.613976792691716E-002,5.824792509921138E-002,
1.190000000000000E+009,-5.351967437701570E-001,-8.402927434865944E-001,-2.612079423384578E-002,4.931875030950958E-002,
1.195000000000000E+009,-5.519941001212667E-001,-8.286211228028205E-001,-1.215540499299645E-002,3.927764199309281E-002,
1.200000000000000E+009,-5.705243484307542E-001,-8.138629543103406E-001,2.038843728688995E-003,2.493428369463759E-002,
1.205000000000000E+009,-5.937079649850543E-001,-7.948153661221817E-001,1.932892443197161E-002,7.982627012349834E-003,
1.210000000000000E+009,-6.199348865583574E-001,-7.680281933682747E-001,3.899094613471850E-002,-1.815641400878341E-002,
1.215000000000000E+009,-6.523805518175363E-001,-7.260759633278561E-001,6.529905386687422E-002,-5.676133743010078E-002,
1.220000000000000E+009,-6.895684866075618E-001,-6.545365337486381E-001,9.438075992461707E-002,-1.219729817261831E-001,
1.225000000000000E+009,-7.105834659506929E-001,-5.130679603002434E-001,1.157184050555249E-001,-2.590028245861374E-001,
1.230000000000000E+009,-5.603509203814144E-001,-2.587162389449347E-001,-2.464550208971547E-002,-5.139669340221289E-001,
1.235000000000000E+009,-1.038760898540246E-001,-3.728679514224625E-001,-4.865938088284730E-001,-4.342328236691359E-001,
1.240000000000000E+009,-1.207895674015234E-001,-7.189916432799233E-001,-5.083796793033863E-001,-9.262292576794841E-002,
1.245000000000000E+009,-2.495370019713744E-001,-8.222872221355237E-001,-4.046626909728378E-001,2.636759392901601E-002,
1.250000000000000E+009,-3.332457385399990E-001,-8.470529047670063E-001,-3.349742674548341E-001,6.511079580257424E-002,
1.255000000000000E+009,-3.885993778093709E-001,-8.482600200412456E-001,-2.948444864223239E-001,8.053919669514138E-002,
1.260000000000000E+009,-4.265369666550473E-001,-8.446468997537618E-001,-2.662064804969093E-001,9.094356357245940E-002,
1.265000000000000E+009,-4.546935380188706E-001,-8.386968537628803E-001,-2.471193848445335E-001,9.830475651741190E-002,
1.270000000000000E+009,-4.763445781041250E-001,-8.322727912653590E-001,-2.337330175113725E-001,1.053234399608422E-001,
1.275000000000000E+009,-4.952569742052365E-001,-8.258677208894178E-001,-2.213587372485678E-001,1.111824529853964E-001,
1.280000000000000E+009,-5.111697785998348E-001,-8.195088942503528E-001,-2.122368309891615E-001,1.178555020093569E-001,
