% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:Trc14_S11,im:Trc14_S11,
1.000000000000000E+009,-1.292435836984093E-001,-9.726798287042713E-001,-9.911336961417237E-002,2.877667995223096E-002,
1.005000000000000E+009,-1.383134044618357E-001,-9.712627719099146E-001,-9.816258573551849E-002,2.997261157748452E-002,
1.010000000000000E+009,-1.469810501026883E-001,-9.692388982183621E-001,-9.729454137853580E-002,2.972711353499728E-002,
1.015000000000000E+009,-1.556055846184359E-001,-9.671443222261704E-001,-9.692768195723041E-002,3.157140777144595E-002,
1.020000000000000E+009,-1.638771395713964E-001,-9.646106075098750E-001,-9.653877960816812E-002,3.273885936724319E-002,
1.025000000000000E+009,-1.716377194613234E-001,-9.619893258216288E-001,-9.433781342383489E-002,3.434651789552551E-002,
1.030000000000000E+009,-1.792135810355877E-001,-9.598342315566399E-001,-9.431819576409405E-002,3.654925930306482E-002,
1.035000000000000E+009,-1.868323118395340E-001,-9.580353745454220E-001,-9.278100979536870E-002,3.838619867711639E-002,
1.040000000000000E+009,-1.942477303777670E-001,-9.565923692667624E-001,-9.138162131262048E-002,3.970055529272464E-002,
1.045000000000000E+009,-2.019079155674843E-001,-9.554705809435206E-001,-8.985188414843892E-002,4.250231246748500E-002,
1.050000000000000E+009,-2.102748200571591E-001,-9.540982182362487E-001,-8.835489170765307E-002,4.539408785653079E-002,
1.055000000000000E+009,-2.190122063048385E-001,-9.528902308672961E-001,-8.507392601341750E-002,4.635488532368461E-002,
1.060000000000000E+009,-2.281290993130408E-001,-9.511884432391056E-001,-8.204671352307473E-002,4.824999669390587E-002,
1.065000000000000E+009,-2.375288648294099E-001,-9.496788179247533E-001,-7.963364276433566E-002,4.928612096505931E-002,
1.070000000000000E+009,-2.474560465806432E-001,-9.475451971196389E-001,-7.611039276581244E-002,4.909845335124313E-002,
1.075000000000000E+009,-2.572661719713227E-001,-9.452245984361538E-001,-7.353483744541470E-002,4.909011344286477E-002,
1.080000000000000E+009,-2.674331359190432E-001,-9.425207015707930E-001,-7.252801487852573E-002,4.785501533406761E-002,
1.085000000000000E+009,-2.777441703460140E-001,-9.397200435237872E-001,-6.993199672583478E-002,4.718271035637996E-002,
1.090000000000000E+009,-2.876841405927580E-001,-9.365782275510115E-001,-6.863830046917907E-002,4.571162181812555E-002,
1.095000000000000E+009,-2.978192337391462E-001,-9.333862995510379E-001,-6.754156241009975E-002,4.417704929111690E-002,
1.100000000000000E+009,-3.078652732326108E-001,-9.295084587575399E-001,-6.701345023919281E-002,4.260378772642071E-002,
1.105000000000000E+009,-3.181570798220265E-001,-9.261261785970147E-001,-6.621785910298667E-002,4.218445443289803E-002,
1.110000000000000E+009,-3.284097727459180E-001,-9.220766911618733E-001,-6.548816166379246E-002,4.134489302699823E-002,
1.115000000000000E+009,-3.389974511548864E-001,-9.178513024810002E-001,-6.437575309205589E-002,3.980872563298730E-002,
1.120000000000000E+009,-3.498122839623320E-001,-9.133205790309098E-001,-6.186403836314752E-002,4.064946414707027E-002,
1.125000000000000E+009,-3.612486825709793E-001,-9.090701898029636E-001,-5.990417188634127E-002,4.084491422215519E-002,
1.130000000000000E+009,-3.732158703208315E-001,-9.044869522290923E-001,-5.596994050293191E-002,4.181428538521949E-002,
1.135000000000000E+009,-3.860811180936661E-001,-8.989827251127598E-001,-4.973219881979177E-002,4.205447114445535E-002,
1.140000000000000E+009,-3.995819154521117E-001,-8.930725266855024E-001,-4.367394323440555E-002,4.177960058140587E-002,
