% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,
1.000000000000000E+009,-9.171571134469729E-002,-9.775931233725966E-001,
1.005000000000000E+009,-1.003802354439777E-001,-9.765940336113681E-001,
1.010000000000000E+009,-1.085057242959545E-001,-9.750295938427536E-001,
1.015000000000000E+009,-1.165725402392042E-001,-9.735026711042345E-001,
1.020000000000000E+009,-1.244988399117135E-001,-9.714900107212108E-001,
1.025000000000000E+009,-1.319151830667531E-001,-9.694141239427501E-001,
1.030000000000000E+009,-1.391025529228297E-001,-9.674474121497265E-001,
1.035000000000000E+009,-1.463181680016706E-001,-9.658333472965313E-001,
1.040000000000000E+009,-1.529533715460368E-001,-9.644403854222334E-001,
1.045000000000000E+009,-1.595793987950818E-001,-9.634552014060150E-001,
1.050000000000000E+009,-1.669084336033489E-001,-9.624567484735269E-001,
1.055000000000000E+009,-1.744814499902282E-001,-9.617716436776501E-001,
1.060000000000000E+009,-1.824526492688690E-001,-9.607228015242767E-001,
1.065000000000000E+009,-1.906552815712539E-001,-9.598323016985638E-001,
1.070000000000000E+009,-1.993861672188749E-001,-9.584929438379133E-001,
1.075000000000000E+009,-2.079359570102622E-001,-9.569682638272772E-001,
1.080000000000000E+009,-2.168173771038807E-001,-9.550199325632380E-001,
1.085000000000000E+009,-2.256965401338227E-001,-9.530769579006697E-001,
1.090000000000000E+009,-2.340569450363834E-001,-9.508710130547848E-001,
1.095000000000000E+009,-2.423791574796783E-001,-9.486588540741530E-001,
1.100000000000000E+009,-2.506652604722831E-001,-9.458768915161213E-001,
1.105000000000000E+009,-2.588491049316848E-001,-9.436815151408816E-001,
1.110000000000000E+009,-2.667010259090640E-001,-9.409029464997281E-001,
1.115000000000000E+009,-2.746460831407656E-001,-9.379815645292370E-001,
1.120000000000000E+009,-2.823559899061956E-001,-9.350203562271680E-001,
1.125000000000000E+009,-2.900404471655412E-001,-9.327738681061447E-001,
1.130000000000000E+009,-2.977048876452282E-001,-9.304058815872397E-001,
1.135000000000000E+009,-3.055694034053759E-001,-9.277795758768588E-001,
1.140000000000000E+009,-3.131671125946982E-001,-9.252403923534019E-001,
1.145000000000000E+009,-3.209847515194648E-001,-9.226166966651376E-001,
1.150000000000000E+009,-3.283980878184025E-001,-9.195118546196051E-001,
1.155000000000000E+009,-3.363180496487467E-001,-9.168077183780095E-001,
1.160000000000000E+009,-3.444836170011663E-001,-9.141820664194134E-001,
1.165000000000000E+009,-3.525350285184318E-001,-9.112136614775027E-001,
1.170000000000000E+009,-3.608056500744586E-001,-9.082558742616447E-001,
1.175000000000000E+009,-3.688769869182946E-001,-9.054269896182710E-001,
1.180000000000000E+009,-3.769857397669862E-001,-9.024458834262761E-001,
1.185000000000000E+009,-3.849829564266191E-001,-8.993447771263076E-001,
