% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap1_copo2_0_5leite_desnato_S21,im:cap1_copo2_0_5leite_desnato_S21,re:cap1_copo2_0_5leite_semi_desnato_S21,im:cap1_copo2_0_5leite_semi_desnato_S21,re:cap1_copo2_0_5leite_integral_S21,im:cap1_copo2_0_5leite_integral_S21,
1.000000000000000E+009,-9.002806187173855E-002,-9.684722222088954E-001,-9.055383769849976E-002,-9.669079046298132E-001,-8.906273763179781E-002,-9.682727981834416E-001,-9.003643739949972E-002,-9.684336360762145E-001,
1.005000000000000E+009,-9.811553357526778E-002,-9.670466462891123E-001,-9.845700376128753E-002,-9.654863093516248E-001,-9.718452005720141E-002,-9.668332224960329E-001,-9.813019557333949E-002,-9.669267975292364E-001,
1.010000000000000E+009,-1.055289770151646E-001,-9.654649338604693E-001,-1.057216182532047E-001,-9.640080254409142E-001,-1.045222416605950E-001,-9.653495715141298E-001,-1.054953379973520E-001,-9.654126955315640E-001,
1.015000000000000E+009,-1.122478651240503E-001,-9.640210454832164E-001,-1.124191681047048E-001,-9.626653371477879E-001,-1.113734266943932E-001,-9.638465892829897E-001,-1.122672313362162E-001,-9.639423989203015E-001,
1.020000000000000E+009,-1.194237977394008E-001,-9.628623255318500E-001,-1.196503226522848E-001,-9.616226569343614E-001,-1.185557790780068E-001,-9.626934415550233E-001,-1.194384499220802E-001,-9.628088452400241E-001,
1.025000000000000E+009,-1.262689054194754E-001,-9.617828458564792E-001,-1.264265985194187E-001,-9.605167952411868E-001,-1.253207747573853E-001,-9.616631571388247E-001,-1.262892724192780E-001,-9.618088595844191E-001,
1.030000000000000E+009,-1.332488855718992E-001,-9.608988890253638E-001,-1.332253808775902E-001,-9.596568675323045E-001,-1.322539240856171E-001,-9.608207318267824E-001,-1.332396653083972E-001,-9.609313897784205E-001,
1.035000000000000E+009,-1.408989890412128E-001,-9.605202123578214E-001,-1.406250079509324E-001,-9.593426042531739E-001,-1.398634416198731E-001,-9.602929874534609E-001,-1.409146987426660E-001,-9.604561698350961E-001,
1.040000000000000E+009,-1.480158591152261E-001,-9.596645114529672E-001,-1.475781374707803E-001,-9.589406575824305E-001,-1.468952859582901E-001,-9.594966919364931E-001,-1.479658886962587E-001,-9.596158445697653E-001,
1.045000000000000E+009,-1.552624096069301E-001,-9.587652399147228E-001,-1.550471709621221E-001,-9.584348681381157E-001,-1.541059926128388E-001,-9.586865412330630E-001,-1.552015729165967E-001,-9.587126769792828E-001,
