% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap1_copo2_0_1plstc_S21,im:cap1_copo2_0_1plstc_S21,re:cap1_copo2_0_5plstc_S21,im:cap1_copo2_0_5plstc_S21,re:cap1_copo2_0_75plstc_S21,im:cap1_copo2_0_75plstc_S21,re:cap1_copo2_1plstc_S21,im:cap1_copo2_1plstc_S21,
1.000000000000000E+009,-9.094248712062836E-002,-9.698916077613831E-001,-8.894984573765855E-002,-9.696256798842141E-001,-9.183738806388520E-002,-9.700330028618910E-001,-9.164540128726240E-002,-9.698613084077371E-001,-9.106710823179813E-002,-9.699285941870852E-001,
1.005000000000000E+009,-9.944634139537811E-002,-9.683985710144043E-001,-9.739777227950042E-002,-9.680697711255855E-001,-1.002909460165041E-001,-9.685031323244646E-001,-1.000472538542789E-001,-9.682949464295630E-001,-9.946567730296646E-002,-9.684112972817806E-001,
1.010000000000000E+009,-1.072679981589317E-001,-9.666899442672730E-001,-1.051851238656734E-001,-9.663638556290044E-001,-1.079865102317945E-001,-9.667369301931205E-001,-1.078348822264745E-001,-9.665495247346616E-001,-1.072142686982479E-001,-9.666389594466783E-001,
1.015000000000000E+009,-1.140754148364067E-001,-9.648134708404541E-001,-1.121994461197656E-001,-9.645129410627986E-001,-1.150251222688798E-001,-9.648390155161849E-001,-1.147375243106530E-001,-9.646633534736198E-001,-1.142435707152509E-001,-9.647624846566596E-001,
1.020000000000000E+009,-1.214665398001671E-001,-9.632921814918518E-001,-1.192655282769681E-001,-9.630000590842635E-001,-1.220683869203473E-001,-9.632319692207136E-001,-1.218231539522719E-001,-9.630680080791290E-001,-1.213350309145287E-001,-9.631673315901671E-001,
1.025000000000000E+009,-1.277590095996857E-001,-9.617004990577698E-001,-1.257165088714400E-001,-9.617210784437555E-001,-1.284713263488398E-001,-9.619452414209028E-001,-1.282771996292194E-001,-9.618157302891135E-001,-1.278032161844251E-001,-9.618434494638666E-001,
1.030000000000000E+009,-1.343681663274765E-001,-9.610477685928345E-001,-1.323913422580222E-001,-9.609947164515256E-001,-1.351201335390933E-001,-9.612353062402121E-001,-1.348840652453014E-001,-9.611078000273751E-001,-1.343550294388504E-001,-9.610534861766047E-001,
1.035000000000000E+009,-1.417630016803742E-001,-9.610372781753540E-001,-1.399056002927082E-001,-9.608842271163131E-001,-1.426032577546449E-001,-9.611192461657580E-001,-1.423981444742105E-001,-9.609089983491432E-001,-1.419180843624248E-001,-9.609659865809429E-001,
1.040000000000000E+009,-1.491437554359436E-001,-9.602822065353394E-001,-1.472235052748982E-001,-9.603715336926336E-001,-1.499474386834100E-001,-9.605580506436795E-001,-1.497341089169859E-001,-9.603958865354028E-001,-1.490752024752118E-001,-9.603900143311759E-001,
1.045000000000000E+009,-1.567347347736359E-001,-9.596533179283142E-001,-1.548599385777512E-001,-9.596219118772160E-001,-1.575260510254112E-001,-9.597366219397417E-001,-1.572560045145185E-001,-9.595817646838036E-001,-1.567255542181987E-001,-9.596155617575241E-001,
1.050000000000000E+009,-1.644200235605240E-001,-9.582236409187317E-001,-1.625917980383252E-001,-9.582751509843265E-001,-1.651504124668007E-001,-9.583735863250960E-001,-1.649989256272066E-001,-9.582330066655613E-001,-1.643875426622421E-001,-9.583086510712711E-001,
1.055000000000000E+009,-1.727346628904343E-001,-9.573249220848084E-001,-1.709655339242183E-001,-9.573380072828002E-001,-1.735909279980774E-001,-9.574528551383317E-001,-1.733775469621066E-001,-9.572387336841028E-001,-1.728230302194758E-001,-9.573384789625190E-001,
1.060000000000000E+009,-1.804820150136948E-001,-9.559508562088013E-001,-1.788319006042132E-001,-9.560094714378783E-001,-1.813550832268399E-001,-9.561153426896092E-001,-1.811678992500016E-001,-9.559378970000863E-001,-1.805557197960330E-001,-9.559888402984380E-001,
1.065000000000000E+009,-1.896456480026245E-001,-9.548926353454590E-001,-1.877981467570861E-001,-9.547921614006524E-001,-1.903478737013822E-001,-9.548411584489954E-001,-1.901334218707033E-001,-9.546596405668162E-001,-1.895181922737558E-001,-9.547279046901422E-001,
