% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:Trc14_S11,im:Trc14_S11,
1.000000000000000E+009,-1.289815979006296E-001,-9.730454860005264E-001,-9.894493717820117E-002,2.894521034489602E-002,
1.005000000000000E+009,-1.380567085718558E-001,-9.716554713139444E-001,-9.805735710331072E-002,3.018012376872880E-002,
1.010000000000000E+009,-1.467094180556431E-001,-9.696988673524332E-001,-9.721562660443683E-002,2.994506526126962E-002,
1.015000000000000E+009,-1.553238645210623E-001,-9.675738648587307E-001,-9.688341917378865E-002,3.180491956612855E-002,
1.020000000000000E+009,-1.636613612803944E-001,-9.650442009659305E-001,-9.653476984969714E-002,3.298484820162370E-002,
1.025000000000000E+009,-1.714002916526518E-001,-9.624937678928467E-001,-9.433686655906298E-002,3.456257001255013E-002,
1.030000000000000E+009,-1.790167960369055E-001,-9.603600710539724E-001,-9.436090365891209E-002,3.674966379508889E-002,
1.035000000000000E+009,-1.867185013188657E-001,-9.584464813801467E-001,-9.281224643336046E-002,3.849654040911454E-002,
1.040000000000000E+009,-1.940781273408610E-001,-9.569901978372025E-001,-9.145022312458820E-002,3.975044388196725E-002,
1.045000000000000E+009,-2.017580118575599E-001,-9.558097710853409E-001,-8.993169867870485E-002,4.247519091490029E-002,
1.050000000000000E+009,-2.100834329846818E-001,-9.545058310610819E-001,-8.847640192035144E-002,4.533359003072679E-002,
1.055000000000000E+009,-2.188820657417243E-001,-9.532511647717276E-001,-8.516713203594255E-002,4.627906975950182E-002,
1.060000000000000E+009,-2.279489301034205E-001,-9.515537721424490E-001,-8.213266843215517E-002,4.811441526940095E-002,
1.065000000000000E+009,-2.373769165500654E-001,-9.500607919337918E-001,-7.968559716095172E-002,4.916147675894921E-002,
1.070000000000000E+009,-2.473294441351819E-001,-9.479541012051796E-001,-7.610395402867524E-002,4.897647936349931E-002,
1.075000000000000E+009,-2.571475122158234E-001,-9.455801116192215E-001,-7.345067094664445E-002,4.894978206895463E-002,
1.080000000000000E+009,-2.673375072323438E-001,-9.429343319268631E-001,-7.233940591798448E-002,4.769960357794992E-002,
1.085000000000000E+009,-2.777449921532837E-001,-9.400892859878761E-001,-6.965825019100604E-002,4.700656949136431E-002,
