% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:Trc14_S11,im:Trc14_S11,
1.000000000000000E+009,-1.510074076972824E-001,-9.855429711154726E-001,-9.041805110504150E-002,4.262982990168382E-003,
1.005000000000000E+009,-1.599121636085129E-001,-9.832957363502565E-001,-9.465269961528704E-002,8.972465726110842E-003,
1.010000000000000E+009,-1.678604523584244E-001,-9.808266600350100E-001,-9.822869800314639E-002,1.186348595748082E-002,
1.015000000000000E+009,-1.747359486745713E-001,-9.784911922212710E-001,-1.005137154876313E-001,1.773020705206890E-002,
1.020000000000000E+009,-1.817686896791794E-001,-9.774082168580691E-001,-1.030640604047280E-001,2.353998381679364E-002,
1.025000000000000E+009,-1.889473346115723E-001,-9.764493477885867E-001,-1.038080887799607E-001,3.043384964160786E-002,
1.030000000000000E+009,-1.960685502763413E-001,-9.760257654378116E-001,-1.036275867350281E-001,3.646311326788827E-002,
1.035000000000000E+009,-2.039511675456666E-001,-9.750337732579469E-001,-1.003390561885277E-001,4.045837545991975E-002,
1.040000000000000E+009,-2.119025858915772E-001,-9.748492704799990E-001,-9.831945212397542E-002,4.579749771882172E-002,
1.045000000000000E+009,-2.205093332432877E-001,-9.732548744486087E-001,-9.474326744522708E-002,4.910867819164774E-002,
1.050000000000000E+009,-2.286271998895875E-001,-9.719748741466922E-001,-8.934480833037951E-002,5.084806960328790E-002,
1.055000000000000E+009,-2.381981814045075E-001,-9.699884949853761E-001,-8.477236808424990E-002,4.959132641292802E-002,
1.060000000000000E+009,-2.472597040294068E-001,-9.677458470184938E-001,-8.032257248955692E-002,4.762076700566560E-002,
1.065000000000000E+009,-2.567649690584961E-001,-9.659053614419925E-001,-7.404100954126208E-002,4.497229865092163E-002,
1.070000000000000E+009,-2.660837024842775E-001,-9.633527914772891E-001,-7.045747072322160E-002,4.184186241894151E-002,
1.075000000000000E+009,-2.766092208762025E-001,-9.601942546815555E-001,-6.736417932936098E-002,3.661242155689431E-002,
1.080000000000000E+009,-2.861101751298280E-001,-9.574083499292970E-001,-6.519745676968689E-002,3.086409430179196E-002,
1.085000000000000E+009,-2.967333576322144E-001,-9.542267703849856E-001,-6.275409898219149E-002,2.501685213139592E-002,
