% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:Trc14_S11,im:Trc14_S11,
1.000000000000000E+009,-1.291660907960492E-001,-9.728648326618105E-001,-9.908752495553533E-002,2.887219467046647E-002,
1.005000000000000E+009,-1.381949679503252E-001,-9.714337181973959E-001,-9.816592487321303E-002,3.007971657373236E-002,
1.010000000000000E+009,-1.468514752991928E-001,-9.693691485740510E-001,-9.730828387439051E-002,2.983423290507341E-002,
1.015000000000000E+009,-1.554437423653919E-001,-9.673250716771361E-001,-9.697373323464435E-002,3.169739884822029E-002,
1.020000000000000E+009,-1.637341698641547E-001,-9.648483043021149E-001,-9.661657254537179E-002,3.287764377971690E-002,
1.025000000000000E+009,-1.715462012327865E-001,-9.622534192539647E-001,-9.440565020003444E-002,3.448543244123631E-002,
1.030000000000000E+009,-1.791456777178562E-001,-9.600540761025236E-001,-9.439190776179365E-002,3.667558366903040E-002,
1.035000000000000E+009,-1.868170869013155E-001,-9.582259531655197E-001,-9.284879412138132E-002,3.844621605360951E-002,
1.040000000000000E+009,-1.941304851301613E-001,-9.567695967033694E-001,-9.148474251097878E-002,3.972837670266839E-002,
1.045000000000000E+009,-2.017782570275210E-001,-9.555974140721916E-001,-8.995586433462234E-002,4.249833466130795E-002,
1.050000000000000E+009,-2.101687777112828E-001,-9.542503336770978E-001,-8.847955553264714E-002,4.537461168820511E-002,
1.055000000000000E+009,-2.189342198773008E-001,-9.530284794310149E-001,-8.518727462373495E-002,4.631321309673972E-002,
1.060000000000000E+009,-2.280466815259300E-001,-9.513759958980356E-001,-8.216540914586336E-002,4.818630781483974E-002,
1.065000000000000E+009,-2.374107048358078E-001,-9.498498634168358E-001,-7.974157848287904E-002,4.921983120243024E-002,
1.070000000000000E+009,-2.473624833507724E-001,-9.477196317053220E-001,-7.618545475301851E-002,4.904421987776637E-002,
1.075000000000000E+009,-2.572124653830963E-001,-9.454010686035499E-001,-7.357210104805033E-002,4.903513296723708E-002,
1.080000000000000E+009,-2.673534918571107E-001,-9.427138314467344E-001,-7.249509010875657E-002,4.779382947092147E-002,
1.085000000000000E+009,-2.777781663627354E-001,-9.398614174534223E-001,-6.984445254379897E-002,4.709880114346582E-002,
1.090000000000000E+009,-2.876054397566178E-001,-9.367199682813434E-001,-6.852784729195019E-002,4.560845148368732E-002,
1.095000000000000E+009,-2.977605374270340E-001,-9.335441200647719E-001,-6.743253188731001E-002,4.406878153099082E-002,
1.100000000000000E+009,-3.079244435484271E-001,-9.296710457075481E-001,-6.688428111767039E-002,4.252999974403134E-002,
1.105000000000000E+009,-3.182097253635650E-001,-9.262640625608134E-001,-6.606912928228342E-002,4.211426452593321E-002,
1.110000000000000E+009,-3.284952780706184E-001,-9.222492198568240E-001,-6.533943264056136E-002,4.126878568704531E-002,
1.115000000000000E+009,-3.390684902301749E-001,-9.178950681622869E-001,-6.423423202983511E-002,3.977508614285088E-002,
1.120000000000000E+009,-3.499619561835672E-001,-9.133759004286453E-001,-6.174307361493358E-002,4.063243590000015E-002,
