% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:Trc14_S11,im:Trc14_S11,
1.000000000000000E+009,-1.277818994748341E-001,-9.760518150039510E-001,-7.095528065482890E-002,2.530490717235400E-002,
1.005000000000000E+009,-1.382939004412250E-001,-9.745513720371797E-001,-6.861101517140131E-002,2.629916785357721E-002,
1.010000000000000E+009,-1.485326638787395E-001,-9.723567946750473E-001,-6.614635879366328E-002,2.577434928582425E-002,
1.015000000000000E+009,-1.590286236979221E-001,-9.700978356392946E-001,-6.386870225219327E-002,2.729525479763443E-002,
1.020000000000000E+009,-1.696845008990169E-001,-9.673155073941659E-001,-6.119768758005969E-002,2.804050722360839E-002,
1.025000000000000E+009,-1.802247026290800E-001,-9.641590993356368E-001,-5.620388482534054E-002,2.896471573351315E-002,
1.030000000000000E+009,-1.911393380540809E-001,-9.610778746545053E-001,-5.287160329642374E-002,3.032073712874820E-002,
1.035000000000000E+009,-2.026469294049000E-001,-9.579693472307799E-001,-4.734857542495694E-002,3.083863624175111E-002,
1.040000000000000E+009,-2.143530863133221E-001,-9.546990251602282E-001,-4.134745050893836E-002,3.044005759105417E-002,
1.045000000000000E+009,-2.273171285811969E-001,-9.512787358516281E-001,-3.420230358873566E-002,3.108348967809308E-002,
1.050000000000000E+009,-2.423053232904137E-001,-9.470266011192897E-001,-2.563914351109879E-002,3.130323189978539E-002,
1.055000000000000E+009,-2.593297469231196E-001,-9.417383441607348E-001,-1.339793018979606E-002,2.849348160595170E-002,
1.060000000000000E+009,-2.794424677084183E-001,-9.340313854499716E-001,1.619751515537316E-003,2.483343677214172E-002,
1.065000000000000E+009,-3.036834613390623E-001,-9.232860904543208E-001,2.015422614551079E-002,1.725265409083253E-002,
1.070000000000000E+009,-3.337870701959851E-001,-9.057185474871460E-001,4.584955872993769E-002,2.235336623181578E-003,
1.075000000000000E+009,-3.721168262360290E-001,-8.750052808585314E-001,8.002583599696504E-002,-2.537320027038471E-002,
1.080000000000000E+009,-4.199084315941759E-001,-8.134466174938726E-001,1.243072919277219E-001,-8.457917688802327E-002,
1.085000000000000E+009,-4.512523941822524E-001,-6.718824921415698E-001,1.590886011639661E-001,-2.265850268145513E-001,
1.090000000000000E+009,-2.712976266303088E-001,-4.509145215360558E-001,-1.531970869610915E-002,-4.666229186525729E-001,
1.095000000000000E+009,3.531817534053133E-002,-6.102333174174192E-001,-3.497822338935587E-001,-3.284710656839822E-001,
1.100000000000000E+009,1.302054863584921E-002,-8.141417592564414E-001,-3.541726492769648E-001,-1.162974233471571E-001,
1.105000000000000E+009,-5.692931663985164E-002,-8.891015086938777E-001,-2.989699151743831E-001,-3.170552484382941E-002,
1.110000000000000E+009,-1.093102119672809E-001,-9.165278974667419E-001,-2.578380565631847E-001,2.749924269870517E-003,
1.115000000000000E+009,-1.473384708939325E-001,-9.274807806214227E-001,-2.299249331743281E-001,1.864834117075346E-002,
1.120000000000000E+009,-1.757969502365532E-001,-9.315886711845022E-001,-2.106342712364085E-001,2.946859335727690E-002,
1.125000000000000E+009,-1.986505567137006E-001,-9.330581140214121E-001,-1.976294729290455E-001,3.584543814859494E-002,
1.130000000000000E+009,-2.177560186706399E-001,-9.331247542732899E-001,-1.873569437851837E-001,4.169240827636422E-002,
1.135000000000000E+009,-2.343942547908603E-001,-9.320860277002147E-001,-1.780363106925512E-001,4.656014578883903E-002,
1.140000000000000E+009,-2.491441259390487E-001,-9.304257086304314E-001,-1.715730163559526E-001,5.030601040867182E-002,
1.145000000000000E+009,-2.627679001483088E-001,-9.285861325397933E-001,-1.650438635088604E-001,5.450657280505922E-002,
1.150000000000000E+009,-2.751193107581230E-001,-9.259512393083379E-001,-1.588898279895483E-001,5.734215655842025E-002,
1.155000000000000E+009,-2.871912124908366E-001,-9.236210667288141E-001,-1.530558771506981E-001,6.116087685163366E-002,
1.160000000000000E+009,-2.987978028742080E-001,-9.213284396801716E-001,-1.472565345264257E-001,6.447574605096564E-002,
1.165000000000000E+009,-3.098392279365160E-001,-9.185257121847211E-001,-1.423415676389360E-001,6.725857545330675E-002,
1.170000000000000E+009,-3.207778619477061E-001,-9.157416483183111E-001,-1.366499666692433E-001,6.981977134215857E-002,
1.175000000000000E+009,-3.312327858512400E-001,-9.130706960691671E-001,-1.315060438490701E-001,7.035567841398860E-002,
1.180000000000000E+009,-3.415840242532368E-001,-9.102006535740159E-001,-1.278389503319151E-001,7.123872391093875E-002,
1.185000000000000E+009,-3.515224722356587E-001,-9.072411142393286E-001,-1.236901270835526E-001,7.245194377745252E-002,
1.190000000000000E+009,-3.608668544674286E-001,-9.038907352792085E-001,-1.195341973798822E-001,7.348325929701385E-002,
1.195000000000000E+009,-3.700264491718411E-001,-9.005673976262736E-001,-1.171841277523109E-001,7.364940077094351E-002,
1.200000000000000E+009,-3.790683342723831E-001,-8.974458823422796E-001,-1.136986290328645E-001,7.417558442958849E-002,
1.205000000000000E+009,-3.881453933747918E-001,-8.942003908964160E-001,-1.117900305107065E-001,7.423081041713320E-002,
1.210000000000000E+009,-3.972682675517005E-001,-8.906640408160718E-001,-1.096700315428007E-001,7.487841734375976E-002,
1.215000000000000E+009,-4.063474870306271E-001,-8.872006858725895E-001,-1.085304114198246E-001,7.537650123548927E-002,
1.220000000000000E+009,-4.153035691982114E-001,-8.832408435351972E-001,-1.068022759953337E-001,7.453710430240432E-002,
1.225000000000000E+009,-4.241510770248601E-001,-8.792672721648090E-001,-1.062071027454055E-001,7.383600306783596E-002,
1.230000000000000E+009,-4.332723185434160E-001,-8.749296908092235E-001,-1.063675380948534E-001,7.454845227623133E-002,
1.235000000000000E+009,-4.419636853084044E-001,-8.705584348050151E-001,-1.050312860401765E-001,7.490440130679846E-002,
1.240000000000000E+009,-4.507566920395681E-001,-8.659621152496431E-001,-1.060288919517915E-001,7.447996763452353E-002,
1.245000000000000E+009,-4.594520568559047E-001,-8.617588759093985E-001,-1.045661499925399E-001,7.400401753682667E-002,
1.250000000000000E+009,-4.677294762132580E-001,-8.570605306087452E-001,-1.048480527986504E-001,7.495661553909337E-002,
1.255000000000000E+009,-4.758486595858936E-001,-8.527260133989124E-001,-1.056161568553495E-001,7.564026005682964E-002,
1.260000000000000E+009,-4.839756423111363E-001,-8.481625210298448E-001,-1.044989058485393E-001,7.611484465051158E-002,
1.265000000000000E+009,-4.915518566344540E-001,-8.434075240787680E-001,-1.051104848715151E-001,7.803789245807319E-002,
1.270000000000000E+009,-4.987308516309709E-001,-8.391179616515441E-001,-1.044958781373329E-001,8.018853162267922E-002,
1.275000000000000E+009,-5.058504174660691E-001,-8.343912527431978E-001,-1.030965240983073E-001,8.115241381177406E-002,
1.280000000000000E+009,-5.128379768625829E-001,-8.301004250447793E-001,-1.009887284364274E-001,8.395720595326962E-002,
1.285000000000000E+009,-5.195838382574894E-001,-8.256648322435004E-001,-9.887945174728412E-002,8.590498017670026E-002,
1.290000000000000E+009,-5.266382688054716E-001,-8.209666922605488E-001,-9.639179311187887E-002,8.805020165174698E-002,
