% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:pl_1_S21,im:pl_1_S21,
1.830000000000000E+009,-9.691561460494995E-001,-8.021293580532074E-002,-9.692141837120059E-001,-7.996230735301974E-002,
1.830960000000000E+009,-9.694576859474182E-001,-7.819468528032303E-002,-9.693635302352907E-001,-7.796524384021759E-002,
1.831920000000000E+009,-9.694862961769104E-001,-7.620458304882050E-002,-9.694474772262576E-001,-7.613090862751008E-002,
1.832880000000000E+009,-9.695631861686707E-001,-7.446662336587906E-002,-9.695897947883607E-001,-7.430347824096681E-002,
1.833840000000000E+009,-9.696670770645142E-001,-7.284663617610931E-002,-9.695623795700075E-001,-7.253814812183382E-002,
1.834800000000000E+009,-9.698286652565002E-001,-7.103408873081207E-002,-9.698775511932376E-001,-7.091755975961686E-002,
1.835760000000000E+009,-9.699137806892395E-001,-6.925842911005020E-002,-9.699166369438173E-001,-6.922123465299608E-002,
1.836720000000000E+009,-9.698553681373596E-001,-6.760437041521072E-002,-9.699158107566835E-001,-6.746944432258607E-002,
1.837680000000000E+009,-9.701317548751831E-001,-6.610383838415146E-002,-9.701138137054445E-001,-6.564159066438677E-002,
1.838640000000000E+009,-9.700817465782166E-001,-6.434867531061173E-002,-9.701538042449953E-001,-6.400539611339570E-002,
1.839600000000000E+009,-9.703947901725769E-001,-6.248212233185768E-002,-9.703234160041812E-001,-6.225956939101220E-002,
1.840560000000000E+009,-9.703843593597412E-001,-6.087585911154747E-002,-9.703707511711122E-001,-6.074931062102319E-002,
1.841520000000000E+009,-9.702719449996948E-001,-5.944699794054031E-002,-9.703321481323244E-001,-5.917795486211778E-002,
1.842480000000000E+009,-9.704230427742004E-001,-5.769596993923187E-002,-9.704310885620119E-001,-5.743568363070489E-002,
1.843440000000000E+009,-9.703656435012817E-001,-5.552663654088974E-002,-9.703675381469729E-001,-5.529232766866685E-002,
1.844400000000000E+009,-9.703444838523865E-001,-5.333535373210907E-002,-9.703527566909791E-001,-5.321864083528521E-002,
1.845360000000000E+009,-9.702153205871582E-001,-5.152438580989838E-002,-9.702222597312930E-001,-5.139690333366395E-002,
1.846320000000000E+009,-9.703761935234070E-001,-4.979611188173294E-002,-9.704426078796389E-001,-4.954076955080033E-002,
1.847280000000000E+009,-9.703733921051025E-001,-4.793283715844154E-002,-9.704556373023989E-001,-4.768764636278154E-002,
1.848240000000000E+009,-9.704275727272034E-001,-4.615705460309982E-002,-9.704033927726747E-001,-4.592286870718003E-002,
1.849200000000000E+009,-9.701534509658814E-001,-4.435474425554276E-002,-9.702322782516482E-001,-4.423729633569718E-002,
1.850160000000000E+009,-9.702608585357666E-001,-4.274384304881096E-002,-9.701446482086182E-001,-4.245698085665704E-002,
1.851120000000000E+009,-9.700486660003662E-001,-4.090937972068787E-002,-9.701242967414858E-001,-4.063630457282068E-002,
1.852080000000000E+009,-9.699480533599854E-001,-3.908638656139374E-002,-9.700017889022831E-001,-3.881426722407342E-002,
