% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap1_copo2_0_1diverso_S21,im:cap1_copo2_0_1diverso_S21,re:cap1_copo2_0_1diverso_tam_S21,im:cap1_copo2_0_1diverso_tam_S21,re:cap1_copo2_0_1azul_S21,im:cap1_copo2_0_1azul_S21,
1.000000000000000E+009,-8.995921645569782E-002,-9.685372366743903E-001,-9.010021466584607E-002,-9.681784750270566E-001,-9.075519891311767E-002,-9.684262246637116E-001,-8.996459385194093E-002,-9.684951804317802E-001,
1.005000000000000E+009,-9.839723650689310E-002,-9.670692657395322E-001,-9.852298963186626E-002,-9.666974019259660E-001,-9.915071057385684E-002,-9.669556591698293E-001,-9.839973337119391E-002,-9.670364140702191E-001,
1.010000000000000E+009,-1.062207815243129E-001,-9.653088944836900E-001,-1.063588442118957E-001,-9.650062974882476E-001,-1.070234858470975E-001,-9.651917435747405E-001,-1.062370276111760E-001,-9.653348402957188E-001,
1.015000000000000E+009,-1.132724378278922E-001,-9.633544977178147E-001,-1.133460488387202E-001,-9.631897234660116E-001,-1.140805992315780E-001,-9.631651744052732E-001,-1.133330172406228E-001,-9.634070552249938E-001,
1.020000000000000E+009,-1.204881238853237E-001,-9.617084730841252E-001,-1.204963440111606E-001,-9.615824308507058E-001,-1.212849882429564E-001,-9.614510354537641E-001,-1.205295259775724E-001,-9.616596934500072E-001,
1.025000000000000E+009,-1.269356317769206E-001,-9.600797096484561E-001,-1.269867175346283E-001,-9.602536549779863E-001,-1.276487492030539E-001,-9.598013528512155E-001,-1.269167594520884E-001,-9.600758841326476E-001,
1.030000000000000E+009,-1.332574477132952E-001,-9.590018645147010E-001,-1.335836607412784E-001,-9.594928007442303E-001,-1.340124387682027E-001,-9.587647088206365E-001,-1.332401097263815E-001,-9.589912255639731E-001,
1.035000000000000E+009,-1.402772703344510E-001,-9.587880723411866E-001,-1.411280075043460E-001,-9.593197421692596E-001,-1.409107043139201E-001,-9.585056232744542E-001,-1.403211289629719E-001,-9.587652489699254E-001,
1.040000000000000E+009,-1.470789998214363E-001,-9.584296853247363E-001,-1.484406887643851E-001,-9.588837919675142E-001,-1.477282201673701E-001,-9.581532791214035E-001,-1.470333861687801E-001,-9.585005182228403E-001,
1.045000000000000E+009,-1.544439657632006E-001,-9.580529540000510E-001,-1.559778901248543E-001,-9.579948217659127E-001,-1.550123474986455E-001,-9.578199206592184E-001,-1.543859069550604E-001,-9.580622033510947E-001,
