% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:Trc14_S11,im:Trc14_S11,
1.000000000000000E+009,-1.303308667052227E-001,-9.723511939926479E-001,-9.792873304239944E-002,2.991847080848063E-002,
1.005000000000000E+009,-1.394017999174643E-001,-9.708567036176965E-001,-9.694608396348738E-002,3.111342653242489E-002,
1.010000000000000E+009,-1.480926000328325E-001,-9.687793911006719E-001,-9.605269487312546E-002,3.083632989600669E-002,
1.015000000000000E+009,-1.566598917189140E-001,-9.667590026672026E-001,-9.563858216583700E-002,3.267973881457359E-002,
1.020000000000000E+009,-1.649404216406115E-001,-9.642366517630343E-001,-9.523201924655535E-002,3.384829869519895E-002,
1.025000000000000E+009,-1.727343061413862E-001,-9.615816930173288E-001,-9.299410812807807E-002,3.541933815634493E-002,
1.030000000000000E+009,-1.803123463233755E-001,-9.593635866730399E-001,-9.297880186538990E-002,3.762036514459227E-002,
1.035000000000000E+009,-1.879099842708864E-001,-9.575279156592723E-001,-9.141504471907987E-002,3.942663918890575E-002,
1.040000000000000E+009,-1.952314157120712E-001,-9.560386918238608E-001,-9.002833466743289E-002,4.073690077242055E-002,
1.045000000000000E+009,-2.028377054073438E-001,-9.548693773699692E-001,-8.851999300263945E-002,4.352940150571553E-002,
1.050000000000000E+009,-2.111991436417076E-001,-9.535727988876440E-001,-8.707052153592755E-002,4.645990322871525E-002,
1.055000000000000E+009,-2.199094075290720E-001,-9.523448788755029E-001,-8.380079763484780E-002,4.743424198246318E-002,
1.060000000000000E+009,-2.290348374036707E-001,-9.506228678953985E-001,-8.080049428655671E-002,4.933100095272398E-002,
1.065000000000000E+009,-2.383921039218270E-001,-9.491114180914506E-001,-7.843471413797379E-002,5.038819859418019E-002,
1.070000000000000E+009,-2.482790135809390E-001,-9.469941631105040E-001,-7.493522252823914E-002,5.023502286459039E-002,
1.075000000000000E+009,-2.580886629109528E-001,-9.447128481199167E-001,-7.241355274248210E-002,5.023421301570997E-002,
1.080000000000000E+009,-2.682028823192740E-001,-9.419847456903906E-001,-7.141983759954995E-002,4.901596121377783E-002,
1.085000000000000E+009,-2.785105861629816E-001,-9.391799024208922E-001,-6.886172168999245E-002,4.834908192624603E-002,
1.090000000000000E+009,-2.883157514569751E-001,-9.360347433982731E-001,-6.759122975766041E-002,4.686403252270276E-002,
1.095000000000000E+009,-2.983644357348417E-001,-9.327843262435189E-001,-6.655601879101707E-002,4.533882092768276E-002,
1.100000000000000E+009,-3.083956110274095E-001,-9.289423892880427E-001,-6.609016170856039E-002,4.376785703160650E-002,
1.105000000000000E+009,-3.185939451307775E-001,-9.255573227165759E-001,-6.536205723019786E-002,4.334165248106692E-002,
1.110000000000000E+009,-3.287783273269987E-001,-9.215616296525198E-001,-6.471849754023851E-002,4.249363684665503E-002,
1.115000000000000E+009,-3.391897615758471E-001,-9.173561041825761E-001,-6.372861512756711E-002,4.097999008332144E-002,
1.120000000000000E+009,-3.499471895640376E-001,-9.128814036486864E-001,-6.132968751413623E-002,4.188177766995788E-002,
1.125000000000000E+009,-3.611477048974453E-001,-9.087207863566995E-001,-5.949317265392123E-002,4.210925459944022E-002,
1.130000000000000E+009,-3.730559874269168E-001,-9.042022038092660E-001,-5.573782280951668E-002,4.313195001948984E-002,
1.135000000000000E+009,-3.856695495963145E-001,-8.988690707990122E-001,-4.970698351071416E-002,4.345687946708791E-002,
1.140000000000000E+009,-3.988186206715605E-001,-8.930649239827024E-001,-4.395403461389563E-002,4.332332467082592E-002,
