% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap2_p2_0_1_plstc_S21,im:cap2_p2_0_1_plstc_S21,re:cap2_p2_0_5_plstc_S21,im:cap2_p2_0_5_plstc_S21,re:cap2_p2_1_plstc_S21,im:cap2_p2_1_plstc_S21,
1.000000000000000E+009,-9.140343624297745E-002,-9.780156194462588E-001,-9.091851566281120E-002,-9.787308047292347E-001,-9.152219282625292E-002,-9.783426499670269E-001,-9.144277856298616E-002,-9.780359541965743E-001,
1.005000000000000E+009,-1.000293934505187E-001,-9.770235103569860E-001,-9.951081999050482E-002,-9.777515437682892E-001,-1.000683925982620E-001,-9.774317298270776E-001,-1.000024384897190E-001,-9.770515583823929E-001,
1.010000000000000E+009,-1.082010650508298E-001,-9.754869429717477E-001,-1.076806894553462E-001,-9.762432421744507E-001,-1.082643473977060E-001,-9.759025956805347E-001,-1.082026552249754E-001,-9.754886186088962E-001,
1.015000000000000E+009,-1.162285946630106E-001,-9.739442998392057E-001,-1.156975184034756E-001,-9.746377073674207E-001,-1.162909164767761E-001,-9.742954111069336E-001,-1.162057303421372E-001,-9.738637538844236E-001,
1.020000000000000E+009,-1.240763504264211E-001,-9.719550572882171E-001,-1.236311895314920E-001,-9.726853207586599E-001,-1.241918411243627E-001,-9.723528468575634E-001,-1.240728191348839E-001,-9.718741171003378E-001,
1.025000000000000E+009,-1.314651454136042E-001,-9.698806506637803E-001,-1.309566632652265E-001,-9.705716455762766E-001,-1.315166425731482E-001,-9.701680582762157E-001,-1.314579672514035E-001,-9.698144496846064E-001,
1.030000000000000E+009,-1.385628647446055E-001,-9.679565918619968E-001,-1.381927733036722E-001,-9.686486228735260E-001,-1.387664918725022E-001,-9.682903434469560E-001,-1.385701568621349E-001,-9.679329991512962E-001,
1.035000000000000E+009,-1.457719577463101E-001,-9.663544643133872E-001,-1.453999619360129E-001,-9.670680158736202E-001,-1.459071040371398E-001,-9.666108846769392E-001,-1.457070290518669E-001,-9.662908365343511E-001,
1.040000000000000E+009,-1.523345255531629E-001,-9.650068414996385E-001,-1.520322246490139E-001,-9.657120412327975E-001,-1.524715931214046E-001,-9.653167769009865E-001,-1.523103958922710E-001,-9.649545363246911E-001,
1.045000000000000E+009,-1.589166718065094E-001,-9.639544938370019E-001,-1.586723983263895E-001,-9.647342464985002E-001,-1.590965526868756E-001,-9.643588728237702E-001,-1.589787459928057E-001,-9.639613476511344E-001,
1.050000000000000E+009,-1.662404163473846E-001,-9.629915031549745E-001,-1.659661375709263E-001,-9.637000971932113E-001,-1.663688418011299E-001,-9.633354302950603E-001,-1.662019725328868E-001,-9.629825164617973E-001,
1.055000000000000E+009,-1.737984580931378E-001,-9.622890723335551E-001,-1.735909221198032E-001,-9.630489687441672E-001,-1.739596024825962E-001,-9.627495693810912E-001,-1.737847180462275E-001,-9.622880327837976E-001,
1.060000000000000E+009,-1.818096870596281E-001,-9.612499731260050E-001,-1.815446508983721E-001,-9.619998216583177E-001,-1.819590859856725E-001,-9.616060365992704E-001,-1.818431259127150E-001,-9.612196810364831E-001,
1.065000000000000E+009,-1.900576158054143E-001,-9.604264315745582E-001,-1.897921381879651E-001,-9.611327299504131E-001,-1.901724022026198E-001,-9.607718472451476E-001,-1.900326236944184E-001,-9.603863773062047E-001,
1.070000000000000E+009,-1.988058775239619E-001,-9.590710163312217E-001,-1.985448204933420E-001,-9.598363703415800E-001,-1.989861944960584E-001,-9.594390046707166E-001,-1.988154189210391E-001,-9.590597861257225E-001,
1.075000000000000E+009,-2.074886506141086E-001,-9.574782309561745E-001,-2.071324911104751E-001,-9.582837474359598E-001,-2.075893169787978E-001,-9.578753104692502E-001,-2.074881443406272E-001,-9.574380021945940E-001,
1.080000000000000E+009,-2.163451567061736E-001,-9.556181168814958E-001,-2.160596772174840E-001,-9.563443732954731E-001,-2.164957042066542E-001,-9.560164819800147E-001,-2.163810826538145E-001,-9.555931706639097E-001,
1.085000000000000E+009,-2.252710953867548E-001,-9.536127135711647E-001,-2.250029623104164E-001,-9.544415214285822E-001,-2.254368897403399E-001,-9.540592849252706E-001,-2.253067987870741E-001,-9.536936115825049E-001,
1.090000000000000E+009,-2.335679786548753E-001,-9.514944797015161E-001,-2.332900809003334E-001,-9.523152611402265E-001,-2.337311384340622E-001,-9.518795577479925E-001,-2.335832772175643E-001,-9.514672485774620E-001,
1.095000000000000E+009,-2.420343261735968E-001,-9.492727724322745E-001,-2.417164118726625E-001,-9.501172249000687E-001,-2.421971164775163E-001,-9.496328111043856E-001,-2.420480760848031E-001,-9.492498441985880E-001,
1.100000000000000E+009,-2.504303320148060E-001,-9.465077901380055E-001,-2.501236742399947E-001,-9.473928534957230E-001,-2.505192188309415E-001,-9.469309870747035E-001,-2.503645755215688E-001,-9.464692220726733E-001,
1.105000000000000E+009,-2.586480966617200E-001,-9.442117115698544E-001,-2.583194300525310E-001,-9.451161967061390E-001,-2.587856570730346E-001,-9.446707037999274E-001,-2.586208091489171E-001,-9.442461850119156E-001,
1.110000000000000E+009,-2.666300008852538E-001,-9.414724022071248E-001,-2.663535113132766E-001,-9.423117065199635E-001,-2.667250940970916E-001,-9.418291337986828E-001,-2.666035520873336E-001,-9.414400121769371E-001,
1.115000000000000E+009,-2.745900461822872E-001,-9.384708529475552E-001,-2.743318223394580E-001,-9.393506549079727E-001,-2.747969378103937E-001,-9.389050511456217E-001,-2.746427701279452E-001,-9.384613300213351E-001,
1.120000000000000E+009,-2.822845090184292E-001,-9.354576611387584E-001,-2.820414307643207E-001,-9.363016222778869E-001,-2.824326702851729E-001,-9.358744223536456E-001,-2.822521959490304E-001,-9.354770130497155E-001,
1.125000000000000E+009,-2.899329335475553E-001,-9.330273791700885E-001,-2.896927912254403E-001,-9.338681649393942E-001,-2.901202028052003E-001,-9.334634239112529E-001,-2.899516525380071E-001,-9.330943207497567E-001,
1.130000000000000E+009,-2.976138010353121E-001,-9.307088975677389E-001,-2.973040475466546E-001,-9.314923959653538E-001,-2.977620339849574E-001,-9.310786220997107E-001,-2.975753248382453E-001,-9.306935334637912E-001,
1.135000000000000E+009,-3.054485813325691E-001,-9.281609446166637E-001,-3.050580307146912E-001,-9.289918282693870E-001,-3.055698556642125E-001,-9.285008672549531E-001,-3.054302608822150E-001,-9.281506538866606E-001,
1.140000000000000E+009,-3.130048358192020E-001,-9.256252338853163E-001,-3.126317962119015E-001,-9.264118733833731E-001,-3.131079353460643E-001,-9.259775693810314E-001,-3.129995623737653E-001,-9.255554471658241E-001,
1.145000000000000E+009,-3.208467981465247E-001,-9.230276794159011E-001,-3.204814348878284E-001,-9.239418798061032E-001,-3.209721784412749E-001,-9.234333688639402E-001,-3.208506244611088E-001,-9.230390260289701E-001,
1.150000000000000E+009,-3.283904268233765E-001,-9.198932498555017E-001,-3.279923559529141E-001,-9.208450507697141E-001,-3.284668000131785E-001,-9.203293592907558E-001,-3.283850738554276E-001,-9.198631852430846E-001,
1.155000000000000E+009,-3.364384666295590E-001,-9.171849613324188E-001,-3.359699057450531E-001,-9.181667628798214E-001,-3.364514334418214E-001,-9.176284888390516E-001,-3.364180989495363E-001,-9.172068627083470E-001,
1.160000000000000E+009,-3.445906266791141E-001,-9.145861822399466E-001,-3.441863819286686E-001,-9.155091200055436E-001,-3.446704167398133E-001,-9.150352527764167E-001,-3.445597641512124E-001,-9.145785683754349E-001,
1.165000000000000E+009,-3.527010163137881E-001,-9.116203865532754E-001,-3.522770762384547E-001,-9.125599184856894E-001,-3.527895728881025E-001,-9.120365119600882E-001,-3.527483816305899E-001,-9.115723332979056E-001,
