% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap2_p2_0_1_plstc_S21,im:cap2_p2_0_1_plstc_S21,re:cap2_p2_1_plstc_S21,im:cap2_p2_1_plstc_S21,re:Mem17[Trc13]_S21,im:Mem17[Trc13]_S21,
1.000000000000000E+009,-9.189849188736388E-002,-9.779097745103106E-001,-9.091851566281120E-002,-9.787308047292347E-001,-9.144277856298616E-002,-9.780359541965743E-001,-9.189795643091202E-002,-9.780099654197694E-001,
1.005000000000000E+009,-1.004711573023576E-001,-9.769503338448544E-001,-9.951081999050482E-002,-9.777515437682892E-001,-1.000024384897190E-001,-9.770515583823929E-001,-1.004458436369896E-001,-9.770162343978883E-001,
1.010000000000000E+009,-1.086406590078483E-001,-9.753441193655933E-001,-1.076806894553462E-001,-9.762432421744507E-001,-1.082026552249754E-001,-9.754886186088962E-001,-1.086531350016594E-001,-9.754466319084169E-001,
1.015000000000000E+009,-1.166055503601679E-001,-9.737885496374117E-001,-1.156975184034756E-001,-9.746377073674207E-001,-1.162057303421372E-001,-9.738637538844236E-001,-1.166080173850060E-001,-9.738198232650759E-001,
1.020000000000000E+009,-1.245261593558276E-001,-9.718327028267845E-001,-1.236311895314920E-001,-9.726853207586599E-001,-1.240728191348839E-001,-9.718741171003378E-001,-1.245314121246338E-001,-9.718196249008180E-001,
1.025000000000000E+009,-1.318845262244341E-001,-9.696513109584062E-001,-1.309566632652265E-001,-9.705716455762766E-001,-1.314579672514035E-001,-9.698144496846064E-001,-1.318985599279404E-001,-9.697762942314149E-001,
1.030000000000000E+009,-1.389885913742462E-001,-9.677822913441145E-001,-1.381927733036722E-001,-9.686486228735260E-001,-1.385701568621349E-001,-9.679329991512962E-001,-1.390600264072418E-001,-9.678124928474429E-001,
1.035000000000000E+009,-1.461321016868307E-001,-9.661694084825946E-001,-1.453999619360129E-001,-9.670680158736202E-001,-1.457070290518669E-001,-9.662908365343511E-001,-1.461193138360977E-001,-9.662792992591860E-001,
1.040000000000000E+009,-1.527380088265345E-001,-9.648330210867229E-001,-1.520322246490139E-001,-9.657120412327975E-001,-1.523103958922710E-001,-9.649545363246911E-001,-1.527509152889252E-001,-9.649297595024109E-001,
1.045000000000000E+009,-1.593293939283725E-001,-9.638924158791274E-001,-1.586723983263895E-001,-9.647342464985002E-001,-1.589787459928057E-001,-9.639613476511344E-001,-1.593460214138031E-001,-9.639312195777896E-001,
1.050000000000000E+009,-1.666696580175559E-001,-9.629001523840798E-001,-1.659661375709263E-001,-9.637000971932113E-001,-1.662019725328868E-001,-9.629825164617973E-001,-1.666585063934327E-001,-9.629984855651858E-001,
1.055000000000000E+009,-1.742435506092823E-001,-9.621427668127054E-001,-1.735909221198032E-001,-9.630489687441672E-001,-1.737847180462275E-001,-9.622880327837976E-001,-1.742878443002701E-001,-9.622137284278871E-001,
1.060000000000000E+009,-1.822666212666878E-001,-9.610860950163553E-001,-1.815446508983721E-001,-9.619998216583177E-001,-1.818431259127150E-001,-9.612196810364831E-001,-1.822855246067048E-001,-9.611281275749207E-001,
1.065000000000000E+009,-1.905457796664463E-001,-9.602064259039851E-001,-1.897921381879651E-001,-9.611327299504131E-001,-1.900326236944184E-001,-9.603863773062047E-001,-1.904697519540787E-001,-9.602676248550417E-001,
1.070000000000000E+009,-1.992150812168793E-001,-9.588995773147455E-001,-1.985448204933420E-001,-9.598363703415800E-001,-1.988154189210391E-001,-9.590597861257225E-001,-1.993372780084610E-001,-9.589794516563416E-001,
1.075000000000000E+009,-2.078800796612523E-001,-9.573214080611182E-001,-2.071324911104751E-001,-9.582837474359598E-001,-2.074881443406272E-001,-9.574380021945940E-001,-2.079466027021408E-001,-9.574026608467103E-001,
1.080000000000000E+009,-2.167637135611431E-001,-9.554132335663013E-001,-2.160596772174840E-001,-9.563443732954731E-001,-2.163810826538145E-001,-9.555931706639097E-001,-2.168762856721878E-001,-9.554573822021486E-001,
1.085000000000000E+009,-2.257358909360170E-001,-9.534569949152379E-001,-2.250029623104164E-001,-9.544415214285822E-001,-2.253067987870741E-001,-9.536936115825049E-001,-2.257959187030793E-001,-9.535519504547121E-001,
1.090000000000000E+009,-2.339966946772950E-001,-9.512777703417221E-001,-2.332900809003334E-001,-9.523152611402265E-001,-2.335832772175643E-001,-9.514672485774620E-001,-2.340998190641404E-001,-9.513320708274842E-001,
1.095000000000000E+009,-2.425117737816358E-001,-9.490245722716226E-001,-2.417164118726625E-001,-9.501172249000687E-001,-2.420480760848031E-001,-9.492498441985880E-001,-2.423888570070267E-001,-9.491050362586977E-001,
1.100000000000000E+009,-2.507483152884096E-001,-9.462806929431551E-001,-2.501236742399947E-001,-9.473928534957230E-001,-2.503645755215688E-001,-9.464692220726733E-001,-2.507598125934601E-001,-9.463710522651673E-001,
1.105000000000000E+009,-2.590264399327068E-001,-9.440934588586188E-001,-2.583194300525310E-001,-9.451161967061390E-001,-2.586208091489171E-001,-9.442461850119156E-001,-2.590129184722901E-001,-9.440894222259524E-001,
1.110000000000000E+009,-2.669895487118913E-001,-9.412863098020013E-001,-2.663535113132766E-001,-9.423117065199635E-001,-2.666035520873336E-001,-9.414400121769371E-001,-2.669641315937043E-001,-9.413334441184997E-001,
1.115000000000000E+009,-2.749988998173471E-001,-9.383118260561472E-001,-2.743318223394580E-001,-9.393506549079727E-001,-2.746427701279452E-001,-9.384613300213351E-001,-2.750143325328827E-001,-9.383902788162232E-001,
1.120000000000000E+009,-2.826994820272561E-001,-9.352976399475448E-001,-2.820414307643207E-001,-9.363016222778869E-001,-2.822521959490304E-001,-9.354770130497155E-001,-2.826674878597260E-001,-9.353815722465516E-001,
1.125000000000000E+009,-2.903575227843080E-001,-9.328546565403914E-001,-2.896927912254403E-001,-9.338681649393942E-001,-2.899516525380071E-001,-9.330943207497567E-001,-2.904218542575837E-001,-9.328762459754945E-001,
1.130000000000000E+009,-2.979836533897544E-001,-9.305115125989799E-001,-2.973040475466546E-001,-9.314923959653538E-001,-2.975753248382453E-001,-9.306935334637912E-001,-2.980626726150513E-001,-9.305771827697755E-001,
1.135000000000000E+009,-3.057916959184513E-001,-9.279015956485748E-001,-3.050580307146912E-001,-9.289918282693870E-001,-3.054302608822150E-001,-9.281506538866606E-001,-3.058370769023895E-001,-9.279893183708192E-001,
1.140000000000000E+009,-3.133830704758416E-001,-9.253809521622103E-001,-3.126317962119015E-001,-9.264118733833731E-001,-3.129995623737653E-001,-9.255554471658241E-001,-3.134330368041992E-001,-9.254339122772217E-001,
1.145000000000000E+009,-3.212111718691831E-001,-9.228494054580462E-001,-3.204814348878284E-001,-9.239418798061032E-001,-3.208506244611088E-001,-9.230390260289701E-001,-3.212456524372102E-001,-9.228699707984925E-001,
1.150000000000000E+009,-3.287457770194702E-001,-9.197244070749144E-001,-3.279923559529141E-001,-9.208450507697141E-001,-3.283850738554276E-001,-9.198631852430846E-001,-3.287403571605683E-001,-9.196903061866761E-001,
1.155000000000000E+009,-3.368114736548873E-001,-9.170149878716882E-001,-3.359699057450531E-001,-9.181667628798214E-001,-3.364180989495363E-001,-9.172068627083470E-001,-3.368273425102234E-001,-9.171045970916749E-001,
