% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:Trc14_S11,im:Trc14_S11,
1.000000000000000E+009,-1.301356852054596E-001,-9.709545969963074E-001,-1.009034365415573E-001,1.192111056298018E-003,
1.004549590536852E+009,-1.387292295694351E-001,-9.697274565696716E-001,-1.005537211894989E-001,3.509955713525415E-003,
1.009099181073703E+009,-1.468721479177475E-001,-9.680716395378113E-001,-9.860043972730637E-002,2.457785420119762E-003,
1.013648771610555E+009,-1.543395817279816E-001,-9.665989279747009E-001,-9.820102900266647E-002,2.213038271293044E-003,
1.018198362147407E+009,-1.618915349245071E-001,-9.640956521034241E-001,-9.838707000017166E-002,1.494529889896512E-003,
1.022747952684259E+009,-1.693806052207947E-001,-9.620351791381836E-001,-9.893398731946945E-002,-1.032762811519206E-004,
1.027297543221110E+009,-1.761872172355652E-001,-9.603429436683655E-001,-9.886510670185089E-002,2.159958472475410E-003,
1.031847133757962E+009,-1.828467249870300E-001,-9.579168558120728E-001,-9.946694225072861E-002,1.146579859778285E-003,
1.036396724294814E+009,-1.907101124525070E-001,-9.559995532035828E-001,-9.931284934282303E-002,2.533731167204678E-004,
1.040946314831665E+009,-1.972952038049698E-001,-9.542103409767151E-001,-1.024931296706200E-001,1.441493746824563E-003,
1.045495905368517E+009,-2.040502429008484E-001,-9.531477689743042E-001,-1.046312302350998E-001,1.586851663887501E-003,
1.050045495905369E+009,-2.114866077899933E-001,-9.520238637924194E-001,-1.024964749813080E-001,2.853839658200741E-003,
1.054595086442220E+009,-2.194746136665344E-001,-9.511092305183411E-001,-1.047573387622833E-001,3.721236949786544E-003,
1.059144676979072E+009,-2.268020510673523E-001,-9.500869512557983E-001,-1.041128188371658E-001,6.351145915687084E-003,
1.063694267515924E+009,-2.349089831113815E-001,-9.483402371406555E-001,-1.047280132770538E-001,8.596537634730339E-003,
1.068243858052775E+009,-2.427608370780945E-001,-9.468484520912170E-001,-1.022518351674080E-001,9.889909997582436E-003,
1.072793448589627E+009,-2.506731450557709E-001,-9.443956613540649E-001,-1.022671163082123E-001,1.243054866790772E-002,
1.077343039126479E+009,-2.591205537319183E-001,-9.428528547286987E-001,-1.009383425116539E-001,1.356737874448299E-002,
1.081892629663330E+009,-2.666985094547272E-001,-9.404945969581604E-001,-1.009773313999176E-001,1.479148119688034E-002,
1.086442220200182E+009,-2.754366099834442E-001,-9.385547637939453E-001,-9.968692064285278E-002,1.531772315502167E-002,
