% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:Trc14_S11,im:Trc14_S11,
1.000000000000000E+009,-1.300788819789887E-001,-9.718099832534790E-001,-1.012636497616768E-001,5.563814775086939E-004,
1.004549590536852E+009,-1.383259892463684E-001,-9.705242514610291E-001,-1.011129319667816E-001,2.955008298158646E-003,
1.009099181073703E+009,-1.463322639465332E-001,-9.687700271606445E-001,-9.944618493318558E-002,1.938262488692999E-003,
1.013648771610555E+009,-1.538761556148529E-001,-9.673340916633606E-001,-9.928561747074127E-002,1.871698070317507E-003,
1.018198362147407E+009,-1.610400229692459E-001,-9.647807478904724E-001,-9.973538666963577E-002,1.306829508394003E-003,
1.022747952684259E+009,-1.683232188224793E-001,-9.628166556358337E-001,-1.005437374114990E-001,3.828265471383929E-005,
1.027297543221110E+009,-1.752207130193710E-001,-9.612413048744202E-001,-1.005322188138962E-001,2.768690697848797E-003,
1.031847133757962E+009,-1.815709173679352E-001,-9.594239592552185E-001,-1.010574996471405E-001,2.201416995376349E-003,
1.036396724294814E+009,-1.894789338111877E-001,-9.576097726821899E-001,-1.007145941257477E-001,1.670420635491610E-003,
1.040946314831665E+009,-1.963665187358856E-001,-9.562743902206421E-001,-1.036033555865288E-001,3.210132941603661E-003,
1.045495905368517E+009,-2.035722881555557E-001,-9.551700353622437E-001,-1.052821725606918E-001,3.507138462737203E-003,
1.050045495905369E+009,-2.111650705337524E-001,-9.541180133819580E-001,-1.027428731322289E-001,4.855358041822910E-003,
1.054595086442220E+009,-2.194977253675461E-001,-9.531188607215881E-001,-1.045589298009872E-001,5.580958444625139E-003,
1.059144676979072E+009,-2.270211279392242E-001,-9.518968462944031E-001,-1.036292165517807E-001,8.132350631058216E-003,
1.063694267515924E+009,-2.349530309438705E-001,-9.502031207084656E-001,-1.040298119187355E-001,1.014276314526796E-002,
1.068243858052775E+009,-2.429866790771484E-001,-9.485236406326294E-001,-1.013524010777473E-001,1.119968574494124E-002,
1.072793448589627E+009,-2.510155737400055E-001,-9.460902214050293E-001,-1.012228354811668E-001,1.354005094617605E-002,
1.077343039126479E+009,-2.594856321811676E-001,-9.442014098167419E-001,-9.969454258680344E-002,1.448582578450441E-002,
1.081892629663330E+009,-2.667490541934967E-001,-9.417349100112915E-001,-9.967336803674698E-002,1.548066642135382E-002,
1.086442220200182E+009,-2.756281495094299E-001,-9.398226737976074E-001,-9.834127128124237E-002,1.576046273112297E-002,
1.090991810737034E+009,-2.834982275962830E-001,-9.374968409538269E-001,-9.613981097936630E-002,1.637557707726955E-002,
1.095541401273885E+009,-2.915803194046021E-001,-9.356427788734436E-001,-9.537536650896072E-002,1.671481877565384E-002,
1.100090991810737E+009,-3.003528416156769E-001,-9.329566359519959E-001,-9.399930387735367E-002,1.685733534395695E-002,
1.104640582347589E+009,-3.083619177341461E-001,-9.294042587280273E-001,-9.281142801046372E-002,1.813513226807118E-002,
1.109190172884440E+009,-3.170129060745239E-001,-9.270723462104797E-001,-9.176856279373169E-002,1.718085072934628E-002,
