% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:Trc14_S11,im:Trc14_S11,
1.000000000000000E+009,-1.299322694540024E-001,-9.702385067939758E-001,-1.004884988069534E-001,1.974773826077581E-003,
1.004549590536852E+009,-1.382977813482285E-001,-9.688466191291809E-001,-1.000435203313828E-001,4.126171581447125E-003,
1.009099181073703E+009,-1.464805155992508E-001,-9.670850634574890E-001,-9.807314723730087E-002,2.809822093695402E-003,
1.013648771610555E+009,-1.537808179855347E-001,-9.652986526489258E-001,-9.784312546253204E-002,2.289183670654893E-003,
1.018198362147407E+009,-1.608716100454330E-001,-9.628900885581970E-001,-9.829125553369522E-002,1.360640162602067E-003,
1.022747952684259E+009,-1.679341346025467E-001,-9.608675241470337E-001,-9.915060549974442E-002,-2.171951346099377E-004,
1.027297543221110E+009,-1.747406423091888E-001,-9.595140218734741E-001,-9.932029247283936E-002,2.159217372536659E-003,
1.031847133757962E+009,-1.811906248331070E-001,-9.575667381286621E-001,-1.000694185495377E-001,1.382546382956207E-003,
1.036396724294814E+009,-1.890994161367416E-001,-9.558500647544861E-001,-9.988685697317123E-002,5.858595250174403E-004,
1.040946314831665E+009,-1.957933455705643E-001,-9.545833468437195E-001,-1.031305044889450E-001,1.887932536192238E-003,
1.045495905368517E+009,-2.029589116573334E-001,-9.537011981010437E-001,-1.050930470228195E-001,2.214000327512622E-003,
1.050045495905369E+009,-2.108835130929947E-001,-9.526680111885071E-001,-1.028744578361511E-001,3.543643048033118E-003,
1.054595086442220E+009,-2.189804762601852E-001,-9.515577554702759E-001,-1.049929037690163E-001,4.252019803971052E-003,
1.059144676979072E+009,-2.266162633895874E-001,-9.503760933876038E-001,-1.043199077248573E-001,6.873549427837133E-003,
1.063694267515924E+009,-2.346435636281967E-001,-9.487041234970093E-001,-1.050162240862846E-001,9.063408710062504E-003,
1.068243858052775E+009,-2.426560670137405E-001,-9.470689296722412E-001,-1.025756597518921E-001,1.029557082802057E-002,
1.072793448589627E+009,-2.505316734313965E-001,-9.443403482437134E-001,-1.026639044284821E-001,1.288596913218498E-002,
1.077343039126479E+009,-2.589001953601837E-001,-9.425237774848938E-001,-1.013158634305000E-001,1.410578005015850E-002,
1.081892629663330E+009,-2.662086784839630E-001,-9.400751590728760E-001,-1.013694331049919E-001,1.546050049364567E-002,
1.086442220200182E+009,-2.749452292919159E-001,-9.380475282669067E-001,-9.999520331621170E-002,1.612892001867294E-002,
1.090991810737034E+009,-2.829963564872742E-001,-9.356207847595215E-001,-9.769770503044128E-002,1.715906336903572E-002,
1.095541401273885E+009,-2.909674048423767E-001,-9.340131282806397E-001,-9.679961949586868E-002,1.779382303357124E-002,
1.100090991810737E+009,-2.994596958160400E-001,-9.313209056854248E-001,-9.516089409589768E-002,1.821828261017799E-002,
1.104640582347589E+009,-3.074782490730286E-001,-9.277056455612183E-001,-9.362462908029556E-002,1.974109560251236E-002,
1.109190172884440E+009,-3.163241744041443E-001,-9.254802465438843E-001,-9.227292239665985E-002,1.896553859114647E-002,
1.113739763421292E+009,-3.243286907672882E-001,-9.218273162841797E-001,-9.118814021348953E-002,1.957080699503422E-002,
1.118289353958144E+009,-3.325326740741730E-001,-9.192441105842590E-001,-8.959978818893433E-002,2.160358428955078E-002,
1.122838944494995E+009,-3.405452370643616E-001,-9.159001111984253E-001,-8.828373253345490E-002,2.069448493421078E-002,
1.127388535031847E+009,-3.490585684776306E-001,-9.131290912628174E-001,-8.468205481767654E-002,2.109639905393124E-002,
1.131938125568699E+009,-3.577319681644440E-001,-9.096760749816895E-001,-8.652959764003754E-002,2.299603447318077E-002,
1.136487716105551E+009,-3.671136200428009E-001,-9.061303734779358E-001,-8.352221548557282E-002,2.268552035093308E-002,
1.141037306642402E+009,-3.754884898662567E-001,-9.025791287422180E-001,-7.935505360364914E-002,2.247459813952446E-002,
1.145586897179254E+009,-3.845590353012085E-001,-8.984593749046326E-001,-7.849511504173279E-002,2.342257462441921E-002,
1.150136487716106E+009,-3.940102756023407E-001,-8.940644264221191E-001,-7.478451728820801E-002,2.289934083819389E-002,
1.154686078252957E+009,-4.038210213184357E-001,-8.896742463111877E-001,-7.186915725469589E-002,2.098412439227104E-002,
1.159235668789809E+009,-4.130904078483582E-001,-8.851197361946106E-001,-6.798495352268219E-002,2.007784694433212E-002,
1.163785259326661E+009,-4.230202436447144E-001,-8.802355527877808E-001,-6.547309458255768E-002,1.759466528892517E-002,
1.168334849863512E+009,-4.336239397525787E-001,-8.752527832984924E-001,-6.089945137500763E-002,1.526669971644878E-002,
1.172884440400364E+009,-4.451665878295898E-001,-8.704385161399841E-001,-5.625376850366592E-002,1.416278723627329E-002,
1.177434030937216E+009,-4.573763012886047E-001,-8.638781905174255E-001,-5.310650542378426E-002,1.270969677716494E-002,
1.181983621474067E+009,-4.696594476699829E-001,-8.568684458732605E-001,-4.767759889364243E-002,1.052826642990112E-002,
1.186533212010919E+009,-4.825603663921356E-001,-8.490418195724487E-001,-4.253428801894188E-002,7.047679275274277E-003,
1.191082802547771E+009,-4.974568188190460E-001,-8.395470976829529E-001,-3.341897949576378E-002,3.174302401021123E-003,
1.195632393084622E+009,-5.135310292243958E-001,-8.288351893424988E-001,-2.580042555928230E-002,-2.004792215302587E-003,
1.200181983621474E+009,-5.318347811698914E-001,-8.150514364242554E-001,-8.932300843298435E-003,-9.627477265894413E-003,
1.204731574158326E+009,-5.535840988159180E-001,-7.970674037933350E-001,7.924101315438747E-003,-2.149029076099396E-002,
1.209281164695178E+009,-5.794978737831116E-001,-7.716933488845825E-001,2.968185953795910E-002,-3.988075628876686E-002,
