% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:Trc14_S11,im:Trc14_S11,
1.000000000000000E+009,-1.281500160694122E-001,-9.731255769729614E-001,-1.017246991395950E-001,8.063125424087048E-004,
1.004549590536852E+009,-1.362139284610748E-001,-9.720935821533203E-001,-1.017624363303185E-001,3.518469864502549E-003,
1.009099181073703E+009,-1.441226303577423E-001,-9.708312153816223E-001,-1.001445576548576E-001,2.928961766883731E-003,
1.013648771610555E+009,-1.516015976667404E-001,-9.698433279991150E-001,-9.998226910829544E-002,3.414400154724717E-003,
1.018198362147407E+009,-1.591719686985016E-001,-9.680474996566773E-001,-1.000859215855598E-001,3.532919101417065E-003,
1.022747952684259E+009,-1.671966761350632E-001,-9.666668772697449E-001,-1.001926138997078E-001,2.776117762550712E-003,
1.027297543221110E+009,-1.749124377965927E-001,-9.651730656623840E-001,-9.938660264015198E-002,5.664782132953405E-003,
1.031847133757962E+009,-1.821593791246414E-001,-9.631758332252502E-001,-9.919545054435730E-002,4.949264694005251E-003,
1.036396724294814E+009,-1.905643641948700E-001,-9.607837796211243E-001,-9.819579124450684E-002,4.131292924284935E-003,
1.040946314831665E+009,-1.981174945831299E-001,-9.592461585998535E-001,-1.005830317735672E-001,5.409795790910721E-003,
1.045495905368517E+009,-2.056505382061005E-001,-9.575904607772827E-001,-1.016743779182434E-001,5.231736227869988E-003,
1.050045495905369E+009,-2.135846018791199E-001,-9.556758403778076E-001,-9.879497438669205E-002,5.783532280474901E-003,
1.054595086442220E+009,-2.216142863035202E-001,-9.539610743522644E-001,-1.006586924195290E-001,5.681133363395929E-003,
1.059144676979072E+009,-2.286835014820099E-001,-9.520730972290039E-001,-9.985988587141037E-002,7.574270479381084E-003,
1.063694267515924E+009,-2.363482117652893E-001,-9.501069784164429E-001,-1.006014049053192E-001,9.022188372910023E-003,
1.068243858052775E+009,-2.438450455665588E-001,-9.483802318572998E-001,-9.841357171535492E-002,9.672736749053001E-003,
1.072793448589627E+009,-2.513955533504486E-001,-9.457415938377380E-001,-9.877047687768936E-002,1.175467669963837E-002,
1.077343039126479E+009,-2.595447003841400E-001,-9.441582560539246E-001,-9.768911451101303E-002,1.255754940211773E-002,
1.081892629663330E+009,-2.666334807872772E-001,-9.420473575592041E-001,-9.809775650501251E-002,1.340031903237104E-002,
1.086442220200182E+009,-2.754851281642914E-001,-9.402359724044800E-001,-9.720305353403091E-002,1.365074235945940E-002,
1.090991810737034E+009,-2.834282219409943E-001,-9.377508163452148E-001,-9.541365504264832E-002,1.433832105249167E-002,
1.095541401273885E+009,-2.914136946201325E-001,-9.358488321304321E-001,-9.499799460172653E-002,1.480064820498228E-002,
1.100090991810737E+009,-3.000141978263855E-001,-9.331604242324829E-001,-9.400661289691925E-002,1.505674794316292E-002,
1.104640582347589E+009,-3.080112934112549E-001,-9.296160936355591E-001,-9.318917244672775E-002,1.656496524810791E-002,
1.109190172884440E+009,-3.162842988967896E-001,-9.271840453147888E-001,-9.244818240404129E-002,1.593918167054653E-002,
1.113739763421292E+009,-3.241737186908722E-001,-9.240581989288330E-001,-9.196316450834274E-002,1.687223836779594E-002,
1.118289353958144E+009,-3.323239684104919E-001,-9.214444756507874E-001,-9.072651714086533E-002,1.937558129429817E-002,
1.122838944494995E+009,-3.403448164463043E-001,-9.183531403541565E-001,-8.970491588115692E-002,1.896702684462071E-002,
