% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap1_p1_0_1plstc_S21,im:cap1_p1_0_1plstc_S21,re:cap1_p1_0_5plstc_S21,im:cap1_p1_0_5plstc_S21,re:cap1_p1_0_75_plstc_S21,im:cap1_p1_0_75_plstc_S21,re:cap1_p1_1_plstc_S21,im:cap1_p1_1_plstc_S21,
1.000000000000000E+009,-9.122934493268058E-002,-9.734744178601852E-001,-9.157768355954754E-002,-9.779009787451926E-001,-9.136695707974278E-002,-9.766693128495655E-001,-9.050191816818544E-002,-9.715055821196231E-001,-9.126353067159654E-002,-9.735087447166445E-001,
1.005000000000000E+009,-9.989700734219552E-002,-9.725592140787611E-001,-1.001797522043231E-001,-9.769248457101966E-001,-9.996965173820673E-002,-9.757141555249340E-001,-9.911453856473240E-002,-9.705715166784732E-001,-9.981340312957764E-002,-9.725250420570374E-001,
1.010000000000000E+009,-1.080742595328268E-001,-9.710323737002213E-001,-1.083146492879997E-001,-9.753755987607020E-001,-1.081234244339384E-001,-9.742215241931427E-001,-1.073691643730225E-001,-9.690668862987123E-001,-1.080640431046486E-001,-9.709779343605043E-001,
1.015000000000000E+009,-1.161214618470742E-001,-9.694100098138616E-001,-1.163079528276953E-001,-9.738216527174218E-001,-1.161510548416575E-001,-9.725484589811025E-001,-1.154756302907578E-001,-9.674422174590458E-001,-1.160655286312104E-001,-9.694180192947390E-001,
1.020000000000000E+009,-1.240127788774991E-001,-9.673860193297862E-001,-1.242361089629375E-001,-9.717431414785259E-001,-1.240013302856172E-001,-9.705296836656158E-001,-1.233876016974686E-001,-9.654239700164614E-001,-1.240253012776375E-001,-9.673831367492677E-001,
1.025000000000000E+009,-1.313225694571580E-001,-9.651775982386297E-001,-1.315296249362187E-001,-9.697030033651037E-001,-1.313145549216885E-001,-9.683852496035638E-001,-1.306907872526368E-001,-9.631960804259401E-001,-1.313467139005661E-001,-9.652066683769227E-001,
1.030000000000000E+009,-1.384214371671549E-001,-9.632517524853659E-001,-1.386979753848161E-001,-9.678219590688165E-001,-1.384998401542056E-001,-9.665732222684936E-001,-1.378306946267746E-001,-9.612153060455446E-001,-1.384703359603882E-001,-9.632561807632448E-001,
1.035000000000000E+009,-1.455446411583158E-001,-9.616142436059716E-001,-1.458045684187466E-001,-9.661504772580609E-001,-1.455516633118092E-001,-9.648886044885474E-001,-1.449018232394043E-001,-9.595043639140138E-001,-1.455153684616089E-001,-9.615525188446046E-001,
1.040000000000000E+009,-1.521124220614209E-001,-9.602525864531489E-001,-1.524323101014827E-001,-9.648998143084013E-001,-1.521922381690435E-001,-9.636470426753955E-001,-1.514788642723939E-001,-9.581832568544619E-001,-1.520699216127396E-001,-9.601989636421205E-001,
1.045000000000000E+009,-1.586573349511827E-001,-9.592390728857679E-001,-1.589611511279125E-001,-9.638867670956846E-001,-1.587462298158915E-001,-9.626639016491605E-001,-1.580293598890656E-001,-9.572286784394960E-001,-1.587044447660446E-001,-9.592448329925539E-001,
