% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:Trc14_S11,im:Trc14_S11,
1.000000000000000E+009,-1.289607425977576E-001,-9.728620211906582E-001,-9.760674330974026E-002,2.844817488256837E-002,
1.005000000000000E+009,-1.379481189454337E-001,-9.713976536404381E-001,-9.663762508308610E-002,2.962929135978432E-002,
1.010000000000000E+009,-1.467006164749018E-001,-9.694684648918053E-001,-9.572813267632517E-002,2.934313009872871E-002,
1.015000000000000E+009,-1.552365786745890E-001,-9.673804055243854E-001,-9.533376676293758E-002,3.117669590874377E-002,
1.020000000000000E+009,-1.636076343742779E-001,-9.648249151284691E-001,-9.492906338465981E-002,3.232495336968863E-002,
1.025000000000000E+009,-1.714067276234993E-001,-9.623084993901850E-001,-9.270027979748494E-002,3.389340099835612E-002,
1.030000000000000E+009,-1.790986160654208E-001,-9.600674954998504E-001,-9.269853527386422E-002,3.607364273615030E-002,
1.035000000000000E+009,-1.867188850898215E-001,-9.582528904757993E-001,-9.116145543267090E-002,3.785979153060074E-002,
1.040000000000000E+009,-1.941320615292118E-001,-9.568050078585024E-001,-8.981462659071314E-002,3.916581846476587E-002,
1.045000000000000E+009,-2.018314414471147E-001,-9.557003004317625E-001,-8.833307787677674E-002,4.198242234962844E-002,
1.050000000000000E+009,-2.102914040926497E-001,-9.543292129429707E-001,-8.687304056616310E-002,4.490234353978351E-002,
1.055000000000000E+009,-2.190483861783474E-001,-9.531441383363009E-001,-8.363344164896544E-002,4.591073908519625E-002,
1.060000000000000E+009,-2.281870623567484E-001,-9.514395742506435E-001,-8.061785669020483E-002,4.787826056331923E-002,
1.065000000000000E+009,-2.375174906740712E-001,-9.498781196238846E-001,-7.823205970531341E-002,4.898504476715119E-002,
1.070000000000000E+009,-2.474285430672138E-001,-9.477860225825057E-001,-7.465075363861624E-002,4.889327747379777E-002,
1.075000000000000E+009,-2.571862175950912E-001,-9.454743301847597E-001,-7.201561916496424E-002,4.893564108587190E-002,
1.080000000000000E+009,-2.673078946191738E-001,-9.427556027873704E-001,-7.089445138028605E-002,4.774458050829105E-002,
1.085000000000000E+009,-2.775865204048313E-001,-9.400398813903820E-001,-6.819863065508899E-002,4.707528395601148E-002,
1.090000000000000E+009,-2.873486980504630E-001,-9.369008865746221E-001,-6.673807407772109E-002,4.555913730180093E-002,
1.095000000000000E+009,-2.975296506940673E-001,-9.337666930540165E-001,-6.553815299047211E-002,4.398615885287784E-002,
1.100000000000000E+009,-3.077229985022070E-001,-9.299335879011939E-001,-6.486217209882293E-002,4.232850136787471E-002,
1.105000000000000E+009,-3.180202698197367E-001,-9.265815242448050E-001,-6.393652275876527E-002,4.179669808878651E-002,
1.110000000000000E+009,-3.283903969264046E-001,-9.225749273229258E-001,-6.307340277727747E-002,4.082143934122316E-002,
1.115000000000000E+009,-3.390255498786605E-001,-9.182159920428564E-001,-6.182039888062171E-002,3.915466973346986E-002,
1.120000000000000E+009,-3.500120521451590E-001,-9.136741821035704E-001,-5.916607903772094E-002,3.984644828590526E-002,
1.125000000000000E+009,-3.617249375245747E-001,-9.093394711889791E-001,-5.700711386125763E-002,3.988301701065899E-002,
1.130000000000000E+009,-3.739467746493869E-001,-9.046381313306366E-001,-5.286135871149957E-002,4.066599571511570E-002,
1.135000000000000E+009,-3.871257506416997E-001,-8.989207760638645E-001,-4.632881627961091E-002,4.070454287945943E-002,
1.140000000000000E+009,-4.009945432002735E-001,-8.927231290446459E-001,-3.988480274718186E-002,4.017977221975027E-002,
1.145000000000000E+009,-4.164487597887200E-001,-8.853386290277847E-001,-3.028674557983165E-002,3.923066871978121E-002,
1.150000000000000E+009,-4.331193048052521E-001,-8.761051065306411E-001,-1.850221673343936E-002,3.574266080854895E-002,
1.155000000000000E+009,-4.528077696613424E-001,-8.650948981697564E-001,-3.279091113966893E-003,3.115343870128619E-002,
1.160000000000000E+009,-4.761236336667950E-001,-8.507075090909145E-001,1.605860200422341E-002,2.267099429744045E-002,
1.165000000000000E+009,-5.041302524702187E-001,-8.300244888337887E-001,4.028799663758343E-002,8.290835652371660E-003,
1.170000000000000E+009,-5.390568860451180E-001,-7.977565377883362E-001,7.351789021804077E-002,-1.797359675322830E-002,
1.175000000000000E+009,-5.823031720145500E-001,-7.417753142532353E-001,1.166856607379543E-001,-6.994838664163230E-002,
1.180000000000000E+009,-6.267636665639008E-001,-6.276571967141784E-001,1.648982286847536E-001,-1.808623080324358E-001,
1.185000000000000E+009,-5.768817595027267E-001,-3.837016107718716E-001,1.270661010111461E-001,-4.341104181395865E-001,
1.190000000000000E+009,-1.342967863014811E-001,-2.860886261239382E-001,-3.276030520247485E-001,-5.679290501660829E-001,
1.195000000000000E+009,9.667567399105095E-003,-6.609488686886204E-001,-5.142348319632487E-001,-1.890450429926108E-001,
1.200000000000000E+009,-1.042486025800540E-001,-8.239370479416099E-001,-4.163675307886100E-001,-7.214031522122463E-003,
1.205000000000000E+009,-1.940893543790848E-001,-8.716395342855844E-001,-3.350825373797801E-001,5.250517558184382E-002,
1.210000000000000E+009,-2.538495513248920E-001,-8.858471761482221E-001,-2.821924502423062E-001,7.588459077621368E-002,
1.215000000000000E+009,-2.960814098384381E-001,-8.890104148786290E-001,-2.475043542237373E-001,8.618401301658218E-002,
1.220000000000000E+009,-3.280208309854611E-001,-8.876015251213907E-001,-2.223326221972884E-001,9.019946776477075E-002,
1.225000000000000E+009,-3.533384147835801E-001,-8.842412100851568E-001,-2.046197539236736E-001,9.177751435816489E-002,
1.230000000000000E+009,-3.747354206966550E-001,-8.796180462897274E-001,-1.920339957175869E-001,9.347833125179055E-002,
1.235000000000000E+009,-3.928455840454634E-001,-8.747138422787162E-001,-1.807991948585530E-001,9.439690839908363E-002,
1.240000000000000E+009,-4.091396950684817E-001,-8.692740826828506E-001,-1.737044982129439E-001,9.403366958906941E-002,
1.245000000000000E+009,-4.238157315728908E-001,-8.643798483345591E-001,-1.656604535301660E-001,9.362562514676862E-002,
1.250000000000000E+009,-4.370631995530404E-001,-8.589072454822868E-001,-1.604896170118699E-001,9.427873637698740E-002,
1.255000000000000E+009,-4.493535543541383E-001,-8.537413000883085E-001,-1.566955057293637E-001,9.465104628459277E-002,
1.260000000000000E+009,-4.609930581740102E-001,-8.485945966587386E-001,-1.517183662031051E-001,9.484675026504603E-002,
1.265000000000000E+009,-4.715512300782325E-001,-8.431225840737003E-001,-1.490201645892319E-001,9.641618875325560E-002,
1.270000000000000E+009,-4.813881077091863E-001,-8.382439958110568E-001,-1.455220500958876E-001,9.830553510024029E-002,
1.275000000000000E+009,-4.907411103043893E-001,-8.329861827128863E-001,-1.416259340828140E-001,9.911031559008271E-002,
1.280000000000000E+009,-4.997460589490357E-001,-8.281142412085840E-001,-1.372938856857478E-001,1.017502762145896E-001,
1.285000000000000E+009,-5.081460574154461E-001,-8.232601798015353E-001,-1.332514277754222E-001,1.036051624723647E-001,
1.290000000000000E+009,-5.166738711463900E-001,-8.181179298196197E-001,-1.290236584612661E-001,1.056980538314448E-001,
1.295000000000000E+009,-5.248446060301362E-001,-8.129066344694412E-001,-1.250768565249855E-001,1.060600165251509E-001,
1.300000000000000E+009,-5.322211240574951E-001,-8.077102192124289E-001,-1.211033505843974E-001,1.084408668307987E-001,
1.305000000000000E+009,-5.398580143500606E-001,-8.025834542483192E-001,-1.161941067959103E-001,1.095983180374528E-001,
1.310000000000000E+009,-5.470514437922018E-001,-7.976292748973983E-001,-1.125323468321598E-001,1.106826801994969E-001,
1.315000000000000E+009,-5.543723976650373E-001,-7.928974228405716E-001,-1.084108061619496E-001,1.110370729187767E-001,
1.320000000000000E+009,-5.617059815842014E-001,-7.881820372976884E-001,-1.044458032825908E-001,1.114097807505072E-001,
1.325000000000000E+009,-5.692780285645651E-001,-7.834265767300270E-001,-1.015766089062564E-001,1.108985487185047E-001,
1.330000000000000E+009,-5.770185639735743E-001,-7.785042918689185E-001,-9.846858132495595E-002,1.110984496648871E-001,
1.335000000000000E+009,-5.841228183340479E-001,-7.732873862584531E-001,-9.704049488039945E-002,1.106074204397648E-001,
1.340000000000000E+009,-5.912426108985746E-001,-7.681154019334044E-001,-9.569913595595543E-002,1.100180711935930E-001,
1.345000000000000E+009,-5.982976226312075E-001,-7.628196478627805E-001,-9.440521749133929E-002,1.090273071986238E-001,
1.350000000000000E+009,-6.052225624877713E-001,-7.574189218797396E-001,-9.416942745664608E-002,1.083643266136022E-001,
1.355000000000000E+009,-6.121827259090885E-001,-7.522241932616330E-001,-9.306949447779685E-002,1.081614106948235E-001,
1.360000000000000E+009,-6.193865606969843E-001,-7.468487746196213E-001,-9.424199440415368E-002,1.072202377476738E-001,
1.365000000000000E+009,-6.264979595610571E-001,-7.415074380862770E-001,-9.402237064685734E-002,1.077741035735080E-001,
1.370000000000000E+009,-6.336965357431473E-001,-7.359349538674807E-001,-9.337802324404433E-002,1.090226935624834E-001,
1.375000000000000E+009,-6.405378510545563E-001,-7.300913579065742E-001,-9.286577723182252E-002,1.084750642079382E-001,
1.380000000000000E+009,-6.474269676228875E-001,-7.239836814987346E-001,-9.227957808562967E-002,1.099193271337793E-001,
1.385000000000000E+009,-6.542862888157113E-001,-7.173367137871092E-001,-9.154622956330344E-002,1.108543361939735E-001,
1.390000000000000E+009,-6.607422870328512E-001,-7.108624094822167E-001,-9.053961809977115E-002,1.114245136407012E-001,
1.395000000000000E+009,-6.673354165674021E-001,-7.043784632590843E-001,-8.865430806753034E-002,1.123689023247943E-001,
1.400000000000000E+009,-6.737480303080777E-001,-6.979943201766485E-001,-8.628340729064205E-002,1.133396124567807E-001,
1.405000000000000E+009,-6.803536600663831E-001,-6.913487014238102E-001,-8.467756743256447E-002,1.140116173302306E-001,
1.410000000000000E+009,-6.868888848634884E-001,-6.848463238432192E-001,-8.260928607858648E-002,1.148418294666087E-001,
1.415000000000000E+009,-6.931210307967460E-001,-6.785288371183020E-001,-8.098922926426019E-002,1.156382580145643E-001,
1.420000000000000E+009,-6.992107089103093E-001,-6.720289721049026E-001,-7.834227695771583E-002,1.171512333725235E-001,
1.425000000000000E+009,-7.054474234738811E-001,-6.655047352568140E-001,-7.619401927734180E-002,1.173328607318001E-001,
1.430000000000000E+009,-7.109446870754793E-001,-6.592165692062478E-001,-7.341640915933209E-002,1.181090429053435E-001,
1.435000000000000E+009,-7.163692557602825E-001,-6.523760041007158E-001,-7.173409070289398E-002,1.195668946412554E-001,
1.440000000000000E+009,-7.221253422826910E-001,-6.465256467426207E-001,-6.868604672578212E-002,1.209797620654736E-001,
1.445000000000000E+009,-7.277984970428792E-001,-6.403521114045011E-001,-6.594594214060906E-002,1.217497402913716E-001,
1.450000000000000E+009,-7.336319490210346E-001,-6.341011656226154E-001,-6.344068778314510E-002,1.225808601149407E-001,
1.455000000000000E+009,-7.393742710633765E-001,-6.278292474065143E-001,-6.066217501332827E-002,1.228437668742407E-001,
1.460000000000000E+009,-7.448854861136395E-001,-6.213860725920221E-001,-5.876714568027312E-002,1.214428921102443E-001,
1.465000000000000E+009,-7.498571317738449E-001,-6.151423544891490E-001,-5.647964862707021E-002,1.220742189458831E-001,
1.470000000000000E+009,-7.550961467079042E-001,-6.087489722451580E-001,-5.539527198733026E-002,1.213010155664887E-001,
1.475000000000000E+009,-7.603902590032622E-001,-6.022074302209374E-001,-5.434879010146956E-002,1.205671634388807E-001,
1.480000000000000E+009,-7.657122101460703E-001,-5.957127295114207E-001,-5.352104620510857E-002,1.189242088836088E-001,
1.485000000000000E+009,-7.709937406862215E-001,-5.886255627084149E-001,-5.344081654768524E-002,1.179497086253102E-001,
1.490000000000000E+009,-7.762614541152236E-001,-5.820823419198224E-001,-5.357805842469762E-002,1.165652956803333E-001,
1.495000000000000E+009,-7.813426808746443E-001,-5.751605787269952E-001,-5.468600180362253E-002,1.164818601831401E-001,
1.500000000000000E+009,-7.865203391709243E-001,-5.683197292323386E-001,-5.476674447080324E-002,1.157651801465634E-001,
1.505000000000000E+009,-7.916404087961979E-001,-5.614883612202144E-001,-5.464070837872147E-002,1.158249275316424E-001,
1.510000000000000E+009,-7.968815777507092E-001,-5.545525487300390E-001,-5.486632926552158E-002,1.165273732055805E-001,
1.515000000000000E+009,-8.016214531565109E-001,-5.474313815085815E-001,-5.507225611314512E-002,1.180996011657285E-001,
1.520000000000000E+009,-8.066042642418243E-001,-5.403352633189028E-001,-5.416442032724746E-002,1.186288360961637E-001,
1.525000000000000E+009,-8.112432166674979E-001,-5.334423070455082E-001,-5.229164766076173E-002,1.194705259152017E-001,
1.530000000000000E+009,-8.155403695655348E-001,-5.260398509935906E-001,-5.167012848892037E-002,1.205801375267520E-001,
1.535000000000000E+009,-8.197585184135461E-001,-5.191155596535169E-001,-4.921278296558210E-002,1.209989413531658E-001,
1.540000000000000E+009,-8.236888403389234E-001,-5.118306512701686E-001,-4.643876808262393E-002,1.222840726338414E-001,
1.545000000000000E+009,-8.274974748917678E-001,-5.046023775129153E-001,-4.472953197977748E-002,1.217948052242788E-001,
1.550000000000000E+009,-8.314631565815583E-001,-4.974163821632597E-001,-4.177058813546885E-002,1.230854682263524E-001,
1.555000000000000E+009,-8.351852232307941E-001,-4.904743884210718E-001,-3.956630145684120E-002,1.228956014162710E-001,
1.560000000000000E+009,-8.392169513517578E-001,-4.832588831364848E-001,-3.579015546122469E-002,1.225993977107007E-001,
1.565000000000000E+009,-8.426097789668259E-001,-4.757675543821681E-001,-3.390827983201759E-002,1.234216307966002E-001,
1.570000000000000E+009,-8.460478947205681E-001,-4.684370858915962E-001,-3.175887471334173E-002,1.232298611306827E-001,
1.575000000000000E+009,-8.494723891273710E-001,-4.611269846298269E-001,-3.010786889959084E-002,1.235099455419245E-001,
