% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:Trc14_S11,im:Trc14_S11,
1.000000000000000E+009,-1.296569489710066E-001,-9.719606427936023E-001,-9.814195676863693E-002,2.879288063920118E-002,
1.005000000000000E+009,-1.387079034855923E-001,-9.704815370652837E-001,-9.716311006541684E-002,2.996988327913530E-002,
1.010000000000000E+009,-1.474177347871807E-001,-9.684323053217879E-001,-9.623624224898554E-002,2.970757180723080E-002,
1.015000000000000E+009,-1.560033347891201E-001,-9.664389844410196E-001,-9.583843156557292E-002,3.155432714053196E-002,
1.020000000000000E+009,-1.642677354685997E-001,-9.639321173771993E-001,-9.539246022547829E-002,3.276156370556844E-002,
1.025000000000000E+009,-1.721045107617360E-001,-9.614099335189632E-001,-9.310742423700603E-002,3.439556849267190E-002,
1.030000000000000E+009,-1.797778420317211E-001,-9.591949672112505E-001,-9.300281810820282E-002,3.661440123191510E-002,
1.035000000000000E+009,-1.874474027584043E-001,-9.573512003255777E-001,-9.137286957382254E-002,3.843461583162071E-002,
1.040000000000000E+009,-1.948591590694896E-001,-9.558491764158121E-001,-8.990669615430452E-002,3.972790536208550E-002,
1.045000000000000E+009,-2.024864563688033E-001,-9.546672230023297E-001,-8.833783545316024E-002,4.249027674889688E-002,
1.050000000000000E+009,-2.109141779098117E-001,-9.532843082153867E-001,-8.683856643739298E-002,4.537549571195576E-002,
1.055000000000000E+009,-2.196879620943347E-001,-9.520938549666805E-001,-8.354635427464190E-002,4.633292227119856E-002,
1.060000000000000E+009,-2.288276405142846E-001,-9.503058255184312E-001,-8.051505980917750E-002,4.820655628524002E-002,
1.065000000000000E+009,-2.382286906902632E-001,-9.487913205375994E-001,-7.811545833808344E-002,4.924547582499602E-002,
1.070000000000000E+009,-2.481473989629292E-001,-9.466430231339856E-001,-7.460491242685705E-002,4.905905577290499E-002,
1.075000000000000E+009,-2.580048489504376E-001,-9.442740709498400E-001,-7.204347213228164E-002,4.903014540991804E-002,
1.080000000000000E+009,-2.681972611740649E-001,-9.415874789868004E-001,-7.102101723131979E-002,4.780508010239695E-002,
1.085000000000000E+009,-2.785331500549177E-001,-9.387225653023009E-001,-6.839263342844223E-002,4.710995548350612E-002,
1.090000000000000E+009,-2.884517151362807E-001,-9.355988170681092E-001,-6.704788139508645E-002,4.560013641352278E-002,
1.095000000000000E+009,-2.985956998212617E-001,-9.323445341267215E-001,-6.591700700575071E-002,4.402258799329611E-002,
1.100000000000000E+009,-3.087683951757131E-001,-9.285086610871297E-001,-6.532428246175866E-002,4.241772311817225E-002,
1.105000000000000E+009,-3.190450978921674E-001,-9.250487544665691E-001,-6.441667314554081E-002,4.193131384202578E-002,
1.110000000000000E+009,-3.294753717477560E-001,-9.210168165696393E-001,-6.354966785337642E-002,4.102814752886362E-002,
1.115000000000000E+009,-3.401938577175558E-001,-9.166538336621051E-001,-6.223628964098946E-002,3.939381002206249E-002,
1.120000000000000E+009,-3.512367990238761E-001,-9.120336678145595E-001,-5.953461832662411E-002,4.010786140284149E-002,
1.125000000000000E+009,-3.628946863708713E-001,-9.077138546310306E-001,-5.730188368165762E-002,4.013458633982935E-002,
1.130000000000000E+009,-3.751620506962000E-001,-9.029037158947006E-001,-5.306501292817367E-002,4.092042213855705E-002,
1.135000000000000E+009,-3.883476036960073E-001,-8.971425408461441E-001,-4.642928260325467E-002,4.089713941189833E-002,
1.140000000000000E+009,-4.022125320320509E-001,-8.908959627442981E-001,-3.989513020078304E-002,4.031901511445568E-002,
1.145000000000000E+009,-4.177765950121787E-001,-8.835119969317268E-001,-3.019877934577572E-002,3.929832915143580E-002,
1.150000000000000E+009,-4.344678137249254E-001,-8.741721208800730E-001,-1.831011537045833E-002,3.568669940272670E-002,
1.155000000000000E+009,-4.542863467618566E-001,-8.630726646915797E-001,-2.972463163365593E-003,3.092923332119852E-002,
1.160000000000000E+009,-4.777205891307252E-001,-8.484934675350416E-001,1.647335180328963E-002,2.225805333858574E-002,
1.165000000000000E+009,-5.058854809391455E-001,-8.275056836458790E-001,4.079786706412263E-002,7.542874027353468E-003,
1.170000000000000E+009,-5.409134973913820E-001,-7.947511012073085E-001,7.415966418505121E-002,-1.918502785643851E-002,
1.175000000000000E+009,-5.842027802689015E-001,-7.376245536968515E-001,1.174072385698626E-001,-7.222893235131546E-002,
1.180000000000000E+009,-6.278655383252886E-001,-6.211450743921980E-001,1.648580142178808E-001,-1.856352012524899E-001,
1.185000000000000E+009,-5.707572660321233E-001,-3.740452237991038E-001,1.198380466332857E-001,-4.425903382832048E-001,
1.190000000000000E+009,-1.224369473932749E-001,-2.939699822120473E-001,-3.420143651022697E-001,-5.587440040792258E-001,
1.195000000000000E+009,5.809902305167123E-003,-6.673929152700997E-001,-5.123947328334021E-001,-1.800578822147944E-001,
1.200000000000000E+009,-1.085936472613227E-001,-8.248502248111908E-001,-4.136418159082650E-001,-3.937563829992295E-003,
1.205000000000000E+009,-1.974573353898349E-001,-8.709084790612380E-001,-3.333412984463314E-001,5.401579301407519E-002,
1.210000000000000E+009,-2.565825268878893E-001,-8.845243953697930E-001,-2.810866900352531E-001,7.679573391894815E-002,
1.215000000000000E+009,-2.984679521144211E-001,-8.874963076906337E-001,-2.467961978998943E-001,8.682679284756581E-002,
1.220000000000000E+009,-3.301611496101723E-001,-8.859621237668781E-001,-2.218897128353009E-001,9.068993527256113E-002,
1.225000000000000E+009,-3.554348220890486E-001,-8.825256449037907E-001,-2.043706615498334E-001,9.220992840214479E-002,
1.230000000000000E+009,-3.766967247855793E-001,-8.778255806235948E-001,-1.919168023837636E-001,9.385170263952483E-002,
1.235000000000000E+009,-3.948817404251801E-001,-8.728827883857984E-001,-1.807835512063014E-001,9.475302614552367E-002,
1.240000000000000E+009,-4.111938402942228E-001,-8.674103414055806E-001,-1.737636595215834E-001,9.438418307216243E-002,
1.245000000000000E+009,-4.258558218032033E-001,-8.623988700723715E-001,-1.657918019864346E-001,9.398291802152611E-002,
1.250000000000000E+009,-4.390354987700251E-001,-8.568939057668776E-001,-1.606679111517267E-001,9.467445252762798E-002,
1.255000000000000E+009,-4.513716792811658E-001,-8.517595336848824E-001,-1.568683240369415E-001,9.509211026408330E-002,
1.260000000000000E+009,-4.629236117866861E-001,-8.465167124416644E-001,-1.518450817215579E-001,9.532054511360047E-002,
1.265000000000000E+009,-4.734905531734893E-001,-8.410657961595314E-001,-1.490856616525361E-001,9.694490562692036E-002,
1.270000000000000E+009,-4.831922214115299E-001,-8.361960647580746E-001,-1.455177285934659E-001,9.885243530160796E-002,
1.275000000000000E+009,-4.925713785999204E-001,-8.309673251952616E-001,-1.415060252398783E-001,9.966659040490455E-002,
1.280000000000000E+009,-5.014481805928120E-001,-8.260736535175041E-001,-1.370689430658187E-001,1.022930528632168E-001,
1.285000000000000E+009,-5.099638180544417E-001,-8.211408902794060E-001,-1.329077464575642E-001,1.040849540096459E-001,
1.290000000000000E+009,-5.184500950802149E-001,-8.160031595732964E-001,-1.285947431569658E-001,1.061032984514784E-001,
1.295000000000000E+009,-5.265766871958733E-001,-8.108246346962506E-001,-1.246003015355360E-001,1.063924820633642E-001,
1.300000000000000E+009,-5.339292978018754E-001,-8.055037006717897E-001,-1.205603811254526E-001,1.086855701113053E-001,
1.305000000000000E+009,-5.414976427747220E-001,-8.004343444463469E-001,-1.156872354261048E-001,1.097206609844221E-001,
1.310000000000000E+009,-5.486582488465024E-001,-7.954425436799102E-001,-1.120584299472542E-001,1.107193553076605E-001,
1.315000000000000E+009,-5.559110499484584E-001,-7.907129022857469E-001,-1.080571849280974E-001,1.110025623431667E-001,
1.320000000000000E+009,-5.633768116859484E-001,-7.860239429402791E-001,-1.042011168825006E-001,1.113549625718703E-001,
1.325000000000000E+009,-5.707245584240849E-001,-7.812130728398505E-001,-1.014548980306928E-001,1.107694151621570E-001,
1.330000000000000E+009,-5.785246361577942E-001,-7.762264701781947E-001,-9.849526874113078E-002,1.110074056580412E-001,
1.335000000000000E+009,-5.855255111118899E-001,-7.709526139635804E-001,-9.720982310890519E-002,1.105661824004317E-001,
1.340000000000000E+009,-5.927188815779860E-001,-7.658058329320264E-001,-9.598463522629311E-002,1.100809463262230E-001,
1.345000000000000E+009,-5.996449716891295E-001,-7.605340613126941E-001,-9.478341437810696E-002,1.092214620065554E-001,
1.350000000000000E+009,-6.064777166364724E-001,-7.551346086208896E-001,-9.456577003456597E-002,1.086690017479977E-001,
1.355000000000000E+009,-6.133853247199088E-001,-7.498779586022780E-001,-9.344081519648863E-002,1.085449433091163E-001,
1.360000000000000E+009,-6.206287624935425E-001,-7.446446121276579E-001,-9.454651490184077E-002,1.076851782805907E-001,
1.365000000000000E+009,-6.275673475119926E-001,-7.391909701975737E-001,-9.425373389599749E-002,1.082541049048171E-001,
1.370000000000000E+009,-6.348451731464367E-001,-7.336005145688853E-001,-9.349726858785455E-002,1.094942863991390E-001,
1.375000000000000E+009,-6.416262778087037E-001,-7.277185927772072E-001,-9.293248502491538E-002,1.089169227853062E-001,
1.380000000000000E+009,-6.485636390521897E-001,-7.216411194426811E-001,-9.227605552962974E-002,1.103104614504406E-001,
1.385000000000000E+009,-6.553615901117141E-001,-7.148914113289137E-001,-9.144061517855692E-002,1.112308592938980E-001,
1.390000000000000E+009,-6.619079532830117E-001,-7.084299754096028E-001,-9.037111976273655E-002,1.117235782411766E-001,
1.395000000000000E+009,-6.684690600778366E-001,-7.019043918246359E-001,-8.840707174213330E-002,1.126086700916565E-001,
1.400000000000000E+009,-6.749773079205430E-001,-6.954479527817763E-001,-8.598070219461111E-002,1.135374379177039E-001,
1.405000000000000E+009,-6.814226564315510E-001,-6.887055520943501E-001,-8.430414294756519E-002,1.141365999617325E-001,
1.410000000000000E+009,-6.880622489898504E-001,-6.822444310326646E-001,-8.222419907573669E-002,1.149337453557653E-001,
1.415000000000000E+009,-6.944386242679003E-001,-6.758282588085349E-001,-8.056352508883570E-002,1.156760363942672E-001,
1.420000000000000E+009,-7.003884998029578E-001,-6.692511301354241E-001,-7.791473237240611E-002,1.171550059269159E-001,
1.425000000000000E+009,-7.067648326634973E-001,-6.626485038710764E-001,-7.575802156592955E-002,1.173079563028559E-001,
1.430000000000000E+009,-7.123113953787836E-001,-6.563291891828816E-001,-7.297415773580959E-002,1.180878754082341E-001,
1.435000000000000E+009,-7.177884434118715E-001,-6.494329023201196E-001,-7.129549113960143E-002,1.195280113448782E-001,
1.440000000000000E+009,-7.235579914144894E-001,-6.434657066222970E-001,-6.827089125614443E-002,1.209015700558456E-001,
1.445000000000000E+009,-7.291615987987703E-001,-6.371780548130275E-001,-6.557782772869233E-002,1.216303214759242E-001,
1.450000000000000E+009,-7.350129284324689E-001,-6.308591997884132E-001,-6.312875252654657E-002,1.224338373920601E-001,
1.455000000000000E+009,-7.407278811482120E-001,-6.246057833803879E-001,-6.043149362365721E-002,1.227241016649048E-001,
1.460000000000000E+009,-7.463184097084163E-001,-6.181178181372842E-001,-5.860568416266682E-002,1.213390608070932E-001,
