% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:Trc14_S11,im:Trc14_S11,
1.000000000000000E+009,-1.155744995461728E-001,-9.773160429022958E-001,-8.800497187569475E-002,2.598101749795157E-002,
1.005000000000000E+009,-1.245232065385045E-001,-9.760605417887579E-001,-8.713209365494257E-002,2.712427919177377E-002,
1.010000000000000E+009,-1.331879436025230E-001,-9.742128742758469E-001,-8.626534209282148E-002,2.676790487345582E-002,
1.015000000000000E+009,-1.416809988197840E-001,-9.722910968663180E-001,-8.600928976625466E-002,2.847458199553628E-002,
1.020000000000000E+009,-1.500845060075856E-001,-9.699668954901534E-001,-8.572860896107626E-002,2.949746831077392E-002,
1.025000000000000E+009,-1.579068699585783E-001,-9.674606103048482E-001,-8.363032306882443E-002,3.093743657289208E-002,
1.030000000000000E+009,-1.654985467575179E-001,-9.653425922807035E-001,-8.384284629713915E-002,3.292161917957411E-002,
1.035000000000000E+009,-1.729375260798536E-001,-9.635216306769521E-001,-8.256268221932513E-002,3.452752416579556E-002,
1.040000000000000E+009,-1.802505403605721E-001,-9.621492239674265E-001,-8.147642938475652E-002,3.566307127813631E-002,
1.045000000000000E+009,-1.877259627931356E-001,-9.611216065465398E-001,-8.036300345015021E-002,3.836954848931452E-002,
1.050000000000000E+009,-1.959306587187390E-001,-9.599555125012149E-001,-7.929313108630690E-002,4.124990497325495E-002,
1.055000000000000E+009,-2.044431974245395E-001,-9.590026479242342E-001,-7.630892134027889E-002,4.233688476283493E-002,
1.060000000000000E+009,-2.132994086716795E-001,-9.575114285246048E-001,-7.358175111238145E-002,4.439084561710988E-002,
1.065000000000000E+009,-2.224068981184338E-001,-9.562360230042103E-001,-7.138586134297098E-002,4.560824476211484E-002,
1.070000000000000E+009,-2.319856827850555E-001,-9.543530347643053E-001,-6.795299164021779E-002,4.564009467545499E-002,
1.075000000000000E+009,-2.413602129517591E-001,-9.523011984695624E-001,-6.548948443660238E-002,4.578077294778881E-002,
1.080000000000000E+009,-2.509873935879153E-001,-9.499242271101066E-001,-6.451778432767558E-002,4.462185007041842E-002,
1.085000000000000E+009,-2.608552491978204E-001,-9.474636466600506E-001,-6.202451345605618E-002,4.405855139910697E-002,
1.090000000000000E+009,-2.702306212770217E-001,-9.447924979634966E-001,-6.084330434822347E-002,4.262296078095917E-002,
1.095000000000000E+009,-2.798258085684274E-001,-9.420661696087717E-001,-5.995739482169164E-002,4.109582090468893E-002,
1.100000000000000E+009,-2.894426650316517E-001,-9.386674266454503E-001,-5.972623751583227E-002,3.950835992921761E-002,
1.105000000000000E+009,-2.991255877588085E-001,-9.357259738450243E-001,-5.941264568128745E-002,3.908641294553996E-002,
1.110000000000000E+009,-3.087076681262595E-001,-9.321359875301716E-001,-5.930783641178256E-002,3.824073057658198E-002,
1.115000000000000E+009,-3.184699044569418E-001,-9.283887581723459E-001,-5.897997850939248E-002,3.674435897314421E-002,
1.120000000000000E+009,-3.282672859501849E-001,-9.245509656661869E-001,-5.764820149731986E-002,3.778813300764272E-002,
1.125000000000000E+009,-3.384680373879188E-001,-9.211486982471812E-001,-5.706797720829798E-002,3.825274700335908E-002,
1.130000000000000E+009,-3.490168850885018E-001,-9.174931036409050E-001,-5.492563229758470E-002,3.974219365236479E-002,
1.135000000000000E+009,-3.600730941130931E-001,-9.132102327375340E-001,-5.082173263469275E-002,4.082033180231955E-002,
1.140000000000000E+009,-3.712541201952943E-001,-9.087250019334616E-001,-4.743235265859071E-002,4.163159401292699E-002,
1.145000000000000E+009,-3.833581199009190E-001,-9.038149225998133E-001,-4.179093078154480E-002,4.271000874777099E-002,
1.150000000000000E+009,-3.954819253349164E-001,-8.979022343703111E-001,-3.508488175165604E-002,4.215214110860781E-002,
1.155000000000000E+009,-4.091532957921847E-001,-8.917564396199421E-001,-2.666499072521281E-002,4.210968707249965E-002,
1.160000000000000E+009,-4.240702204875384E-001,-8.849187658649328E-001,-1.659662231138786E-002,4.079794772474826E-002,
1.165000000000000E+009,-4.403707307816940E-001,-8.766077811999380E-001,-5.467651516054074E-003,3.821627888522945E-002,
1.170000000000000E+009,-4.587151013740173E-001,-8.663477104066627E-001,8.914130813849241E-003,3.351331530522166E-002,
1.175000000000000E+009,-4.793841493334088E-001,-8.535549160871321E-001,2.560503414767775E-002,2.442365174567213E-002,
1.180000000000000E+009,-5.037280464848858E-001,-8.362212255797534E-001,4.534602741482807E-002,1.186023068100671E-002,
1.185000000000000E+009,-5.330928241695334E-001,-8.110710739647149E-001,7.192246001594645E-002,-8.093917682090390E-003,
1.190000000000000E+009,-5.690312026040221E-001,-7.710251379702224E-001,1.071896017016157E-001,-4.273503589927409E-002,
1.195000000000000E+009,-6.124027366822503E-001,-6.999168627633046E-001,1.514235472921148E-001,-1.093334733173650E-001,
1.200000000000000E+009,-6.438446334479142E-001,-5.520709563495209E-001,1.915438604325038E-001,-2.567478690912006E-001,
