% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:Trc14_S11,im:Trc14_S11,
1.000000000000000E+009,-1.267621613009443E-001,-9.744612395017009E-001,-9.745897392390784E-002,2.800861847928650E-002,
1.005000000000000E+009,-1.357779113822783E-001,-9.730726656411830E-001,-9.652935462719489E-002,2.920368483770068E-002,
1.010000000000000E+009,-1.445221989138509E-001,-9.710388311346659E-001,-9.566243614901603E-002,2.891147585465811E-002,
1.015000000000000E+009,-1.530639080923610E-001,-9.689442016320743E-001,-9.534085915435779E-002,3.070924780814830E-002,
1.020000000000000E+009,-1.614121462745746E-001,-9.665133159169683E-001,-9.503313699056100E-002,3.182333424671422E-002,
1.025000000000000E+009,-1.691643528363480E-001,-9.639771815238063E-001,-9.291998006792991E-002,3.338149943112470E-002,
1.030000000000000E+009,-1.768133304666949E-001,-9.618194385993409E-001,-9.302181699867088E-002,3.557149234661212E-002,
1.035000000000000E+009,-1.844212962483196E-001,-9.600402823417806E-001,-9.159238126336911E-002,3.739416619198030E-002,
1.040000000000000E+009,-1.917723529351242E-001,-9.587071872226337E-001,-9.031725313172140E-002,3.870364088514047E-002,
1.045000000000000E+009,-1.994832388242885E-001,-9.575952624603825E-001,-8.887408839903606E-002,4.152859299953903E-002,
1.050000000000000E+009,-2.079604251614010E-001,-9.563087008280691E-001,-8.749199570144521E-002,4.445351784276445E-002,
1.055000000000000E+009,-2.166916376527145E-001,-9.551640335620704E-001,-8.429577348161729E-002,4.548495887345479E-002,
1.060000000000000E+009,-2.258522937545119E-001,-9.534629781563105E-001,-8.131453036616122E-002,4.747001433108529E-002,
1.065000000000000E+009,-2.351948905313214E-001,-9.519976257600452E-001,-7.896247642970224E-002,4.861562500198521E-002,
1.070000000000000E+009,-2.449656142209401E-001,-9.498773036330703E-001,-7.539991289213077E-002,4.855802492336841E-002,
1.075000000000000E+009,-2.545877968883770E-001,-9.476309760694699E-001,-7.277119880144423E-002,4.863324984434195E-002,
1.080000000000000E+009,-2.646163214915893E-001,-9.449742353261169E-001,-7.165266698533664E-002,4.747489841223167E-002,
1.085000000000000E+009,-2.747762315236200E-001,-9.423327972422468E-001,-6.896613168182303E-002,4.683902806589779E-002,
1.090000000000000E+009,-2.844760306358243E-001,-9.392886520734890E-001,-6.756520699835947E-002,4.535639716774816E-002,
1.095000000000000E+009,-2.944317688166998E-001,-9.363083390143671E-001,-6.644195999646763E-002,4.379839855741466E-002,
1.100000000000000E+009,-3.044671314140692E-001,-9.325556705731111E-001,-6.587987702684216E-002,4.219574268985642E-002,
1.105000000000000E+009,-3.146757303275063E-001,-9.292768294694395E-001,-6.510426347285983E-002,4.173254681739180E-002,
1.110000000000000E+009,-3.248355006295204E-001,-9.253603680804924E-001,-6.443774664011626E-002,4.084384504676726E-002,
1.115000000000000E+009,-3.352784631437576E-001,-9.211850013221321E-001,-6.341272809976724E-002,3.924632029014269E-002,
1.120000000000000E+009,-3.459804959488837E-001,-9.168044081401625E-001,-6.111415695114260E-002,4.006702692996297E-002,
1.125000000000000E+009,-3.572575057681375E-001,-9.127537333525181E-001,-5.941517536138270E-002,4.024595939046771E-002,
1.130000000000000E+009,-3.690319318991797E-001,-9.083108907807482E-001,-5.584154253924448E-002,4.127443315644398E-002,
1.135000000000000E+009,-3.816034191679547E-001,-9.030406838115077E-001,-5.001389847231330E-002,4.163861541285643E-002,
