% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:Trc14_S11,im:Trc14_S11,
1.000000000000000E+009,-1.353221575762556E-001,-9.885027154070184E-001,-7.927440717641357E-002,3.142832004023014E-003,
1.005000000000000E+009,-1.441911858181662E-001,-9.864326735740273E-001,-8.370795634167096E-002,7.634900123977001E-003,
1.010000000000000E+009,-1.519716086323362E-001,-9.842475814781309E-001,-8.747126024299670E-002,1.037510563677016E-002,
1.015000000000000E+009,-1.587925993403108E-001,-9.821390000360226E-001,-8.997088117675034E-002,1.623393381599893E-002,
1.020000000000000E+009,-1.657095053862147E-001,-9.813905745013513E-001,-9.264577823555160E-002,2.200635493969758E-002,
1.025000000000000E+009,-1.729816963418737E-001,-9.806437983986949E-001,-9.349566203754281E-002,2.891008911126958E-002,
1.030000000000000E+009,-1.802855519079956E-001,-9.804153306607625E-001,-9.336150183922060E-002,3.493151450158574E-002,
1.035000000000000E+009,-1.880367708102813E-001,-9.795594401515642E-001,-9.006871587343783E-002,3.896867416442837E-002,
1.040000000000000E+009,-1.958925334034582E-001,-9.794158162798592E-001,-8.814802690217449E-002,4.424827323528409E-002,
1.045000000000000E+009,-2.045420420279741E-001,-9.779844004530429E-001,-8.463051827442937E-002,4.755865267488472E-002,
1.050000000000000E+009,-2.124954048175881E-001,-9.767046215919606E-001,-7.923914330997046E-002,4.935159645551121E-002,
1.055000000000000E+009,-2.218238472004826E-001,-9.748169689851792E-001,-7.459693044881002E-002,4.811942099741395E-002,
1.060000000000000E+009,-2.307414867757041E-001,-9.727666898993526E-001,-7.008573855034606E-002,4.618812328884488E-002,
1.065000000000000E+009,-2.401107676320179E-001,-9.710559392396512E-001,-6.370948598994676E-002,4.364647920217613E-002,
1.070000000000000E+009,-2.491618083637215E-001,-9.686736575164006E-001,-6.004512184646242E-002,4.051868274760510E-002,
1.075000000000000E+009,-2.594861480839492E-001,-9.657740198812054E-001,-5.684397411827570E-002,3.532164209793259E-002,
1.080000000000000E+009,-2.686907855554135E-001,-9.632280635823618E-001,-5.452474604541526E-002,2.952925359396145E-002,
1.085000000000000E+009,-2.790647201504590E-001,-9.603053494524687E-001,-5.195878542496752E-002,2.366480875661773E-002,
1.090000000000000E+009,-2.888151453592572E-001,-9.575779249009885E-001,-5.230442555338952E-002,2.011030125236739E-002,
1.095000000000000E+009,-2.978451658432618E-001,-9.543550367854909E-001,-5.181359654377585E-002,1.539379666249894E-002,
1.100000000000000E+009,-3.074858778621014E-001,-9.508689036139484E-001,-5.408789665648813E-002,1.417778721323519E-002,
1.105000000000000E+009,-3.171211217063170E-001,-9.473215779209382E-001,-5.593163858069183E-002,1.051424041271637E-002,
1.110000000000000E+009,-3.262284362377745E-001,-9.434137290427013E-001,-5.964852956479896E-002,1.290295170199576E-002,
1.115000000000000E+009,-3.351416820008361E-001,-9.399042048958461E-001,-6.373464979240304E-002,1.107074528401328E-002,
1.120000000000000E+009,-3.442274359121763E-001,-9.359985458890747E-001,-6.679146373097343E-002,1.301546272959051E-002,
1.125000000000000E+009,-3.537881011533817E-001,-9.333702705685403E-001,-7.022716470735435E-002,1.734752700319193E-002,
1.130000000000000E+009,-3.636995109443353E-001,-9.293560668578835E-001,-7.506596940771573E-002,2.253843459470625E-002,
1.135000000000000E+009,-3.727857052656807E-001,-9.258819600411614E-001,-7.574124035990926E-002,2.917987106875905E-002,
1.140000000000000E+009,-3.822753117141969E-001,-9.224615688964024E-001,-7.520472909477907E-002,3.528840775391536E-002,
1.145000000000000E+009,-3.923933270279109E-001,-9.179971405382683E-001,-7.438084370216960E-002,4.289587449648732E-002,
1.150000000000000E+009,-4.020906908018759E-001,-9.139780230811697E-001,-7.165570034280258E-002,4.755014816128188E-002,
1.155000000000000E+009,-4.120490452650063E-001,-9.102138684547405E-001,-6.695791356974951E-002,5.184897290920618E-002,
1.160000000000000E+009,-4.224324536145392E-001,-9.054976306099978E-001,-6.374748239922459E-002,5.736656218242388E-002,
1.165000000000000E+009,-4.332605384272526E-001,-9.009944135350116E-001,-5.602409471679612E-002,5.942382002043241E-002,
1.170000000000000E+009,-4.436425348097517E-001,-8.958091873347347E-001,-4.976400075115831E-002,5.969012604028302E-002,
1.175000000000000E+009,-4.547389727956638E-001,-8.910892434936548E-001,-4.433343682222846E-002,5.880868541011446E-002,
1.180000000000000E+009,-4.658724912993921E-001,-8.845289462182268E-001,-3.398707044578853E-002,5.725806100831356E-002,
1.185000000000000E+009,-4.769662282643042E-001,-8.781090865390888E-001,-2.817326470188313E-002,5.365910219732797E-002,
