% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:Trc14_S11,im:Trc14_S11,
1.000000000000000E+009,-1.484114868486035E-001,-9.853750781648829E-001,-9.061305006895479E-002,6.196404378971359E-003,
1.005000000000000E+009,-1.572890358913053E-001,-9.831433761376438E-001,-9.488906540407523E-002,1.091538582218450E-002,
1.010000000000000E+009,-1.651282734507163E-001,-9.807219976157383E-001,-9.851706562998498E-002,1.384048026957558E-002,
1.015000000000000E+009,-1.720344491940216E-001,-9.783958556493287E-001,-1.008158466141877E-001,1.981885987928300E-002,
1.020000000000000E+009,-1.789872412215758E-001,-9.774412145068739E-001,-1.033197956009713E-001,2.569148917073195E-002,
1.025000000000000E+009,-1.862603924917902E-001,-9.765999253405533E-001,-1.040203740003497E-001,3.268389015006083E-002,
1.030000000000000E+009,-1.934302847807854E-001,-9.761742935554382E-001,-1.037426213106433E-001,3.876440689741242E-002,
1.035000000000000E+009,-2.014146136304052E-001,-9.752007909419475E-001,-1.003547028947488E-001,4.281980078489237E-002,
1.040000000000000E+009,-2.093405391001851E-001,-9.750683932958246E-001,-9.828656567881301E-002,4.817951112484942E-002,
1.045000000000000E+009,-2.179627823517754E-001,-9.734692630833963E-001,-9.464329869955546E-002,5.150381125113184E-002,
1.050000000000000E+009,-2.261512874022407E-001,-9.721745074262559E-001,-8.918179621257910E-002,5.329270261217186E-002,
1.055000000000000E+009,-2.355787390877689E-001,-9.702152431480987E-001,-8.453547345010593E-002,5.203756900839129E-002,
1.060000000000000E+009,-2.446468428860682E-001,-9.680371620360775E-001,-8.002400040851765E-002,5.008683460736715E-002,
1.065000000000000E+009,-2.541625649657457E-001,-9.661853868508561E-001,-7.367680858553025E-002,4.747379026119139E-002,
1.070000000000000E+009,-2.634243018712387E-001,-9.636776988720353E-001,-7.001722024051510E-002,4.434078488917451E-002,
1.075000000000000E+009,-2.739506158282536E-001,-9.605949193796861E-001,-6.685644827226776E-002,3.914889754563329E-002,
1.080000000000000E+009,-2.834119592763217E-001,-9.578212728203389E-001,-6.459595368331317E-002,3.340503278745717E-002,
1.085000000000000E+009,-2.940434780279015E-001,-9.546794598850100E-001,-6.209339280646280E-002,2.756591763389162E-002,
1.090000000000000E+009,-3.040016269352617E-001,-9.516900116789522E-001,-6.235274957168555E-002,2.411075542343675E-002,
1.095000000000000E+009,-3.133055124001706E-001,-9.482049923434791E-001,-6.184141443628689E-002,1.945708349312224E-002,
1.100000000000000E+009,-3.231337486062734E-001,-9.443939222458220E-001,-6.393554408254364E-002,1.836663816238494E-002,
1.105000000000000E+009,-3.330648359937030E-001,-9.405924774636100E-001,-6.566574592672016E-002,1.481047666466899E-002,
1.110000000000000E+009,-3.424000489778574E-001,-9.364176543849500E-001,-6.903680115984266E-002,1.735546437926700E-002,
1.115000000000000E+009,-3.516576061259486E-001,-9.325674573451170E-001,-7.288222984663774E-002,1.572753460529165E-002,
1.120000000000000E+009,-3.610337299081224E-001,-9.283702160370718E-001,-7.551162417249265E-002,1.778682169503766E-002,
1.125000000000000E+009,-3.709409680122250E-001,-9.253176518054698E-001,-7.835880044930989E-002,2.223872723912558E-002,
1.130000000000000E+009,-3.813130499909617E-001,-9.209114579543780E-001,-8.251499485764735E-002,2.757098226698797E-002,
1.135000000000000E+009,-3.908233120816526E-001,-9.170827375875573E-001,-8.239232181868025E-002,3.416849191244207E-002,
1.140000000000000E+009,-4.008648784481678E-001,-9.130935928274104E-001,-8.097038458576375E-002,4.015092787758573E-002,
1.145000000000000E+009,-4.115336596390112E-001,-9.081548366765299E-001,-7.910620389035175E-002,4.757289689436897E-002,
1.150000000000000E+009,-4.220954240859377E-001,-9.034683414918068E-001,-7.529968124610538E-002,5.191873256294907E-002,
1.155000000000000E+009,-4.329984966647946E-001,-8.990649533110967E-001,-6.935231749938847E-002,5.575602663198447E-002,
1.160000000000000E+009,-4.446114369034429E-001,-8.934969673873913E-001,-6.457523312546400E-002,6.072518032898099E-002,
1.165000000000000E+009,-4.568720267592909E-001,-8.879906125085516E-001,-5.518286967147892E-002,6.184072734936805E-002,
1.170000000000000E+009,-4.689383526992985E-001,-8.814023219483982E-001,-4.699524033819807E-002,6.101111757741219E-002,
1.175000000000000E+009,-4.822646688273888E-001,-8.751117401823568E-001,-3.923127207486914E-002,5.876722404376103E-002,
1.180000000000000E+009,-4.961164195381159E-001,-8.664172927928227E-001,-2.600551499029244E-002,5.507044016053574E-002,
1.185000000000000E+009,-5.106809020347849E-001,-8.570039097484419E-001,-1.658340585602435E-002,4.895226651972236E-002,
1.190000000000000E+009,-5.268273115805774E-001,-8.463806943473602E-001,-5.043141511264476E-003,3.878517330878664E-002,
