% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:Cap1_duto1_0_1plstc_S21,im:Cap1_duto1_0_1plstc_S21,re:Cap1_duto1_0_5plstc_S21,im:Cap1_duto1_0_5plstc_S21,re:Cap1_duto1_0_75plstc_S21,im:Cap1_duto1_0_75plstc_S21,re:Cap1_duto1_1plstc_S21,im:Cap1_duto1_1plstc_S21,
1.000000000000000E+009,-1.355881824177504E-001,-9.663109385365486E-001,-1.355063077912018E-001,-9.662696893371644E-001,-1.337246674847720E-001,-9.669507379165460E-001,-1.351633815395474E-001,-9.663468377913802E-001,-1.354890693464280E-001,-9.662512273178103E-001,
1.005000000000000E+009,-1.473323463835190E-001,-9.633288692808676E-001,-1.472532996471619E-001,-9.632202754153078E-001,-1.453100126253621E-001,-9.641257670043065E-001,-1.469108229796057E-001,-9.633763712478003E-001,-1.472427066831589E-001,-9.631991858482363E-001,
1.010000000000000E+009,-1.588576649888142E-001,-9.597466412308344E-001,-1.587651120930161E-001,-9.596594268892885E-001,-1.566745751365972E-001,-9.608186599087236E-001,-1.583771283595953E-001,-9.599230474024494E-001,-1.587459542837143E-001,-9.597119101791383E-001,
1.015000000000000E+009,-1.704324579517100E-001,-9.556652066616970E-001,-1.702563221190507E-001,-9.554946884612612E-001,-1.677716045816748E-001,-9.569143155477623E-001,-1.698933237646830E-001,-9.558865078328620E-001,-1.702730881795884E-001,-9.556346185379029E-001,
1.020000000000000E+009,-1.825934683643149E-001,-9.508142058099860E-001,-1.823656790102799E-001,-9.506157469967532E-001,-1.795017479302830E-001,-9.524761250585273E-001,-1.819994047132807E-001,-9.511558986550810E-001,-1.824402134618759E-001,-9.508191743087771E-001,
1.025000000000000E+009,-1.949637189056147E-001,-9.458098288049730E-001,-1.947322965293305E-001,-9.457148293686708E-001,-1.913478266040635E-001,-9.479270379842826E-001,-1.942879696384934E-001,-9.462229392245019E-001,-1.947657231035233E-001,-9.458612196655275E-001,
1.030000000000000E+009,-2.085732514379133E-001,-9.399850910312684E-001,-2.084099173087952E-001,-9.400022340398136E-001,-2.040723460086771E-001,-9.429524674800622E-001,-2.077092090974799E-001,-9.405636155281596E-001,-2.082275528049470E-001,-9.401608634605411E-001,
1.035000000000000E+009,-2.247613614635379E-001,-9.332670181024403E-001,-2.249651462216431E-001,-9.332228363986208E-001,-2.193540738664122E-001,-9.375282850112415E-001,-2.238415485972280E-001,-9.341435206230468E-001,-2.244709134922028E-001,-9.335248137168887E-001,
1.040000000000000E+009,-2.433831468602409E-001,-9.233442547929924E-001,-2.438558318644105E-001,-9.229817250800172E-001,-2.366553740111371E-001,-9.296491731509772E-001,-2.421731835516370E-001,-9.246109777391721E-001,-2.431016192426682E-001,-9.237474143333436E-001,
1.045000000000000E+009,-2.650530918549154E-001,-9.068432424014637E-001,-2.657794245722931E-001,-9.057488356724734E-001,-2.568313144648115E-001,-9.168137866623787E-001,-2.635889786390164E-001,-9.088198992855932E-001,-2.646607450294495E-001,-9.073388486480715E-001,
1.050000000000000E+009,-2.892282051692817E-001,-8.792157425721583E-001,-2.901163045388062E-001,-8.768112092508364E-001,-2.800620079496756E-001,-8.961192436171787E-001,-2.877387463291858E-001,-8.825593674993396E-001,-2.888762446079255E-001,-8.800205834960939E-001,
1.055000000000000E+009,-3.114776636767599E-001,-8.322300778922608E-001,-3.111897732235932E-001,-8.274671606516910E-001,-3.052758414660851E-001,-8.621179104557539E-001,-3.108445287016559E-001,-8.382407854204433E-001,-3.113053346595764E-001,-8.338074790878297E-001,
1.060000000000000E+009,-3.083531244987672E-001,-7.543274844070920E-001,-3.029945133712433E-001,-7.475384505023074E-001,-3.215967544558516E-001,-8.029505684974577E-001,-3.125197475167146E-001,-7.636238972878645E-001,-3.094738524417878E-001,-7.567306682777406E-001,
1.065000000000000E+009,-2.279779420566858E-001,-6.711815285419659E-001,-2.147947900238159E-001,-6.709030708592469E-001,-2.947545147988372E-001,-7.120746588741459E-001,-2.424433100281356E-001,-6.759886624714794E-001,-2.316580963468553E-001,-6.722840436210633E-001,
1.070000000000000E+009,-9.599925167616878E-002,-6.925555149100950E-001,-8.882964931053698E-002,-7.033207032181215E-001,-1.755621872117742E-001,-6.570258416687478E-001,-1.079764539530346E-001,-6.832339646035699E-001,-9.887841290712360E-002,-6.903822000160219E-001,
1.075000000000000E+009,-4.783505574778303E-002,-7.878068898017872E-001,-4.958080545444871E-002,-7.963834593668216E-001,-6.540164261986770E-002,-7.269563910699545E-001,-4.897562078333571E-002,-7.776511051199420E-001,-4.828611155319215E-002,-7.855019091529848E-001,
1.080000000000000E+009,-6.326878704896327E-002,-8.566437227295191E-001,-6.685428031536563E-002,-8.607042137424563E-001,-5.139438648473553E-002,-8.192847624973190E-001,-6.087073990226331E-002,-8.507474538050264E-001,-6.291015172004701E-002,-8.552479856262210E-001,
1.085000000000000E+009,-9.240319066687787E-002,-8.928152383581528E-001,-9.530451585328600E-002,-8.944278489997379E-001,-7.698565629642774E-002,-8.735617789749055E-001,-8.969305456674448E-002,-8.896509389868752E-001,-9.192889230060579E-002,-8.920649316406252E-001,
