% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:Trc14_S11,im:Trc14_S11,
1.000000000000000E+009,-1.291968095330550E-001,-9.726878668857942E-001,-9.909766150371065E-002,2.880922943295083E-002,
1.005000000000000E+009,-1.382563939141945E-001,-9.712936648514395E-001,-9.817097630753942E-002,3.000735620285016E-002,
1.010000000000000E+009,-1.469637863995247E-001,-9.693080909333454E-001,-9.730782158613982E-002,2.976464945638089E-002,
1.015000000000000E+009,-1.554730555583925E-001,-9.672156273541882E-001,-9.694534242145646E-002,3.161250579841536E-002,
1.020000000000000E+009,-1.638592942013234E-001,-9.647149375563170E-001,-9.657805812084452E-002,3.279170212195041E-002,
1.025000000000000E+009,-1.716520037130273E-001,-9.620698607434111E-001,-9.436673314633726E-002,3.438864862774426E-002,
1.030000000000000E+009,-1.791437669141377E-001,-9.599600848562805E-001,-9.436695371736695E-002,3.660966338861280E-002,
1.035000000000000E+009,-1.868866091651490E-001,-9.580646682480034E-001,-9.281622206425252E-002,3.841076690624870E-002,
1.040000000000000E+009,-1.942221685668753E-001,-9.565626353168649E-001,-9.142379314086528E-002,3.969901563446683E-002,
1.045000000000000E+009,-2.018412241200014E-001,-9.554786168566934E-001,-8.989752836792651E-002,4.248463314191965E-002,
1.050000000000000E+009,-2.102182498842501E-001,-9.541439046916893E-001,-8.841165635449313E-002,4.537930364307122E-002,
1.055000000000000E+009,-2.189556195635473E-001,-9.529487762001059E-001,-8.512796458381690E-002,4.634755595973068E-002,
1.060000000000000E+009,-2.280759133447385E-001,-9.512711797104665E-001,-8.210131439644797E-002,4.822298534236429E-002,
1.065000000000000E+009,-2.375050270716097E-001,-9.496796295541794E-001,-7.969846827848486E-002,4.925282041459064E-002,
1.070000000000000E+009,-2.474148569600671E-001,-9.476036111684555E-001,-7.615582395842629E-002,4.907758251993855E-002,
1.075000000000000E+009,-2.572832949922863E-001,-9.452974862706440E-001,-7.357630606836563E-002,4.905849875284644E-002,
1.080000000000000E+009,-2.673905943069136E-001,-9.425468256876592E-001,-7.252454684685289E-002,4.784685214859529E-002,
1.085000000000000E+009,-2.778085411514781E-001,-9.397927553461649E-001,-6.991541144071668E-002,4.715414877859691E-002,
1.090000000000000E+009,-2.876341143986224E-001,-9.366402974899675E-001,-6.859113026527187E-002,4.566939691133012E-002,
1.095000000000000E+009,-2.977813838167001E-001,-9.334428387569081E-001,-6.749896145396646E-002,4.414286668016658E-002,
1.100000000000000E+009,-3.078769680609964E-001,-9.295612535413584E-001,-6.694907692071073E-002,4.258160650835472E-002,
1.105000000000000E+009,-3.181853239816972E-001,-9.261767250703650E-001,-6.615710638507125E-002,4.214845618430643E-002,
1.110000000000000E+009,-3.284553170310726E-001,-9.221201855264702E-001,-6.541743829470710E-002,4.129711458677778E-002,
1.115000000000000E+009,-3.389926123739636E-001,-9.177889049505633E-001,-6.433212985177013E-002,3.977469999371384E-002,
1.120000000000000E+009,-3.498830805509495E-001,-9.133101322520387E-001,-6.185989703427808E-002,4.064607169870944E-002,
1.125000000000000E+009,-3.612623436261355E-001,-9.091155808620429E-001,-5.989366152132543E-002,4.085881475619259E-002,
1.130000000000000E+009,-3.732978397557865E-001,-9.044734242539619E-001,-5.596972514853974E-002,4.185735104770503E-002,
1.135000000000000E+009,-3.861742674897243E-001,-8.990343517713609E-001,-4.970942746412595E-002,4.208935270682487E-002,
1.140000000000000E+009,-3.996066969830430E-001,-8.930739363912964E-001,-4.366253400189973E-002,4.181357044734768E-002,
1.145000000000000E+009,-4.146236218250794E-001,-8.861270394781170E-001,-3.460848851733655E-002,4.118755861059935E-002,
