% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:ag_S21,im:ag_S21,re:pl_0_1_S21,im:pl_0_1_S21,re:pl_0_5_S21,im:pl_0_5_S21,
1.000000000000000E+009,-9.213339537382126E-002,-9.777603149414063E-001,-9.171571134469729E-002,-9.775931233725966E-001,-9.218215942382813E-002,-9.776413440704346E-001,-9.230288400888445E-002,-9.777157692527775E-001,
1.005000000000000E+009,-1.006823033094406E-001,-9.768320322036743E-001,-1.003802354439777E-001,-9.765940336113681E-001,-1.007833406329155E-001,-9.765039682388306E-001,-1.009426683163643E-001,-9.766788800239564E-001,
1.010000000000000E+009,-1.087974160909653E-001,-9.752269387245178E-001,-1.085057242959545E-001,-9.750295938427536E-001,-1.087901443243027E-001,-9.750378131866455E-001,-1.090888523793221E-001,-9.751101495361332E-001,
1.015000000000000E+009,-1.168141439557076E-001,-9.735787510871887E-001,-1.165725402392042E-001,-9.735026711042345E-001,-1.170332580804825E-001,-9.735447168350220E-001,-1.170839428091050E-001,-9.735525434494021E-001,
1.020000000000000E+009,-1.248667463660240E-001,-9.716368913650513E-001,-1.244988399117135E-001,-9.714900107212108E-001,-1.248974353075028E-001,-9.715033173561096E-001,-1.250169101047516E-001,-9.715610993385316E-001,
1.025000000000000E+009,-1.321481764316559E-001,-9.694491624832153E-001,-1.319151830667531E-001,-9.694141239427501E-001,-1.321708112955093E-001,-9.693077206611633E-001,-1.323695152473450E-001,-9.693870677566532E-001,
1.030000000000000E+009,-1.393530368804932E-001,-9.675229787826538E-001,-1.391025529228297E-001,-9.674474121497265E-001,-1.394069790840149E-001,-9.674419760704041E-001,-1.395649520254136E-001,-9.675251822471620E-001,
1.035000000000000E+009,-1.462706029415131E-001,-9.660392999649048E-001,-1.463181680016706E-001,-9.658333472965313E-001,-1.467559933662415E-001,-9.656871557235718E-001,-1.467361947822571E-001,-9.659732925605776E-001,
1.040000000000000E+009,-1.529153734445572E-001,-9.645704627037048E-001,-1.529533715460368E-001,-9.644403854222334E-001,-1.533290147781372E-001,-9.643920660018921E-001,-1.532837018585205E-001,-9.645399185752871E-001,
1.045000000000000E+009,-1.596572250127792E-001,-9.636813998222351E-001,-1.595793987950818E-001,-9.634552014060150E-001,-1.598891168832779E-001,-9.634631872177124E-001,-1.599878313493729E-001,-9.635381208419802E-001,
1.050000000000000E+009,-1.668772250413895E-001,-9.627765417098999E-001,-1.669084336033489E-001,-9.624567484735269E-001,-1.672341674566269E-001,-9.625069499015808E-001,-1.672642920446396E-001,-9.625237695693971E-001,
1.055000000000000E+009,-1.745914965867996E-001,-9.619932174682617E-001,-1.744814499902282E-001,-9.617716436776501E-001,-1.747377514839172E-001,-9.617303013801575E-001,-1.747763462114335E-001,-9.618492801856997E-001,
1.060000000000000E+009,-1.826216429471970E-001,-9.610630869865418E-001,-1.824526492688690E-001,-9.607228015242767E-001,-1.826975941658020E-001,-9.607051014900208E-001,-1.827731423377991E-001,-9.608423543930055E-001,
1.065000000000000E+009,-1.906655579805374E-001,-9.600519537925720E-001,-1.906552815712539E-001,-9.598323016985638E-001,-1.909213662147522E-001,-9.598510861396790E-001,-1.910291239738465E-001,-9.599556762123110E-001,
1.070000000000000E+009,-1.995173990726471E-001,-9.588219523429871E-001,-1.993861672188749E-001,-9.584929438379133E-001,-1.996449828147888E-001,-9.585244655609131E-001,-1.997443688201905E-001,-9.585871924018861E-001,
1.075000000000000E+009,-2.080749869346619E-001,-9.572128057479858E-001,-2.079359570102622E-001,-9.569682638272772E-001,-2.081586271524429E-001,-9.570897817611694E-001,-2.083083806276322E-001,-9.570806137657167E-001,
1.080000000000000E+009,-2.169595360755920E-001,-9.552878141403198E-001,-2.168173771038807E-001,-9.550199325632380E-001,-2.170727252960205E-001,-9.551445841789246E-001,-2.171714240932465E-001,-9.551189863586427E-001,
1.085000000000000E+009,-2.257965654134750E-001,-9.533351659774780E-001,-2.256965401338227E-001,-9.530769579006697E-001,-2.260250896215439E-001,-9.531542062759399E-001,-2.260530147552491E-001,-9.532380279541018E-001,
1.090000000000000E+009,-2.341481447219849E-001,-9.511150121688843E-001,-2.340569450363834E-001,-9.508710130547848E-001,-2.343900650739670E-001,-9.509805440902710E-001,-2.343517006063462E-001,-9.509934578895570E-001,
1.095000000000000E+009,-2.425941824913025E-001,-9.488555788993835E-001,-2.423791574796783E-001,-9.486588540741530E-001,-2.427475601434708E-001,-9.487677216529846E-001,-2.427962945890427E-001,-9.487942522048953E-001,
1.100000000000000E+009,-2.508060038089752E-001,-9.461724162101746E-001,-2.506652604722831E-001,-9.458768915161213E-001,-2.509366273880005E-001,-9.460136294364929E-001,-2.510634083366394E-001,-9.459356969833376E-001,
1.105000000000000E+009,-2.589510381221771E-001,-9.438164234161377E-001,-2.588491049316848E-001,-9.436815151408816E-001,-2.590603530406952E-001,-9.437500834465027E-001,-2.591628486347199E-001,-9.436849302291872E-001,
1.110000000000000E+009,-2.670833170413971E-001,-9.412181973457336E-001,-2.667010259090640E-001,-9.409029464997281E-001,-2.671240866184235E-001,-9.408578276634216E-001,-2.670615234565736E-001,-9.409427739524844E-001,
1.115000000000000E+009,-2.750143408775330E-001,-9.382402300834656E-001,-2.746460831407656E-001,-9.379815645292370E-001,-2.750402688980103E-001,-9.380246400833130E-001,-2.750605040073395E-001,-9.380342043113710E-001,
1.120000000000000E+009,-2.827330231666565E-001,-9.351939558982849E-001,-2.823559899061956E-001,-9.350203562271680E-001,-2.824822366237640E-001,-9.351295828819275E-001,-2.826524553298951E-001,-9.350847887039187E-001,
1.125000000000000E+009,-2.902019321918488E-001,-9.328366518020630E-001,-2.900404471655412E-001,-9.327738681061447E-001,-2.903229594230652E-001,-9.327768087387085E-001,-2.903890818977357E-001,-9.327464583206179E-001,
1.130000000000000E+009,-2.978942096233368E-001,-9.304155111312866E-001,-2.977048876452282E-001,-9.304058815872397E-001,-2.978786826133728E-001,-9.303899407386780E-001,-2.980441170978546E-001,-9.304182565689088E-001,
1.135000000000000E+009,-3.056837320327759E-001,-9.279026985168457E-001,-3.055694034053759E-001,-9.277795758768588E-001,-3.057019114494324E-001,-9.277878999710083E-001,-3.058618643951417E-001,-9.278542454147341E-001,
1.140000000000000E+009,-3.133557736873627E-001,-9.253984689712524E-001,-3.131671125946982E-001,-9.252403923534019E-001,-3.133358657360077E-001,-9.252468347549439E-001,-3.134228343391419E-001,-9.252444873237611E-001,
1.145000000000000E+009,-3.212195336818695E-001,-9.227586388587952E-001,-3.209847515194648E-001,-9.226166966651376E-001,-3.210878968238831E-001,-9.227818250656128E-001,-3.212677867031098E-001,-9.226632599830629E-001,
1.150000000000000E+009,-3.285706341266632E-001,-9.196256399154663E-001,-3.283980878184025E-001,-9.195118546196051E-001,-3.286149203777313E-001,-9.195184707641602E-001,-3.287044876384735E-001,-9.195469966125491E-001,
1.155000000000000E+009,-3.366858661174774E-001,-9.168921113014221E-001,-3.363180496487467E-001,-9.168077183780095E-001,-3.365887403488159E-001,-9.166882634162903E-001,-3.366482832050324E-001,-9.168155850410464E-001,
1.160000000000000E+009,-3.448022305965424E-001,-9.142832159996033E-001,-3.444836170011663E-001,-9.141820664194134E-001,-3.448278009891510E-001,-9.141680002212524E-001,-3.448111044311524E-001,-9.141984743309024E-001,
