% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:ag_S21,im:ag_S21,re:pl_0_1_S21,im:pl_0_1_S21,re:pl_0_5_S21,im:pl_0_5_S21,re:Mem17[Trc13]_S21,im:Mem17[Trc13]_S21,
1.000000000000000E+009,-9.216100830448078E-002,-9.777473388008975E-001,-9.171571134469729E-002,-9.775931233725966E-001,-9.218215942382813E-002,-9.776413440704346E-001,-9.230288400888445E-002,-9.777157692527775E-001,-9.216323845386507E-002,-9.777782472610476E-001,
1.005000000000000E+009,-1.007386138865502E-001,-9.767517810191775E-001,-1.003802354439777E-001,-9.765940336113681E-001,-1.007833406329155E-001,-9.765039682388306E-001,-1.009426683163643E-001,-9.766788800239564E-001,-1.007407811164856E-001,-9.767592851638796E-001,
1.010000000000000E+009,-1.088977657280533E-001,-9.752614498331240E-001,-1.085057242959545E-001,-9.750295938427536E-001,-1.087901443243027E-001,-9.750378131866455E-001,-1.090888523793221E-001,-9.751101495361332E-001,-1.089219795942307E-001,-9.752388624191286E-001,
1.015000000000000E+009,-1.168740704530617E-001,-9.736480859581056E-001,-1.165725402392042E-001,-9.735026711042345E-001,-1.170332580804825E-001,-9.735447168350220E-001,-1.170839428091050E-001,-9.735525434494021E-001,-1.168958443045616E-001,-9.736446434020998E-001,
1.020000000000000E+009,-1.247568442600556E-001,-9.716678293793643E-001,-1.244988399117135E-001,-9.714900107212108E-001,-1.248974353075028E-001,-9.715033173561096E-001,-1.250169101047516E-001,-9.715610993385316E-001,-1.247491552233696E-001,-9.715957131385805E-001,
1.025000000000000E+009,-1.320917485536820E-001,-9.695020770181582E-001,-1.319151830667531E-001,-9.694141239427501E-001,-1.321708112955093E-001,-9.693077206611633E-001,-1.323695152473450E-001,-9.693870677566532E-001,-1.320830409765244E-001,-9.694909744262698E-001,
1.030000000000000E+009,-1.392635059135376E-001,-9.676535701595279E-001,-1.391025529228297E-001,-9.674474121497265E-001,-1.394069790840149E-001,-9.674419760704041E-001,-1.395649520254136E-001,-9.675251822471620E-001,-1.392549342155457E-001,-9.676233145713808E-001,
1.035000000000000E+009,-1.463862795718582E-001,-9.660004943932375E-001,-1.463181680016706E-001,-9.658333472965313E-001,-1.467559933662415E-001,-9.656871557235718E-001,-1.467361947822571E-001,-9.659732925605776E-001,-1.463602644920349E-001,-9.660740116119386E-001,
1.040000000000000E+009,-1.530862098083817E-001,-9.647151678206729E-001,-1.529533715460368E-001,-9.644403854222334E-001,-1.533290147781372E-001,-9.643920660018921E-001,-1.532837018585205E-001,-9.645399185752871E-001,-1.530919951438904E-001,-9.646772870063783E-001,
1.045000000000000E+009,-1.596692642330735E-001,-9.636918991138064E-001,-1.595793987950818E-001,-9.634552014060150E-001,-1.598891168832779E-001,-9.634631872177124E-001,-1.599878313493729E-001,-9.635381208419802E-001,-1.597078698158264E-001,-9.637091885566713E-001,
1.050000000000000E+009,-1.669202237149414E-001,-9.626838638175845E-001,-1.669084336033489E-001,-9.624567484735269E-001,-1.672341674566269E-001,-9.625069499015808E-001,-1.672642920446396E-001,-9.625237695693971E-001,-1.669620369434356E-001,-9.626882327079774E-001,
1.055000000000000E+009,-1.745339926932297E-001,-9.620169984561282E-001,-1.744814499902282E-001,-9.617716436776501E-001,-1.747377514839172E-001,-9.617303013801575E-001,-1.747763462114335E-001,-9.618492801856997E-001,-1.745201584100724E-001,-9.619946991920472E-001,
1.060000000000000E+009,-1.824966229135804E-001,-9.609090732573428E-001,-1.824526492688690E-001,-9.607228015242767E-001,-1.826975941658020E-001,-9.607051014900208E-001,-1.827731423377991E-001,-9.608423543930055E-001,-1.825324878454208E-001,-9.609684036254886E-001,
1.065000000000000E+009,-1.907976008534501E-001,-9.601152956123537E-001,-1.906552815712539E-001,-9.598323016985638E-001,-1.909213662147522E-001,-9.598510861396790E-001,-1.910291239738465E-001,-9.599556762123110E-001,-1.908044428110123E-001,-9.600816529273989E-001,
1.070000000000000E+009,-1.995165319029190E-001,-9.587406316883852E-001,-1.993861672188749E-001,-9.584929438379133E-001,-1.996449828147888E-001,-9.585244655609131E-001,-1.997443688201905E-001,-9.585871924018861E-001,-1.994681145429612E-001,-9.587511968612672E-001,
1.075000000000000E+009,-2.080413860046174E-001,-9.571409786595827E-001,-2.079359570102622E-001,-9.569682638272772E-001,-2.081586271524429E-001,-9.570897817611694E-001,-2.083083806276322E-001,-9.570806137657167E-001,-2.080808273792267E-001,-9.571833792686463E-001,
1.080000000000000E+009,-2.168985063052613E-001,-9.553102889262026E-001,-2.168173771038807E-001,-9.550199325632380E-001,-2.170727252960205E-001,-9.551445841789246E-001,-2.171714240932465E-001,-9.551189863586427E-001,-2.169901215076447E-001,-9.553092803001406E-001,
1.085000000000000E+009,-2.258327039019837E-001,-9.533668267323245E-001,-2.256965401338227E-001,-9.530769579006697E-001,-2.260250896215439E-001,-9.531542062759399E-001,-2.260530147552491E-001,-9.532380279541018E-001,-2.258582067251206E-001,-9.533951539039615E-001,
1.090000000000000E+009,-2.341417410539124E-001,-9.511743139366824E-001,-2.340569450363834E-001,-9.508710130547848E-001,-2.343900650739670E-001,-9.509805440902710E-001,-2.343517006063462E-001,-9.509934578895570E-001,-2.342021084308625E-001,-9.511980167388918E-001,
1.095000000000000E+009,-2.425732571279908E-001,-9.489188867186038E-001,-2.423791574796783E-001,-9.486588540741530E-001,-2.427475601434708E-001,-9.487677216529846E-001,-2.427962945890427E-001,-9.487942522048953E-001,-2.426517373323441E-001,-9.489334136009219E-001,
