% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap3_copo1_air_S21,im:cap3_copo1_air_S21,re:cap3_copo1_water_S21,im:cap3_copo1_water_S21,re:cap3_copo1_0_1plstc_S21,im:cap3_copo1_0_1plstc_S21,re:cap3_copo1_0_5plstc_S21,im:cap3_copo1_0_5plstc_S21,re:cap3_copo1_1plstc_S21,im:cap3_copo1_1plstc_S21,
1.000000000000000E+009,-8.702710270881653E-002,-9.694129824638367E-001,-1.215627986528283E-001,-9.666959895261538E-001,-8.539763800397479E-002,-9.685611284190920E-001,-8.670288724362092E-002,-9.690366847891920E-001,-8.693296614885332E-002,-9.692159120559694E-001,-8.695259513960604E-002,-9.693221518783528E-001,
1.005000000000000E+009,-9.534815698862076E-002,-9.677720069885254E-001,-1.313828985578003E-001,-9.646305855971682E-001,-9.374387455187348E-002,-9.670210472486546E-001,-9.509286253553323E-002,-9.675927294618434E-001,-9.530808047056200E-002,-9.676984958648681E-001,-9.536967191205086E-002,-9.677999334131048E-001,
1.010000000000000E+009,-1.029800698161125E-001,-9.661048054695129E-001,-1.405821616812668E-001,-9.624291768731081E-001,-1.014234821834111E-001,-9.653311835843754E-001,-1.027744287791942E-001,-9.658244172310415E-001,-1.030764050126076E-001,-9.660162735939027E-001,-1.031390588101372E-001,-9.660355679442806E-001,
1.015000000000000E+009,-1.099031120538712E-001,-9.643886089324951E-001,-1.493478696670761E-001,-9.602912587255861E-001,-1.081802284421795E-001,-9.635104668993635E-001,-1.096754445893774E-001,-9.640025206666066E-001,-1.099995379686356E-001,-9.642185512542726E-001,-1.100535876341131E-001,-9.642656019385808E-001,
1.020000000000000E+009,-1.170442253351212E-001,-9.629048705101013E-001,-1.585161795603867E-001,-9.583922549319155E-001,-1.151319393636529E-001,-9.623403148420539E-001,-1.166861091450837E-001,-9.626437534167582E-001,-1.170221089005470E-001,-9.627973344802858E-001,-1.170042575220155E-001,-9.628487311732799E-001,
1.025000000000000E+009,-1.233898252248764E-001,-9.616129398345947E-001,-1.677744341200944E-001,-9.569670433600466E-001,-1.217286748110948E-001,-9.613750953029495E-001,-1.232236149992908E-001,-9.616203886957281E-001,-1.235350624084473E-001,-9.616861352920534E-001,-1.235125082406255E-001,-9.617353785192367E-001,
1.030000000000000E+009,-1.302269995212555E-001,-9.612104296684265E-001,-1.777638947845535E-001,-9.556130770229190E-001,-1.285628641611721E-001,-9.609720721043712E-001,-1.299260575258947E-001,-9.609944345085253E-001,-1.302764017105103E-001,-9.610958930969240E-001,-1.302011304428920E-001,-9.611502580042659E-001,
1.035000000000000E+009,-1.378560066223145E-001,-9.611153006553650E-001,-1.892379595142899E-001,-9.544774305376894E-001,-1.363066674847242E-001,-9.609346286671242E-001,-1.376253718665979E-001,-9.610167447809224E-001,-1.379440070867539E-001,-9.611126868247989E-001,-1.378503659126563E-001,-9.611469058894548E-001,
1.040000000000000E+009,-1.452132314443588E-001,-9.605893492698669E-001,-2.009423953910676E-001,-9.527160645664065E-001,-1.438219833010180E-001,-9.604076889558011E-001,-1.450803785956810E-001,-9.604603537495382E-001,-1.453007845878601E-001,-9.605293814659121E-001,-1.452851888641309E-001,-9.605927348558451E-001,
1.045000000000000E+009,-1.528497636318207E-001,-9.597643017768860E-001,-2.137312141962968E-001,-9.497476382944644E-001,-1.515522759894440E-001,-9.596806583516575E-001,-1.527263119479242E-001,-9.596434584633901E-001,-1.530669051647187E-001,-9.597701461791994E-001,-1.529452401764184E-001,-9.597591531809014E-001,
1.050000000000000E+009,-1.608956903219223E-001,-9.583997726440430E-001,-2.274287040848618E-001,-9.458770206978763E-001,-1.594456010128755E-001,-9.583440593354433E-001,-1.605230746069244E-001,-9.583315741458468E-001,-1.607652149915696E-001,-9.584098307609559E-001,-1.607289966894708E-001,-9.584762417642190E-001,
1.055000000000000E+009,-1.690817475318909E-001,-9.574986100196838E-001,-2.431777616970444E-001,-9.417291663314822E-001,-1.679466134976476E-001,-9.573485010085127E-001,-1.689279712678776E-001,-9.573303483069503E-001,-1.692273484945298E-001,-9.574033042907717E-001,-1.691436417350911E-001,-9.574320441173407E-001,
1.060000000000000E+009,-1.769696623086929E-001,-9.562470316886902E-001,-2.597416072256317E-001,-9.362512094275515E-001,-1.757750617402444E-001,-9.559963448556587E-001,-1.767504174195949E-001,-9.560023998360685E-001,-1.770556543827057E-001,-9.560690106391909E-001,-1.769852516104017E-001,-9.561213370563618E-001,
1.065000000000000E+009,-1.859566271305084E-001,-9.549949765205383E-001,-2.801118547618103E-001,-9.286651353691409E-001,-1.847939729533496E-001,-9.547995133235734E-001,-1.857810279690871E-001,-9.547339363954873E-001,-1.860228444576264E-001,-9.548828541755677E-001,-1.859985651710902E-001,-9.549232629145771E-001,
1.070000000000000E+009,-1.935180127620697E-001,-9.528918266296387E-001,-3.027660415846863E-001,-9.178769739749452E-001,-1.925625777269200E-001,-9.527081592065030E-001,-1.934251126583972E-001,-9.527012590463280E-001,-1.936895756244660E-001,-9.528101286888123E-001,-1.936479068833673E-001,-9.528307814187704E-001,
1.075000000000000E+009,-2.020040452480316E-001,-9.509674310684204E-001,-3.308688485722505E-001,-9.017078154539187E-001,-2.008737993921625E-001,-9.506859630274103E-001,-2.017788167005520E-001,-9.508005420858801E-001,-2.020029954195023E-001,-9.508518874168397E-001,-2.019889258238447E-001,-9.508926378168910E-001,
1.080000000000000E+009,-2.106882035732269E-001,-9.496469497680664E-001,-3.670186807646485E-001,-8.746589833240054E-001,-2.096116086999084E-001,-9.492379133957072E-001,-2.103822232319738E-001,-9.493402994933107E-001,-2.105993623256684E-001,-9.493946963310245E-001,-2.106350963402376E-001,-9.494381636693802E-001,
